rank,release_date,distance,WTI_r5,WTI_r63,pressure_score,inventory_improving_count,demand_weak_count,throughput_weak,upstream_supply_up_count,wti_fwd_4w,wti_fwd_8w,wti_fwd_13w,short_mae_8w,short_mae_13w
1,2004-11-03,0.7759844489660389,-7.550388681227699,45.368587796169855,1.3990223585753023,2,1,True,1,-0.04989816700611,0.0682281059063136,0.2374745417515273,0.1547861507128309,0.2374745417515273
2,2017-09-13,1.3949463027618945,-0.8674155998163566,4.475351841492802,0.7060786526707881,1,1,True,0,0.0150421179302044,0.146409947853991,0.1490172482952265,0.1500200561572404,0.1821099077416765
3,2018-05-31,1.4933713673532993,-5.488443523306364,10.513258800758749,0.5873484317428217,1,1,False,1,0.1264245555386718,0.0817504938459199,0.0609329889074607,0.1762650053183405,0.1762650053183405
