observable,anchor,event_month,n_legs,n_broad_episodes,weighted_median_change_from_baseline,weighted_median_running_stress_extreme,weighted_q75_running_stress_extreme
BAA10Y_SPREAD,FIRST_CUT,1,10,7,-3.0000000000000027,-3.0000000000000027,-3.0000000000000027
BAA10Y_SPREAD,FIRST_CUT,2,10,7,0.0,0.0,17.000000000000036
BAA10Y_SPREAD,FIRST_CUT,3,10,7,-2.0000000000000018,0.0,17.000000000000036
BAA10Y_SPREAD,FIRST_CUT,4,10,7,-8.999999999999986,2.0000000000000018,25.0
BAA10Y_SPREAD,FIRST_CUT,5,10,7,-8.999999999999986,5.000000000000004,25.0
BAA10Y_SPREAD,FIRST_CUT,6,10,7,-4.999999999999982,9.000000000000007,27.99999999999998
BAA10Y_SPREAD,FIRST_CUT,7,10,7,10.000000000000009,16.999999999999993,29.000000000000004
BAA10Y_SPREAD,FIRST_CUT,8,10,7,14.000000000000012,37.999999999999986,102.99999999999999
BAA10Y_SPREAD,FIRST_CUT,9,10,7,6.000000000000005,37.999999999999986,108.0
BAA10Y_SPREAD,FIRST_CUT,10,10,7,-2.0000000000000018,37.999999999999986,108.0
BAA10Y_SPREAD,FIRST_CUT,11,10,7,4.999999999999982,37.999999999999986,108.0
BAA10Y_SPREAD,FIRST_CUT,12,10,7,5.000000000000027,37.999999999999986,108.0
BAA10Y_SPREAD,FIRST_HIKE,1,10,7,-13.00000000000001,-13.00000000000001,9.00000000000003
BAA10Y_SPREAD,FIRST_HIKE,2,10,7,2.9999999999999805,2.9999999999999805,18.000000000000014
BAA10Y_SPREAD,FIRST_HIKE,3,10,7,4.0000000000000036,9.999999999999964,18.000000000000014
BAA10Y_SPREAD,FIRST_HIKE,4,10,7,4.0000000000000036,9.999999999999964,27.0
BAA10Y_SPREAD,FIRST_HIKE,5,10,7,-6.000000000000005,15.000000000000036,27.0
BAA10Y_SPREAD,FIRST_HIKE,6,10,7,-27.000000000000025,15.000000000000036,27.0
BAA10Y_SPREAD,FIRST_HIKE,7,10,7,-37.999999999999986,15.000000000000036,27.0
BAA10Y_SPREAD,FIRST_HIKE,8,10,7,-41.000000000000014,15.000000000000036,27.0
BAA10Y_SPREAD,FIRST_HIKE,9,10,7,-46.99999999999997,15.000000000000036,27.0
BAA10Y_SPREAD,FIRST_HIKE,10,10,7,-31.999999999999986,15.999999999999993,27.0
BAA10Y_SPREAD,FIRST_HIKE,11,10,7,-19.999999999999996,15.999999999999993,27.99999999999998
BAA10Y_SPREAD,FIRST_HIKE,12,10,7,-21.000000000000018,15.999999999999993,27.99999999999998
BAA10Y_SPREAD,LAST_HIKE,1,10,7,3.0000000000000027,3.0000000000000027,19.999999999999996
BAA10Y_SPREAD,LAST_HIKE,2,10,7,7.000000000000006,7.000000000000006,24.0
BAA10Y_SPREAD,LAST_HIKE,3,10,7,7.000000000000006,7.000000000000006,27.0
BAA10Y_SPREAD,LAST_HIKE,4,10,7,6.999999999999984,13.999999999999968,31.000000000000007
BAA10Y_SPREAD,LAST_HIKE,5,10,7,12.99999999999999,18.999999999999993,31.000000000000007
BAA10Y_SPREAD,LAST_HIKE,6,10,7,14.999999999999991,18.999999999999993,35.00000000000001
BAA10Y_SPREAD,LAST_HIKE,7,10,7,12.00000000000001,31.000000000000007,36.999999999999964
BAA10Y_SPREAD,LAST_HIKE,8,10,7,14.000000000000012,31.000000000000007,37.000000000000014
BAA10Y_SPREAD,LAST_HIKE,9,10,7,10.999999999999988,31.000000000000007,46.0
BAA10Y_SPREAD,LAST_HIKE,10,10,7,10.999999999999988,31.000000000000007,50.99999999999998
BAA10Y_SPREAD,LAST_HIKE,11,10,7,2.9999999999999805,31.000000000000007,52.0
BAA10Y_SPREAD,LAST_HIKE,12,10,7,-3.9999999999999813,31.000000000000007,52.0
BAA10Y_SPREAD,PAUSE_START,1,7,7,4.0000000000000036,4.0000000000000036,16.000000000000014
BAA10Y_SPREAD,PAUSE_START,2,7,7,-1.0000000000000009,4.0000000000000036,19.000000000000018
BAA10Y_SPREAD,PAUSE_START,3,7,7,8.999999999999986,8.999999999999986,31.000000000000007
BAA10Y_SPREAD,PAUSE_START,4,7,7,10.000000000000009,11.99999999999999,31.000000000000007
BAA10Y_SPREAD,PAUSE_START,5,7,7,8.999999999999986,11.99999999999999,31.000000000000007
BAA10Y_SPREAD,PAUSE_START,6,7,7,-7.999999999999963,11.99999999999999,31.999999999999986
BAA10Y_SPREAD,PAUSE_START,7,7,7,4.0000000000000036,11.99999999999999,31.999999999999986
BAA10Y_SPREAD,PAUSE_START,8,7,7,3.0000000000000027,29.000000000000004,31.999999999999986
BAA10Y_SPREAD,PAUSE_START,9,7,7,-3.0000000000000027,31.000000000000007,49.00000000000002
BAA10Y_SPREAD,PAUSE_START,10,7,7,-6.999999999999984,31.000000000000007,49.00000000000002
BAA10Y_SPREAD,PAUSE_START,11,7,7,-2.0000000000000018,31.000000000000007,49.00000000000002
BAA10Y_SPREAD,PAUSE_START,12,7,7,23.0,31.000000000000007,49.00000000000002
COPPER,FIRST_CUT,1,5,5,0.017556839690037407,0.0,0.029374007932291613
COPPER,FIRST_CUT,2,5,5,-0.025858475629131794,0.04806634984885061,0.05951247521642733
COPPER,FIRST_CUT,3,5,5,-0.05944868715251872,0.07567687999228923,0.10064121020178152
COPPER,FIRST_CUT,4,5,5,-0.0037864275928954916,0.07567687999228923,0.10064121020178152
COPPER,FIRST_CUT,5,5,5,0.03312309542732539,0.07567687999228923,0.13060405548528942
COPPER,FIRST_CUT,6,5,5,0.02532784633520313,0.14313051747361527,0.17328542822922766
COPPER,FIRST_CUT,7,5,5,-0.03306146908695273,0.16297607772931455,0.17328542822922766
COPPER,FIRST_CUT,8,5,5,-0.11893342771114379,0.16297607772931455,0.17328542822922766
COPPER,FIRST_CUT,9,5,5,-0.1317097947143817,0.16769458928553072,0.17328542822922766
COPPER,FIRST_CUT,10,5,5,-0.10921015163658754,0.16769458928553072,0.17328542822922766
COPPER,FIRST_CUT,11,5,5,-0.021697494647781257,0.17328542822922766,0.2564370076892032
COPPER,FIRST_CUT,12,5,5,-0.07001021184270728,0.19956758053747292,0.2564370076892032
COPPER,FIRST_HIKE,1,5,5,0.032375373357130366,0.0,0.0
COPPER,FIRST_HIKE,2,5,5,0.04111464632893158,0.016624443401952238,0.06835911922855609
COPPER,FIRST_HIKE,3,5,5,0.06403241921391278,0.016624443401952238,0.06835911922855609
COPPER,FIRST_HIKE,4,5,5,0.10296804109104296,0.016624443401952238,0.06835911922855609
COPPER,FIRST_HIKE,5,5,5,0.14321939537543527,0.016624443401952238,0.06835911922855609
COPPER,FIRST_HIKE,6,5,5,0.15075357843836312,0.016624443401952238,0.06835911922855609
COPPER,FIRST_HIKE,7,5,5,0.16113096357595147,0.016624443401952238,0.06835911922855609
COPPER,FIRST_HIKE,8,5,5,0.19008501998910132,0.0199717981397618,0.06835911922855609
COPPER,FIRST_HIKE,9,5,5,0.15184417304040476,0.05643083764948342,0.06835911922855609
COPPER,FIRST_HIKE,10,5,5,0.11351612453612758,0.06835911922855609,0.08782845676166706
COPPER,FIRST_HIKE,11,5,5,0.18183384830748284,0.06835911922855609,0.08782845676166706
COPPER,FIRST_HIKE,12,5,5,0.17926298140836128,0.06835911922855609,0.08782845676166706
COPPER,LAST_HIKE,1,5,5,-0.027832376908890066,0.027832376908890066,0.041251336835201435
COPPER,LAST_HIKE,2,5,5,-0.014268286168179212,0.03608512207404857,0.041449560836400834
COPPER,LAST_HIKE,3,5,5,-0.054167676063411774,0.054167676063411774,0.054208403169733854
COPPER,LAST_HIKE,4,5,5,-0.005187676641319139,0.054208403169733854,0.06970692490034502
COPPER,LAST_HIKE,5,5,5,0.001355651150568793,0.06546499912185832,0.07714633204356502
COPPER,LAST_HIKE,6,5,5,-0.005380583180166765,0.08476027822322674,0.0865350378525277
COPPER,LAST_HIKE,7,5,5,-0.030912006860449592,0.08476027822322674,0.0865350378525277
COPPER,LAST_HIKE,8,5,5,-0.0643279632281396,0.08911599750439836,0.11336716489651799
COPPER,LAST_HIKE,9,5,5,-0.007206450578066348,0.09978519287131726,0.11336716489651799
COPPER,LAST_HIKE,10,5,5,-0.028319624682559996,0.11200090027024834,0.11336716489651799
COPPER,LAST_HIKE,11,5,5,-0.0473047629739487,0.15083424858969863,0.15324485033777036
COPPER,LAST_HIKE,12,5,5,-0.019183260246386502,0.15083424858969863,0.17285615717869052
COPPER,PAUSE_START,1,5,5,0.008513878824891963,0.0,0.013472080561316213
COPPER,PAUSE_START,2,5,5,-0.018955892317357614,0.029679924633441046,0.04259837762631857
COPPER,PAUSE_START,3,5,5,0.04084090608915658,0.04259837762631857,0.048691987793279545
COPPER,PAUSE_START,4,5,5,0.0004206248904623511,0.048691987793279545,0.06546499912185832
COPPER,PAUSE_START,5,5,5,-0.005136399952078374,0.08476027822322674,0.0865350378525277
COPPER,PAUSE_START,6,5,5,0.013926346885246632,0.08476027822322674,0.0865350378525277
COPPER,PAUSE_START,7,5,5,-0.021035719312481826,0.08911599750439836,0.11336716489651799
COPPER,PAUSE_START,8,5,5,0.0034431101063796543,0.09978519287131726,0.11336716489651799
COPPER,PAUSE_START,9,5,5,-0.006313882220982836,0.11200090027024834,0.11336716489651799
COPPER,PAUSE_START,10,5,5,-0.03544892413567213,0.15083424858969863,0.15324485033777036
COPPER,PAUSE_START,11,5,5,0.00028750942121269496,0.15083424858969863,0.17285615717869052
COPPER,PAUSE_START,12,5,5,-0.02931813489616797,0.17285615717869052,0.17912487333054217
VIX,FIRST_CUT,1,5,5,0.648596837944666,0.648596837944666,0.9014426877470338
VIX,FIRST_CUT,2,5,5,0.1601818181818171,0.9014426877470338,1.9663181818181812
VIX,FIRST_CUT,3,5,5,-0.3694782608695668,1.9663181818181812,2.460454545454544
VIX,FIRST_CUT,4,5,5,-2.548636363636362,1.9663181818181812,2.460454545454544
VIX,FIRST_CUT,5,5,5,-2.079333333333336,1.9663181818181812,2.460454545454544
VIX,FIRST_CUT,6,5,5,1.5768181818181812,2.460454545454544,2.529155844155845
VIX,FIRST_CUT,7,5,5,3.1361818181818144,3.1361818181818144,3.79294736842105
VIX,FIRST_CUT,8,5,5,5.865562770562768,8.534833333333335,12.653917748917745
VIX,FIRST_CUT,9,5,5,4.678419913419912,8.534833333333335,12.653917748917745
VIX,FIRST_CUT,10,5,5,0.10045238095237963,8.534833333333335,12.653917748917745
VIX,FIRST_CUT,11,5,5,-2.810500000000001,8.534833333333335,12.653917748917745
VIX,FIRST_CUT,12,5,5,5.212484472049688,8.534833333333335,12.653917748917745
VIX,FIRST_HIKE,1,5,5,-1.3749210526315778,-1.3749210526315778,3.933002070393375
VIX,FIRST_HIKE,2,5,5,3.565215311004785,3.565215311004785,5.180576441102756
VIX,FIRST_HIKE,3,5,5,-0.3609090909090913,3.565215311004785,5.180576441102756
VIX,FIRST_HIKE,4,5,5,-1.9095238095238098,3.565215311004785,5.180576441102756
VIX,FIRST_HIKE,5,5,5,-3.578855835240276,3.565215311004785,5.180576441102756
VIX,FIRST_HIKE,6,5,5,0.5986542443064184,3.565215311004785,5.180576441102756
VIX,FIRST_HIKE,7,5,5,-3.0025000000000013,4.257293233082709,5.180576441102756
VIX,FIRST_HIKE,8,5,5,-2.6090000000000018,4.257293233082709,5.180576441102756
VIX,FIRST_HIKE,9,5,5,-3.486239130434786,4.257293233082709,5.180576441102756
VIX,FIRST_HIKE,10,5,5,-1.624761904761904,4.257293233082709,5.180576441102756
VIX,FIRST_HIKE,11,5,5,-0.9738095238095248,4.257293233082709,5.180576441102756
VIX,FIRST_HIKE,12,5,5,-4.104073226544621,4.257293233082709,5.180576441102756
VIX,LAST_HIKE,1,5,5,0.18333333333333002,0.18333333333333002,0.8714545454545437
VIX,LAST_HIKE,2,5,5,-1.1028063241106718,0.18333333333333002,0.8714545454545437
VIX,LAST_HIKE,3,5,5,-2.270045454545455,0.18333333333333002,0.8714545454545437
VIX,LAST_HIKE,4,5,5,-3.1481818181818184,0.18333333333333002,0.8714545454545437
VIX,LAST_HIKE,5,5,5,-1.9642105263157887,0.23971428571428532,0.8714545454545437
VIX,LAST_HIKE,6,5,5,-0.7813533834586472,0.5239751552795031,0.8714545454545437
VIX,LAST_HIKE,7,5,5,-0.6337105263157881,0.5239751552795031,0.8714545454545437
VIX,LAST_HIKE,8,5,5,-0.40995670995670963,0.8714545454545437,2.0829870129870134
VIX,LAST_HIKE,9,5,5,0.19476190476190602,0.8714545454545437,2.0829870129870134
VIX,LAST_HIKE,10,5,5,-0.9444861660079038,1.3326076555023931,2.0829870129870134
VIX,LAST_HIKE,11,5,5,-1.1568181818181813,1.3326076555023931,2.0829870129870134
VIX,LAST_HIKE,12,5,5,0.37073122529644564,1.3326076555023931,2.7587142857142837
VIX,PAUSE_START,1,5,5,-3.141499999999999,-3.141499999999999,0.9726315789473681
VIX,PAUSE_START,2,5,5,-4.019636363636362,-3.141499999999999,0.9726315789473681
VIX,PAUSE_START,3,5,5,-4.50838095238095,-3.141499999999999,0.9726315789473681
VIX,PAUSE_START,4,5,5,-2.465276679841896,-1.1731818181818205,1.0439999999999987
VIX,PAUSE_START,5,5,5,-1.8734368530020706,0.009675324675320951,1.3282608695652165
VIX,PAUSE_START,6,5,5,-2.06641304347826,0.15731818181818014,1.3282608695652165
VIX,PAUSE_START,7,5,5,-0.16327272727272657,0.15731818181818014,2.8872727272727268
VIX,PAUSE_START,8,5,5,-2.7952173913043463,0.15731818181818014,2.8872727272727268
VIX,PAUSE_START,9,5,5,-2.028272727272725,2.1236363636363613,2.8872727272727268
VIX,PAUSE_START,10,5,5,-0.3783809523809527,2.1236363636363613,2.8872727272727268
VIX,PAUSE_START,11,5,5,1.9473333333333347,2.1236363636363613,3.458359683794468
VIX,PAUSE_START,12,5,5,1.8094202898550744,3.458359683794468,6.292380952380951
