mechanism,rolling_windows,median_pearson_36m,min_pearson_36m,max_pearson_36m,positive_window_share,latest_window_end,latest_pearson_36m,status
NASDAQ_RET,107,0.441662865472176,0.12030474298803442,0.5784528717900199,1.0,2026-08,0.4793752568345699,TIME_VARIATION_DIAGNOSTIC
DXY_RET,107,-0.12224277351901504,-0.31470962007351977,0.16544158692583738,0.21495327102803738,2026-08,0.07729317507126883,TIME_VARIATION_DIAGNOSTIC
DFII10_CHANGE_PP,107,-0.12010921901268752,-0.43536128386841927,0.17091481377869272,0.18691588785046728,2026-08,0.06802177377815861,TIME_VARIATION_DIAGNOSTIC
VIX_CHANGE,107,-0.2783094448964983,-0.4267247079368514,-0.03244257293316355,0.0,2026-08,-0.3899102187964906,TIME_VARIATION_DIAGNOSTIC
NFCI_CHANGE,107,-0.30467213891180894,-0.4224521295364303,-0.1670081666924042,0.0,2026-08,-0.4224521295364303,TIME_VARIATION_DIAGNOSTIC
WALCL_3M_PCT,107,0.04968064750137636,-0.43589639165166605,0.4553481050500074,0.5887850467289719,2026-08,-0.3596023584285434,TIME_VARIATION_DIAGNOSTIC
M2SL_3M_PCT,107,0.06666609672162166,-0.3001647401964165,0.28314295184850524,0.7102803738317757,2026-08,-0.19388637416193716,TIME_VARIATION_DIAGNOSTIC
