state_var,state_a,state_b,outcome,outcome_class,n_a,n_b,median_a,q25_a,q75_a,median_b,q25_b,q75_b,oriented_median_diff_a_minus_b,status,loo_sign_stable,evidence_note
INFLATION_LEVEL,HIGH,LOW_OR_MODERATE,gold_ret_12m,PRIMARY,5,5,-0.1176470588235294,-0.1865284974093264,-0.0443458980044345,0.0653775322283609,0.0362318840579709,0.1223958333333332,-0.1830245910518902,SUPPORTED_DESCRIPTIVE,True,Primary event-state contrast; current-vintage macro with timing caveats.
INFLATION_DIRECTION,RISING,FALLING_OR_FLAT,gold_ret_12m,PRIMARY,7,3,0.0307112068965518,-0.0350928456430441,0.0508047081431659,-0.1176470588235294,-0.1576015334850844,0.0511508951406649,0.1483582657200812,SUPPORTED_DESCRIPTIVE,True,Primary event-state contrast; current-vintage macro with timing caveats.
GROWTH_STATE,STRONG,WEAK,gold_ret_12m,PRIMARY,6,4,-0.0350928456430441,-0.0993217686187556,0.0207139647230647,0.0480443695624563,-0.026355596864246,0.1040203614474855,-0.0831372152055004,SUPPORTED_DESCRIPTIVE,True,Primary event-state contrast; current-vintage macro with timing caveats.
ENERGY_DIRECTION_STATE,RISING,FALLING_OR_FLAT,gold_ret_12m,PRIMARY,5,3,0.0362318840579709,0.0307112068965518,0.1223958333333332,-0.0258397932816537,-0.0717434260525915,0.0197688694733536,0.0620716773396246,SUPPORTED_DESCRIPTIVE,True,Primary event-state contrast; current-vintage macro with timing caveats.
USD_DIRECTION_DIAGNOSTIC,RISING,FALLING_OR_FLAT,gold_ret_12m,,5,5,0.0362318840579709,,,-0.1176470588235294,,,0.1538789428815002,SUPPORTED_DESCRIPTIVE,True,USD bridge diagnostic; not primary state family.
