observation_period,first_seen_commit_timestamp_utc,first_seen_commit_sha,file_sha256,next_month_start_utc,release_lag_hours_after_next_month_start,strict_pre_target_available
2026-02,2026-03-05T11:40:03+00:00,2eda8f0b6408852492fd0f6a076022420194d71d,f88f66c6f09a4f63513dbd6491e1a48c0d4d980b9cd6b664a6ac715904e5529e,2026-03-01T00:00:00+00:00,107.6675,False
2026-03,2026-04-03T03:41:38+00:00,1f122532465e2f49f959aea09adf4e5abb89f93f,0b3ae3089c1f49b2000269ab2850599ab2097088ce3c37e9c7f8add52b51837c,2026-04-01T00:00:00+00:00,51.693888888888885,False
2026-05,2026-06-03T05:57:09+00:00,e975c00b94fc85a8e0acb8729294fe700377aa65,a2033cfc1b4ac0d61eb13a991efbf12f767a6106317d93ea7ca3b145af9d1725,2026-06-01T00:00:00+00:00,53.9525,False
2026-06,2026-07-03T04:36:30+00:00,81736bffbfb3fc411aaa8db1610bcff5f5f6e28d,2f709329c533e37a3c4e98f59d1aeb74c83d494b84bbf1bac1e72d9ee72f1a5d,2026-07-01T00:00:00+00:00,52.608333333333334,False
2026-07,2026-08-05T03:54:02+00:00,7adbad9e903633c3d4679d8cd0a6f3ae35e8bb0c,5f6bba02ecfdcacd58359c167f23c83c1c13d5c3b1085722c5126a587fc88ae4,2026-08-01T00:00:00+00:00,99.90055555555556,False
2026-08,2026-09-03T05:22:53+00:00,2bad0e7dbb364940e6df95c2bafd2bbe4a924072,7d7874be55951fcc267547849a52ca69681153dd990c3892de2282acdd1581d9,2026-09-01T00:00:00+00:00,53.381388888888885,False
