market,market_label,symbol,anchor,cycle_id,broad_episode_id,cycle_start_year,anchor_date,episode_weight,ret_3m,ret_6m,ret_12m,mdd_12m,mae_12m,mfe_12m,mdd_trough_month
HANG_SENG,Hang Seng Index,^HSI,FIRST_HIKE,T03_1987,B02,1987,1987-01-05,0.3333333333333333,0.04890801384980947,0.28563977285787123,-0.05537127426042254,0.41946876218547535,-0.1650649820143184,0.43822582421040535,11
HANG_SENG,Hang Seng Index,^HSI,FIRST_HIKE,T04_1987,B02,1987,1987-08-27,0.3333333333333333,-0.34377782690160164,-0.29967610422219204,-0.21621228717211027,0.41946876218547535,-0.3505684596784915,0.11868491825929439,4
HANG_SENG,Hang Seng Index,^HSI,FIRST_HIKE,T05_1988,B02,1988,1988-03-30,0.3333333333333333,0.14674850492418656,0.06650842976406257,0.3200477316991859,0.08854248992064306,0.0,0.34697774213861665,6
HANG_SENG,Hang Seng Index,^HSI,FIRST_HIKE,T06_1994,B03,1994,1994-02-04,1.0,-0.1958617147760937,-0.1587315866309934,-0.2926691985663019,0.3411225896878247,-0.3411225896878247,0.0,11
HANG_SENG,Hang Seng Index,^HSI,FIRST_HIKE,T07_1999,B04,1999,1999-06-30,1.0,0.044909107599065745,0.26981232487597384,0.25157367332099856,0.16067653871223042,0.0,0.36750205082384446,11
HANG_SENG,Hang Seng Index,^HSI,FIRST_HIKE,T08_2004,B05,2004,2004-06-30,1.0,0.12414260341671834,0.2120936149204895,0.2003223752021719,0.0345519828847165,0.0,0.2120936149204895,7
HANG_SENG,Hang Seng Index,^HSI,FIRST_HIKE,T09_2015,B06,2015,2015-12-16,1.0,-0.09816640366736618,-0.0827697947861723,-0.012433401664533328,0.1499391013140846,-0.1499391013140846,0.04591436429857931,2
HANG_SENG,Hang Seng Index,^HSI,FIRST_HIKE,T10_2022,B07,2022,2022-03-16,1.0,-0.10921468960301006,-0.23146979816908586,-0.17680813280729457,0.3214139841778588,-0.3214139841778588,0.0,7
HANG_SENG,Hang Seng Index,^HSI,LAST_HIKE,T03_1987,B02,1987,1987-05-22,0.3333333333333333,0.30205513626937086,-0.19567272398842994,-0.05741621805331243,0.41946876218547535,-0.20399595869115572,0.3711648735828432,7
HANG_SENG,Hang Seng Index,^HSI,LAST_HIKE,T04_1987,B02,1987,1987-09-24,0.3333333333333333,-0.3886556574020795,-0.2769022407649543,-0.2969021684855552,0.3886556574020795,-0.3886556574020795,0.0,3
HANG_SENG,Hang Seng Index,^HSI,LAST_HIKE,T05_1988,B02,1988,1989-05-17,0.3333333333333333,-0.1641990566442958,-0.09953417400543929,-0.031075035125211925,0.24784751153447748,-0.24784751153447748,0.0,1
HANG_SENG,Hang Seng Index,^HSI,LAST_HIKE,T06_1994,B03,1994,1995-02-01,1.0,0.19830348909569984,0.22497276175871384,0.5214823355085858,0.03645187041394893,0.0,0.5214823355085858,6
HANG_SENG,Hang Seng Index,^HSI,LAST_HIKE,T07_1999,B04,1999,2000-05-16,1.0,0.08611201559939374,-0.055651451250076533,-0.14866354707262575,0.25664900006560476,-0.19263754716342918,0.08611201559939374,11
HANG_SENG,Hang Seng Index,^HSI,LAST_HIKE,T08_2004,B05,2004,2006-06-29,1.0,0.053532137632497756,0.16031334432425393,0.28781949932583206,0.05593561139099468,-0.0009877962696520637,0.28781949932583206,9
HANG_SENG,Hang Seng Index,^HSI,LAST_HIKE,T09_2015,B06,2015,2018-12-19,1.0,0.10808746290867166,0.06276807888951863,0.045370061401932116,0.13034090556014521,-0.003599378644144391,0.14573702238764552,8
HANG_SENG,Hang Seng Index,^HSI,LAST_HIKE,T10_2022,B07,2022,2023-07-26,1.0,-0.0931798630086682,-0.17001479768925465,-0.08600560702832727,0.17001479768925465,-0.17001479768925465,0.0,6
HANG_SENG,Hang Seng Index,^HSI,PAUSE_START,T04_1987,B02,1987,1987-11-03,1.0,-0.3165699816166042,-0.24953028270769495,-0.23201494806160727,0.3662346633942315,-0.3662346633942315,0.0,1
HANG_SENG,Hang Seng Index,^HSI,PAUSE_START,T06_1994,B03,1994,1995-03-28,1.0,0.1596197179581884,0.1875571295424503,0.36547757769973943,0.036535735952993864,0.0,0.4172581471409089,12
HANG_SENG,Hang Seng Index,^HSI,PAUSE_START,T07_1999,B04,1999,2000-06-28,1.0,0.10998808928568615,0.023697503458986136,-0.09481268770626161,0.25664900006560476,-0.12061876649704462,0.1829959650024895,10
HANG_SENG,Hang Seng Index,^HSI,PAUSE_START,T08_2004,B05,2004,2006-08-08,1.0,0.15165157847380417,0.24474982578729088,0.3563350631377775,0.05593561139099468,0.0,0.39021213177621883,7
HANG_SENG,Hang Seng Index,^HSI,PAUSE_START,T09_2015,B06,2015,2019-01-30,1.0,0.1459725882426981,0.09164387800043872,0.08201986899915537,0.13034090556014521,-0.0033945166559584683,0.1459725882426981,7
HANG_SENG,Hang Seng Index,^HSI,PAUSE_START,T10_2022,B07,2022,2023-09-20,1.0,-0.11460207438220904,-0.11167123379157518,-0.026045013491272306,0.14532418882839204,-0.14532418882839204,0.005611457232785666,4
HANG_SENG,Hang Seng Index,^HSI,FIRST_CUT,T03_1987,B02,1987,1987-07-02,0.3333333333333333,0.08881106771705705,-0.2192904698971957,-0.12928817610096988,0.41946876218547535,-0.30994928716821313,0.18865388782447035,5
HANG_SENG,Hang Seng Index,^HSI,FIRST_CUT,T04_1987,B02,1987,1987-11-04,0.3333333333333333,-0.3165699816166042,-0.24953028270769495,-0.23201494806160727,0.3662346633942315,-0.3662346633942315,0.0,1
HANG_SENG,Hang Seng Index,^HSI,FIRST_CUT,T05_1988,B02,1988,1989-06-06,0.3333333333333333,-0.14889340734297707,-0.08623362286519332,0.035547778258171014,0.20534769083771176,-0.20534769083771176,0.035547778258171014,1
HANG_SENG,Hang Seng Index,^HSI,FIRST_CUT,T06_1994,B03,1994,1995-07-06,1.0,0.059608322943254244,0.1548840663926061,0.16778652214995815,0.044501328016518515,-0.016005007810008687,0.22217492958498486,12
HANG_SENG,Hang Seng Index,^HSI,FIRST_CUT,T07_1999,B04,1999,2001-01-03,1.0,-0.1409755024979531,-0.1652784562477133,-0.2589237327695215,0.3677423202933403,-0.341778112205796,0.04106586431593939,8
HANG_SENG,Hang Seng Index,^HSI,FIRST_CUT,T08_2004,B05,2004,2007-09-18,1.0,0.25679913187321546,0.010746436519249114,-0.13221240938152135,0.33557881728557826,-0.13221240938152135,0.30608056033557673,12
HANG_SENG,Hang Seng Index,^HSI,FIRST_CUT,T09_2015,B06,2015,2019-07-31,1.0,-0.045453902183290706,0.01790547791043684,-0.0866544049881085,0.15618905493831237,-0.1410802167009254,0.01790547791043684,10
HANG_SENG,Hang Seng Index,^HSI,FIRST_CUT,T10_2022,B07,2022,2024-09-18,1.0,0.1503767130242062,0.3715722611822678,0.5086204089605,0.09207184182522377,0.0,0.5086204089605,7
SHANGHAI_COMPOSITE,Shanghai Composite,000001.SS,FIRST_HIKE,T07_1999,B04,1999,1999-06-30,1.0,0.4099301530050059,0.22538754040272724,0.67787370209178,0.13088776930471357,0.0,0.67787370209178,6
SHANGHAI_COMPOSITE,Shanghai Composite,000001.SS,FIRST_HIKE,T08_2004,B05,2004,2004-06-30,1.0,-0.12064063666073888,-0.16277464656997798,-0.30311678630928496,0.30311678630928496,-0.30311678630928496,0.0,12
SHANGHAI_COMPOSITE,Shanghai Composite,000001.SS,FIRST_HIKE,T09_2015,B06,2015,2015-12-16,1.0,-0.1832511496079634,-0.18589425944165905,-0.1138244707235826,0.2128505699027191,-0.2128505699027191,0.0,2
