anchor,cycle_id,broad_episode_id,cycle_start_year,anchor_date,episode_weight,event_month,spread_level,change_bp,running_max_widening_bp
FIRST_CUT,T10_2022,B07,2022,2024-09-18,1.0,1,2.930434782608696,-43.56521739130432,0.0
FIRST_CUT,T10_2022,B07,2022,2024-09-18,1.0,2,2.6963636363636363,-66.9723320158103,0.0
FIRST_CUT,T10_2022,B07,2022,2024-09-18,1.0,3,2.755238095238095,-61.084886128364424,0.0
FIRST_CUT,T10_2022,B07,2022,2024-09-18,1.0,4,2.7204545454545457,-64.56324110671936,0.0
FIRST_CUT,T10_2022,B07,2022,2024-09-18,1.0,5,2.7085,-65.75869565217394,0.0
FIRST_CUT,T10_2022,B07,2022,2024-09-18,1.0,6,3.1714285714285713,-19.465838509316804,0.0
FIRST_CUT,T10_2022,B07,2022,2024-09-18,1.0,7,4.034761904761905,66.86749482401657,66.86749482401657
FIRST_CUT,T10_2022,B07,2022,2024-09-18,1.0,8,3.354347826086957,-1.1739130434782474,66.86749482401657
FIRST_CUT,T10_2022,B07,2022,2024-09-18,1.0,9,3.125238095238095,-24.084886128364413,66.86749482401657
FIRST_CUT,T10_2022,B07,2022,2024-09-18,1.0,10,2.889130434782609,-47.69565217391305,66.86749482401657
FIRST_CUT,T10_2022,B07,2022,2024-09-18,1.0,11,2.902727272727273,-46.33596837944665,66.86749482401657
FIRST_CUT,T10_2022,B07,2022,2024-09-18,1.0,12,2.788181818181818,-57.79051383399212,66.86749482401657
