anchor,cycle_id,broad_episode_id,cycle_start_year,anchor_date,episode_weight,ret_3m,ret_6m,ret_12m,mdd_12m,mae_12m,mfe_12m,mdd_trough_month
FIRST_HIKE,T09_2015,B06,2015,2015-12-16,1.0,-0.028196682456694044,-0.0013401165260272796,0.029440742200361525,0.07267939764784492,-0.07267939764784492,0.03824870673794978,2
FIRST_HIKE,T10_2022,B07,2022,2022-03-16,1.0,-0.09422142150055768,-0.11641655104905513,-0.11387911912668214,0.1293646348469104,-0.1293646348469104,0.0,7
LAST_HIKE,T09_2015,B06,2015,2018-12-19,1.0,0.023957526190265144,0.03280981191531018,0.04449741086580805,0.008226572136886712,0.0,0.04449741086580805,5
LAST_HIKE,T10_2022,B07,2022,2023-07-26,1.0,-0.027952993169374274,0.03541911614194615,0.04333257836789506,0.028466244043440447,-0.027952993169374274,0.04333257836789506,3
PAUSE_START,T09_2015,B06,2015,2019-01-30,1.0,0.05536698247053162,0.05916840575165039,0.07337089478824121,0.008226572136886712,0.0,0.07337089478824121,4
PAUSE_START,T10_2022,B07,2022,2023-09-20,1.0,0.028335447117292967,0.03732332145899786,0.06754859985065464,0.028466244043440447,-0.028466244043440447,0.06754859985065464,1
FIRST_CUT,T08_2004,B05,2004,2007-09-18,1.0,0.027972061439294427,-0.03255132162289409,-0.10292532045627167,0.14407580586087887,-0.10292532045627167,0.048077254605468855,12
FIRST_CUT,T09_2015,B06,2015,2019-07-31,1.0,0.0038553149757560856,0.01857861804517169,-0.034211137731983254,0.11187134422282197,-0.09537114115216594,0.01857861804517169,8
FIRST_CUT,T10_2022,B07,2022,2024-09-18,1.0,0.00802712481325174,0.007851312537083821,0.03128761666924684,0.02498408008567421,-0.011014112917651642,0.03128761666924684,7
