transition_group,n,median_wti_4w,negative_share_4w,median_wti_8w,negative_share_8w,median_wti_13w,negative_share_13w,median_short_mae_8w,median_short_mae_13w
DD_CONFIRMED_WITHIN_4,1,0.0375837622608528,0.0,0.0733223268913274,0.0,0.0730309798970574,0.0,0.1284840244731475,0.1842284160435077
SN_CONFIRMED_WITHIN_4,1,0.1264245555386718,0.0,0.0817504938459199,0.0,0.0609329889074607,0.0,0.1762650053183405,0.1762650053183405
CLEAN_CANDIDATE_ONLY,4,-0.002235038595873399,0.5,0.1073190268801523,0.0,0.19123269609556576,0.25,0.15240310343503566,0.20979222474660192
REMAINS_MIXED_OR_INCOMPLETE,4,0.0367122076652774,0.5,-0.011183344167099249,0.5,-0.0718823732575877,0.75,0.1143837547991095,0.1143837547991095
