asset,stress_observable,cycle_id,broad_episode_id,cycle_start_year,anchor_date,paired_episode_weight,asset_trough_month,stress_peak_month,lead_months,abs_gap_months,stress_before,same_month,before_or_same,near_2m,both_late_7plus,max_stress_move
NASDAQ,BAA10Y_SPREAD,T08_2004,B05,2004,2007-09-18,1.0,12,12,0,0,False,True,True,True,True,164.0
NASDAQ,BAA10Y_SPREAD,T09_2015,B06,2015,2019-07-31,1.0,8,9,-1,1,False,False,False,True,True,108.0
NASDAQ,BAA10Y_SPREAD,T10_2022,B07,2022,2024-09-18,1.0,7,7,0,0,False,True,True,True,True,16.999999999999993
NASDAQ,VIX,T06_1994,B03,1994,1995-07-06,1.0,12,12,0,0,False,True,True,True,True,6.081818181818182
NASDAQ,VIX,T07_1999,B04,1999,2001-01-03,1.0,8,8,0,0,False,True,True,True,True,8.534833333333335
NASDAQ,VIX,T08_2004,B05,2004,2007-09-18,1.0,12,12,0,0,False,True,True,True,True,5.212484472049688
NASDAQ,VIX,T09_2015,B06,2015,2019-07-31,1.0,8,8,0,0,False,True,True,True,True,41.90081818181818
NASDAQ,VIX,T10_2022,B07,2022,2024-09-18,1.0,7,7,0,0,False,True,True,True,True,12.653917748917744
NASDAQ,COPPER,T06_1994,B03,1994,1995-07-06,1.0,12,12,0,0,False,True,True,True,True,0.3474191050855724
NASDAQ,COPPER,T07_1999,B04,1999,2001-01-03,1.0,8,9,-1,1,False,False,False,True,True,0.2564370076892032
NASDAQ,COPPER,T08_2004,B05,2004,2007-09-18,1.0,12,12,0,0,False,True,True,True,True,0.1995675805374729
NASDAQ,COPPER,T09_2015,B06,2015,2019-07-31,1.0,8,9,-1,1,False,False,False,True,True,0.1676945892855307
NASDAQ,COPPER,T10_2022,B07,2022,2024-09-18,1.0,7,3,4,4,True,False,True,False,False,0.0654587944495498
WTI,BAA10Y_SPREAD,T03_1987,B02,1987,1987-07-02,0.3333333333333333,12,7,5,5,True,False,True,False,True,29.000000000000004
WTI,BAA10Y_SPREAD,T04_1987,B02,1987,1987-11-04,0.3333333333333333,11,3,8,8,True,False,True,False,False,31.000000000000007
WTI,BAA10Y_SPREAD,T05_1988,B02,1988,1989-06-06,0.3333333333333333,12,6,6,6,True,False,True,False,False,37.99999999999999
WTI,BAA10Y_SPREAD,T06_1994,B03,1994,1995-07-06,1.0,11,6,5,5,True,False,True,False,False,9.000000000000007
