asset,anchor,recovery_level,n_legs,n_broad_episodes,observed_recoveries,right_censored,weighted_km_median_months,source_module,support_status,positive_drawdown_episodes,positive_drawdown_broad_episodes,recovery_support_status
DXY,LAST_HIKE,100%,10,7,8,2,12,RECOVERY_EXTENSION_015,SUPPORTED_DESCRIPTIVE,10.0,7.0,SUPPORTED_RECOVERY_DESCRIPTIVE
DXY,PAUSE_START,50%,7,7,6,1,4,RECOVERY_EXTENSION_015,SUPPORTED_DESCRIPTIVE,7.0,7.0,SUPPORTED_RECOVERY_DESCRIPTIVE
DXY,PAUSE_START,100%,7,7,6,1,8,RECOVERY_EXTENSION_015,SUPPORTED_DESCRIPTIVE,7.0,7.0,SUPPORTED_RECOVERY_DESCRIPTIVE
TLT,FIRST_CUT,50%,3,3,3,0,1,RECOVERY_EXTENSION_015,LIMITED_DESCRIPTIVE,3.0,3.0,LIMITED_RECOVERY_DESCRIPTIVE
TLT,FIRST_CUT,100%,3,3,2,1,3,RECOVERY_EXTENSION_015,LIMITED_DESCRIPTIVE,3.0,3.0,LIMITED_RECOVERY_DESCRIPTIVE
TLT,FIRST_HIKE,50%,3,3,2,1,9,RECOVERY_EXTENSION_015,LIMITED_DESCRIPTIVE,3.0,3.0,LIMITED_RECOVERY_DESCRIPTIVE
TLT,FIRST_HIKE,100%,3,3,2,1,30,RECOVERY_EXTENSION_015,LIMITED_DESCRIPTIVE,3.0,3.0,LIMITED_RECOVERY_DESCRIPTIVE
TLT,LAST_HIKE,50%,3,3,3,0,2,RECOVERY_EXTENSION_015,LIMITED_DESCRIPTIVE,3.0,3.0,LIMITED_RECOVERY_DESCRIPTIVE
TLT,LAST_HIKE,100%,3,3,3,0,3,RECOVERY_EXTENSION_015,LIMITED_DESCRIPTIVE,3.0,3.0,LIMITED_RECOVERY_DESCRIPTIVE
TLT,PAUSE_START,50%,3,3,3,0,2,RECOVERY_EXTENSION_015,LIMITED_DESCRIPTIVE,3.0,3.0,LIMITED_RECOVERY_DESCRIPTIVE
TLT,PAUSE_START,100%,3,3,3,0,2,RECOVERY_EXTENSION_015,LIMITED_DESCRIPTIVE,3.0,3.0,LIMITED_RECOVERY_DESCRIPTIVE
VNQ,FIRST_CUT,50%,3,3,3,0,3,RECOVERY_EXTENSION_015,LIMITED_DESCRIPTIVE,3.0,3.0,LIMITED_RECOVERY_DESCRIPTIVE
VNQ,FIRST_CUT,100%,3,3,3,0,12,RECOVERY_EXTENSION_015,LIMITED_DESCRIPTIVE,3.0,3.0,LIMITED_RECOVERY_DESCRIPTIVE
VNQ,FIRST_HIKE,50%,2,2,2,0,2,RECOVERY_EXTENSION_015,LIMITED_DESCRIPTIVE,2.0,2.0,LIMITED_RECOVERY_DESCRIPTIVE
VNQ,FIRST_HIKE,100%,2,2,2,0,21,RECOVERY_EXTENSION_015,LIMITED_DESCRIPTIVE,2.0,2.0,LIMITED_RECOVERY_DESCRIPTIVE
VNQ,LAST_HIKE,50%,3,3,3,0,1,RECOVERY_EXTENSION_015,LIMITED_DESCRIPTIVE,3.0,3.0,LIMITED_RECOVERY_DESCRIPTIVE
VNQ,LAST_HIKE,100%,3,3,2,1,2,RECOVERY_EXTENSION_015,LIMITED_DESCRIPTIVE,3.0,3.0,LIMITED_RECOVERY_DESCRIPTIVE
VNQ,PAUSE_START,50%,3,3,3,0,1,RECOVERY_EXTENSION_015,LIMITED_DESCRIPTIVE,3.0,3.0,LIMITED_RECOVERY_DESCRIPTIVE
VNQ,PAUSE_START,100%,3,3,3,0,2,RECOVERY_EXTENSION_015,LIMITED_DESCRIPTIVE,3.0,3.0,LIMITED_RECOVERY_DESCRIPTIVE
US_HOUSE_PRICE,FIRST_CUT,50%,7,5,2,1,4,RECOVERY_EXTENSION_015,SUPPORTED_DESCRIPTIVE,3.0,3.0,LIMITED_RECOVERY_DESCRIPTIVE
US_HOUSE_PRICE,FIRST_CUT,100%,7,5,2,1,28,RECOVERY_EXTENSION_015,SUPPORTED_DESCRIPTIVE,3.0,3.0,LIMITED_RECOVERY_DESCRIPTIVE
US_HOUSE_PRICE,FIRST_HIKE,50%,7,6,4,0,2,RECOVERY_EXTENSION_015,SUPPORTED_DESCRIPTIVE,4.0,4.0,LIMITED_RECOVERY_DESCRIPTIVE
US_HOUSE_PRICE,FIRST_HIKE,100%,7,6,4,0,2,RECOVERY_EXTENSION_015,SUPPORTED_DESCRIPTIVE,4.0,4.0,LIMITED_RECOVERY_DESCRIPTIVE
US_HOUSE_PRICE,LAST_HIKE,50%,8,6,4,1,2,RECOVERY_EXTENSION_015,SUPPORTED_DESCRIPTIVE,5.0,5.0,SUPPORTED_RECOVERY_DESCRIPTIVE
US_HOUSE_PRICE,LAST_HIKE,100%,8,6,4,1,3,RECOVERY_EXTENSION_015,SUPPORTED_DESCRIPTIVE,5.0,5.0,SUPPORTED_RECOVERY_DESCRIPTIVE
US_HOUSE_PRICE,PAUSE_START,50%,6,6,3,1,1,RECOVERY_EXTENSION_015,SUPPORTED_DESCRIPTIVE,4.0,4.0,LIMITED_RECOVERY_DESCRIPTIVE
US_HOUSE_PRICE,PAUSE_START,100%,6,6,3,1,2,RECOVERY_EXTENSION_015,SUPPORTED_DESCRIPTIVE,4.0,4.0,LIMITED_RECOVERY_DESCRIPTIVE
