asset,asset_label,anchor,cycle_id,broad_episode_id,anchor_date,episode_weight,ret_3m,ret_6m,ret_12m,mdd_12m,mdd_trough_month,recovery50_months,recovery100_months,recovery50_observed,recovery100_observed,recovery_censor_months
BTC_USD,Bitcoin USD,PAUSE_START,T10_2022,B07,2023-09-20,1.0,0.52756291849823,1.430723541670086,1.167054349852937,0.114932959108201,11,2.0,3.0,True,True,25
BTC_USD,Bitcoin USD,FIRST_CUT,T09_2015,B06,2019-07-31,1.0,-0.10662506953450546,-0.1090314981260806,0.01847933248417344,0.35442490115322445,8,2.0,5.0,True,True,60
BTC_USD,Bitcoin USD,FIRST_CUT,T10_2022,B07,2024-09-18,1.0,0.6393689137554788,0.4197977264427333,0.8886980141324052,0.1491793465470136,6,2.0,2.0,True,True,18
DXY,U.S. Dollar Index market proxy,FIRST_HIKE,T01_1983,B01,1983-03-31,0.5,0.04557706764529179,0.08383430541196679,0.06993201513036618,0.051817888867160544,12,2.0,4.0,True,True,60
DXY,U.S. Dollar Index market proxy,FIRST_HIKE,T02_1984,B01,1984-03-29,0.5,0.01945171193481321,0.10596087718528735,0.20113696719335739,0.017818910241379826,8,1.0,1.0,True,True,60
DXY,U.S. Dollar Index market proxy,FIRST_HIKE,T03_1987,B02,1987-01-05,0.3333333333333333,-0.08909365045773088,-0.0672623976343667,-0.16273086924929492,0.16742460491527367,11,8.0,,True,False,60
DXY,U.S. Dollar Index market proxy,FIRST_HIKE,T04_1987,B02,1987-08-27,0.3333333333333333,-0.07993302005074676,-0.08263416286623615,-0.011034643636111507,0.10738519282043835,4,7.0,17.0,True,True,60
DXY,U.S. Dollar Index market proxy,FIRST_HIKE,T05_1988,B02,1988-03-30,0.3333333333333333,0.01572998015379179,0.07352978814319555,0.0643204445234653,0.0656703242062936,8,3.0,6.0,True,True,60
DXY,U.S. Dollar Index market proxy,FIRST_HIKE,T06_1994,B03,1994-02-04,1.0,-0.03885450543106894,-0.07580039928128002,-0.09656481009136808,0.10231729133171008,8,28.0,33.0,True,True,60
DXY,U.S. Dollar Index market proxy,FIRST_HIKE,T07_1999,B04,1999-06-30,1.0,-0.010762997882635683,0.008152044767784306,0.06113745870170639,0.04340327830414148,4,1.0,4.0,True,True,60
DXY,U.S. Dollar Index market proxy,FIRST_HIKE,T08_2004,B05,2004-06-30,1.0,-0.020911818590438114,-0.09917137890383021,-0.023266152974442456,0.09917137890383021,6,6.0,11.0,True,True,60
DXY,U.S. Dollar Index market proxy,FIRST_HIKE,T09_2015,B06,2015-12-16,1.0,-0.028005366722447356,-0.04403308457189947,0.030094331859379375,0.046743925942117515,4,6.0,7.0,True,True,60
DXY,U.S. Dollar Index market proxy,FIRST_HIKE,T10_2022,B07,2022-03-16,1.0,0.0817468927801257,0.1536143306620481,0.08094587824003363,0.08244873304672551,10,24.0,,True,False,44
DXY,U.S. Dollar Index market proxy,LAST_HIKE,T01_1983,B01,1983-08-11,0.5,0.02877651751209709,0.04068534086738995,0.10732558070559284,0.051817888867160544,7,2.0,4.0,True,True,60
DXY,U.S. Dollar Index market proxy,LAST_HIKE,T02_1984,B01,1984-08-09,0.5,0.04049547773753326,0.13770200694741397,-0.012554803371037204,0.13207044498550868,12,,,False,False,60
DXY,U.S. Dollar Index market proxy,LAST_HIKE,T03_1987,B02,1987-05-22,0.3333333333333333,0.025280783359642234,-0.05788221881986888,-0.07452929064805525,0.10852939968244268,7,7.0,17.0,True,True,60
DXY,U.S. Dollar Index market proxy,LAST_HIKE,T04_1987,B02,1987-09-24,0.3333333333333333,-0.10852939968244268,-0.09823515435712615,-0.016442847612553102,0.10852939968244268,3,7.0,17.0,True,True,60
DXY,U.S. Dollar Index market proxy,LAST_HIKE,T05_1988,B02,1989-05-17,0.3333333333333333,0.034372010065512715,0.00733433388264948,-0.05303794328933409,0.10618845873875893,12,,,False,False,60
DXY,U.S. Dollar Index market proxy,LAST_HIKE,T06_1994,B03,1995-02-01,1.0,-0.06342972955976445,-0.04175234738467293,-0.02211058965725865,0.07429307813972585,2,5.0,13.0,True,True,60
DXY,U.S. Dollar Index market proxy,LAST_HIKE,T07_1999,B04,2000-05-16,1.0,0.04123290890838294,0.09095861054978815,0.093559925338355,0.054517710534588315,8,2.0,4.0,True,True,60
DXY,U.S. Dollar Index market proxy,LAST_HIKE,T08_2004,B05,2006-06-29,1.0,0.008805696759548232,-0.017697622768422128,-0.02817769395462011,0.04902238103970813,11,18.0,18.0,True,True,60
DXY,U.S. Dollar Index market proxy,LAST_HIKE,T09_2015,B06,2018-12-19,1.0,0.0002214525256676314,0.0004451334312198796,0.006358298089074399,0.012407026188746006,12,2.0,2.0,True,True,60
DXY,U.S. Dollar Index market proxy,LAST_HIKE,T10_2022,B07,2023-07-26,1.0,0.03143456669164135,-0.0013300342375137664,0.014533241754995263,0.03450937445581215,5,4.0,12.0,True,True,33
DXY,U.S. Dollar Index market proxy,PAUSE_START,T02_1984,B01,1984-08-21,1.0,0.04049547773753326,0.13770200694741397,-0.012554803371037204,0.13207044498550868,12,,,False,False,60
DXY,U.S. Dollar Index market proxy,PAUSE_START,T04_1987,B02,1987-11-03,1.0,-0.05662233362586222,-0.07056301604881343,-0.049779820813804165,0.08207517690102217,1,7.0,8.0,True,True,60
DXY,U.S. Dollar Index market proxy,PAUSE_START,T06_1994,B03,1995-03-28,1.0,-0.05772125572670783,-0.017688875359053835,-0.007630144393851568,0.06299687572978274,1,4.0,12.0,True,True,60
DXY,U.S. Dollar Index market proxy,PAUSE_START,T07_1999,B04,2000-06-28,1.0,0.032243192627329664,0.01750304921916568,0.07369250438460306,0.054517710534588315,7,2.0,4.0,True,True,60
DXY,U.S. Dollar Index market proxy,PAUSE_START,T08_2004,B05,2006-08-08,1.0,-0.012206522873611902,-0.017308564739096144,-0.057725516392598486,0.06444266004835475,11,16.0,16.0,True,True,60
DXY,U.S. Dollar Index market proxy,PAUSE_START,T09_2015,B06,2019-01-30,1.0,0.004983514368466668,0.005059255643867111,0.005784731614288718,0.012407026188746006,11,2.0,2.0,True,True,60
DXY,U.S. Dollar Index market proxy,PAUSE_START,T10_2022,B07,2023-09-20,1.0,-0.00401101046321195,0.0051163621178687,-0.020156079164956986,0.05016006200764067,12,2.0,3.0,True,True,24
DXY,U.S. Dollar Index market proxy,FIRST_CUT,T01_1983,B01,1983-08-17,0.5,0.02877651751209709,0.04068534086738995,0.10732558070559284,0.051817888867160544,7,2.0,4.0,True,True,60
DXY,U.S. Dollar Index market proxy,FIRST_CUT,T02_1984,B01,1984-09-20,0.5,0.06445305515609223,0.12885104066279474,-0.004527713838036074,0.13207044498550868,11,,,False,False,60
DXY,U.S. Dollar Index market proxy,FIRST_CUT,T03_1987,B02,1987-07-02,0.3333333333333333,-0.011885213380661841,-0.0878715116263451,-0.0128281132401038,0.10852939968244268,5,7.0,17.0,True,True,60
DXY,U.S. Dollar Index market proxy,FIRST_CUT,T04_1987,B02,1987-11-04,0.3333333333333333,-0.05662233362586222,-0.07056301604881343,-0.049779820813804165,0.08207517690102217,1,7.0,8.0,True,True,60
DXY,U.S. Dollar Index market proxy,FIRST_CUT,T05_1988,B02,1989-06-06,0.3333333333333333,0.009350961935059132,-0.061012641696836845,-0.08439948887343363,0.09620559627106995,11,,,False,False,60
DXY,U.S. Dollar Index market proxy,FIRST_CUT,T06_1994,B03,1995-07-06,1.0,0.02277723766073092,0.04828849274841862,0.06154710427299048,0.0189042687198252,3,2.0,3.0,True,True,60
DXY,U.S. Dollar Index market proxy,FIRST_CUT,T07_1999,B04,2001-01-03,1.0,0.02468839244795995,0.05076715194827375,0.044698486131233395,0.047467417793964795,8,3.0,5.0,True,True,60
DXY,U.S. Dollar Index market proxy,FIRST_CUT,T08_2004,B05,2007-09-18,1.0,-0.05153263101262684,-0.10479156141667934,-0.03299567120120028,0.1089514768525619,7,5.0,6.0,True,True,60
DXY,U.S. Dollar Index market proxy,FIRST_CUT,T09_2015,B06,2019-07-31,1.0,0.014137184079080045,0.006525416728091038,-0.013330056218421649,0.044026024681736775,12,20.0,21.0,True,True,60
DXY,U.S. Dollar Index market proxy,FIRST_CUT,T10_2022,B07,2024-09-18,1.0,0.04869523695808997,0.01931673276880197,-0.044290103137493264,0.10057479417487158,12,,,False,False,12
