predictor,outcome,n_broad_episodes,spearman_rho,loo_min_rho,loo_max_rho,loo_sign_stable,pvalue_generated
PRE_CUT_STRESS_COUNT,RISK3_MEDIAN_TROUGH_MONTH,6,-0.6356417261637283,-0.8651809126974002,-0.3042903097250923,True,False
PRE_CUT_STRESS_COUNT,RISK3_LATE_TROUGH_SHARE,6,-0.7071067811865477,-0.7905694150420948,-0.7453559924999299,False,False
