classification,growth_state,n,median_gold_ret_6m,median_gold_ret_12m,median_gold_ret_24m,median_gold_mdd_24m
CURRENT_VINTAGE,STRONG,6.0,-0.01902175469957655,-0.0350928456430441,-0.0626830367199819,0.1815510912557266
CURRENT_VINTAGE,WEAK,4.0,0.0295819461592733,0.04804436956245635,0.0979817995414057,0.15483193857541355
CURRENT_VINTAGE,STRONG_MINUS_WEAK,,-0.04860370085884985,-0.08313721520550045,-0.1606648362613876,0.026719152680313052
REALTIME_IPT,STRONG,7.0,-0.0199556541019955,-0.0258397932816537,-0.0217391304347825,0.1639871382636656
REALTIME_IPT,WEAK,3.0,0.1534526854219948,0.0653775322283609,0.0332480818414322,0.1687242798353909
REALTIME_IPT,STRONG_MINUS_WEAK,,-0.17340833952399032,-0.0912173255100146,-0.0549872122762147,-0.004737141571725306
