broad_episode_id,realtime_score_contribution,score_sign
B01,-0.02984909227767887,-1
B02,-0.008583775649947624,-1
B03,-0.000612185686873396,-1
B04,-0.032346383655952986,-1
B05,-0.035526036935945395,-1
B06,-0.017652005234444716,-1
B07,-0.07190302900677624,-1
