flow_classification,metric,n,mean,median,negative_share
FLOW_MIXED,wti_fwd_3m,3,-0.1950283869166711,-0.1515944788196098,0.6666666666666666
FLOW_MIXED,wti_fwd_6m,3,-0.18680003564193534,-0.0890052356020942,0.6666666666666666
FLOW_MIXED,short_mae_3m,3,0.1385451503112938,0.1353829058246134,
FLOW_MIXED,short_mae_6m,3,0.1713565932416117,0.1353829058246134,
FLOW_SN,wti_fwd_3m,1,0.0353475845817203,0.0353475845817203,0.0
FLOW_SN,wti_fwd_6m,1,0.1934017842114124,0.1934017842114124,0.0
FLOW_SN,short_mae_3m,1,0.1506480390506648,0.1506480390506648,
FLOW_SN,short_mae_6m,1,0.2560175054704596,0.2560175054704596,
