anchor,n_common_events,n_common_broad_episodes,tlt_weighted_median_ret_12m,vustx_weighted_median_ret_12m,ret12_abs_diff,tlt_direction,vustx_direction,direction_agree,tlt_weighted_median_mdd_12m,vustx_weighted_median_mdd_12m,mdd_abs_diff
FIRST_HIKE,3,3,0.011036885491340964,0.009890670185308092,0.0011462153060328717,NEUTRAL,NEUTRAL,True,0.1478851333252128,0.14128853680363662,0.006596596521576181
LAST_HIKE,3,3,0.05633407542443192,0.05485477395734484,0.0014793014670870797,POSITIVE,POSITIVE,True,0.049832159766583284,0.038910104571964865,0.010922055194618419
PAUSE_START,3,3,0.08689185074861072,0.09378552744825486,0.006893676699644136,POSITIVE,POSITIVE,True,0.049832159766583284,0.038910104571964865,0.010922055194618419
FIRST_CUT,3,3,0.15130511576335537,0.135123947260249,0.016181168503106358,POSITIVE,POSITIVE,True,0.03634677834875111,0.031887537580944425,0.0044592407678066825
