asset_id,symbol,role,source,source_context_url,price_history_url,acquisition_method,price_field,retrieved_utc,sha256,raw_bytes,rows_total,first_date,last_date,raw_committed
TLT,TLT,TARGET,Yahoo Finance public chart history,https://www.ishares.com/us/products/239454/ishares-20-year-treasury-bond-etf,https://query1.finance.yahoo.com/v8/finance/chart/TLT?period1=0&period2=1893456000&interval=1d&events=history&includeAdjustedClose=true,YAHOO_FINANCE_CHART_JSON,adjusted_close,2026-09-26T05:24:42.298094+00:00,e7c45891391cb96dbc16ff2f8e2505f35825e48d535547380b46a243850e5da0,658622,6079,2002-07-30,2026-09-25,False
VUSTX_LONG_TREASURY_PROXY,VUSTX,CANDIDATE_PROXY,Yahoo Finance public chart history / Vanguard fund context,https://investor.vanguard.com/investment-products/mutual-funds/profile/vustx,https://query1.finance.yahoo.com/v8/finance/chart/VUSTX?period1=0&period2=1893456000&interval=1d&events=history&includeAdjustedClose=true,YAHOO_FINANCE_CHART_JSON,adjusted_close,2026-09-26T05:24:42.826823+00:00,49b3dc769fb63306ed63fb6e82a208d572d6ebf7e447759d267a8f5d7999f29a,1045597,10167,1986-05-19,2026-09-25,False
