asset_tlt,asset_label_tlt,anchor,cycle_id,broad_episode_id,anchor_date,episode_weight_tlt,ret_3m_tlt,ret_6m_tlt,ret_12m_tlt,mdd_12m_tlt,mdd_trough_month_tlt,asset_vustx,asset_label_vustx,episode_weight_vustx,ret_3m_vustx,ret_6m_vustx,ret_12m_vustx,mdd_12m_vustx,mdd_trough_month_vustx,common_episode_weight,ret12_diff,abs_ret12_diff,mdd_diff,abs_mdd_diff,ret12_sign_agree
TLT,TLT target,FIRST_HIKE,T08_2004,B05,2004-06-30,1.0,0.090690892110173,0.1084237371380028,0.22272705214423016,0.029510493625706125,9,VUSTX_LONG_TREASURY_PROXY,VUSTX long-duration Treasury proxy,1.0,0.07489507327290656,0.08815965693325856,0.1713633585817278,0.026520052527846394,9,1.0,-0.051363693562502366,0.051363693562502366,-0.0029904410978597307,0.0029904410978597307,1.0
TLT,TLT target,FIRST_HIKE,T09_2015,B06,2015-12-16,1.0,0.0816645394657558,0.13771614034995006,0.011036885491340964,0.1478851333252128,12,VUSTX_LONG_TREASURY_PROXY,VUSTX long-duration Treasury proxy,1.0,0.07663570986267887,0.13051971700311849,0.009890670185308092,0.14128853680363662,12,1.0,-0.0011462153060328717,0.0011462153060328717,-0.006596596521576181,0.006596596521576181,1.0
TLT,TLT target,FIRST_HIKE,T10_2022,B07,2022-03-16,1.0,-0.17591861779034934,-0.21892817003219534,-0.22514695381710825,0.2775702141140868,7,VUSTX_LONG_TREASURY_PROXY,VUSTX long-duration Treasury proxy,1.0,-0.16874096448199882,-0.20996485840833246,-0.21498578431881243,0.2656592075082933,7,1.0,0.010161169498295819,0.010161169498295819,-0.011911006605793473,0.011911006605793473,1.0
TLT,TLT target,LAST_HIKE,T08_2004,B05,2006-06-29,1.0,0.07155652686073788,0.10592763560771767,0.05633407542443192,0.049832159766583284,12,VUSTX_LONG_TREASURY_PROXY,VUSTX long-duration Treasury proxy,1.0,0.05964402474918051,0.08961085493158416,0.05485477395734484,0.038910104571964865,12,1.0,-0.0014793014670870797,0.0014793014670870797,-0.010922055194618419,0.010922055194618419,1.0
TLT,TLT target,LAST_HIKE,T09_2015,B06,2018-12-19,1.0,0.0837677613698844,0.1730546029118052,0.24227303784310483,0.031142556444084146,12,VUSTX_LONG_TREASURY_PROXY,VUSTX long-duration Treasury proxy,1.0,0.08251899078867897,0.1704996857428771,0.2367074365878281,0.030993614939415437,12,1.0,-0.00556560125527672,0.00556560125527672,-0.00014894150466870926,0.00014894150466870926,1.0
TLT,TLT target,LAST_HIKE,T10_2022,B07,2023-07-26,1.0,-0.1583453675187616,-0.04696797705058953,-0.05655088657069618,0.1583453675187616,3,VUSTX_LONG_TREASURY_PROXY,VUSTX long-duration Treasury proxy,1.0,-0.1462222639967785,-0.03749504840502904,-0.04112176306980175,0.1462222639967785,3,1.0,0.015429123500894426,0.015429123500894426,-0.012123103521983092,0.012123103521983092,1.0
TLT,TLT target,PAUSE_START,T08_2004,B05,2006-08-08,1.0,0.07774765755438429,0.06914071392477661,0.08134112781087044,0.049832159766583284,10,VUSTX_LONG_TREASURY_PROXY,VUSTX long-duration Treasury proxy,1.0,0.06669080293086194,0.06281385544144169,0.07771708835395419,0.038910104571964865,10,1.0,-0.0036240394569162504,0.0036240394569162504,-0.010922055194618419,0.010922055194618419,1.0
TLT,TLT target,PAUSE_START,T09_2015,B06,2019-01-30,1.0,0.0416117472466786,0.11978262278468566,0.2029806473376925,0.031142556444084146,11,VUSTX_LONG_TREASURY_PROXY,VUSTX long-duration Treasury proxy,1.0,0.04180447482290672,0.11926523734061378,0.19889833629203024,0.030993614939415437,11,1.0,-0.004082311045662257,0.004082311045662257,-0.00014894150466870926,0.00014894150466870926,1.0
TLT,TLT target,PAUSE_START,T10_2022,B07,2023-09-20,1.0,0.03301455962895328,0.010264653056540896,0.08689185074861072,0.10037642372783329,1,VUSTX_LONG_TREASURY_PROXY,VUSTX long-duration Treasury proxy,1.0,0.03158728432405877,0.01601702187193621,0.09378552744825486,0.09335939931875425,1,1.0,0.006893676699644136,0.006893676699644136,-0.007017024409079031,0.007017024409079031,1.0
TLT,TLT target,FIRST_CUT,T08_2004,B05,2007-09-18,1.0,0.07496319407296603,0.11264870941203342,0.15130511576335537,0.03412319814339704,9,VUSTX_LONG_TREASURY_PROXY,VUSTX long-duration Treasury proxy,1.0,0.06559848190692086,0.11034479467555425,0.135123947260249,0.031887537580944425,9,1.0,-0.016181168503106358,0.016181168503106358,-0.0022356605624526127,0.0022356605624526127,1.0
TLT,TLT target,FIRST_CUT,T09_2015,B06,2019-07-31,1.0,0.07936891145704483,0.07751744100026614,0.29707976210900267,0.03634677834875111,11,VUSTX_LONG_TREASURY_PROXY,VUSTX long-duration Treasury proxy,1.0,0.07662435391001088,0.0743874913586291,0.29040054009452776,0.03135590801155341,11,1.0,-0.006679222014474906,0.006679222014474906,-0.004990870337197695,0.004990870337197695,1.0
TLT,TLT target,FIRST_CUT,T10_2022,B07,2024-09-18,1.0,-0.056149347721140774,-0.0480719328539736,-0.042401279860644014,0.0905331682216931,4,VUSTX_LONG_TREASURY_PROXY,VUSTX long-duration Treasury proxy,1.0,-0.049814628287150664,-0.037493060560536584,-0.025583986061191166,0.08092748333129529,4,1.0,0.016817293799452848,0.016817293799452848,-0.009605684890397814,0.009605684890397814,1.0
