anchor,asset_id,n_legs,n_broad_episodes,support_status,bridge_status,weighted_median_ret_3m,weighted_median_ret_6m,weighted_median_ret_12m,weighted_median_mdd_12m,weighted_median_mdd_trough_month,weighted_late_trough_share_7_12
FIRST_HIKE,VUSTX_LONG_TREASURY_PROXY,8,6,SUPPORTED_PROXY_DESCRIPTIVE,BRIDGE_PASS_SUPPORTED_PROXY_EXTENSION,-0.021855813070820962,-0.02576121108902696,0.009890670185308092,0.10716261348543388,9.0,0.8888888888888888
LAST_HIKE,VUSTX_LONG_TREASURY_PROXY,8,6,SUPPORTED_PROXY_DESCRIPTIVE,BRIDGE_PASS_SUPPORTED_PROXY_EXTENSION,0.05964402474918051,0.08961085493158416,0.09887023564480257,0.033258370653791225,11.0,0.611111111111111
PAUSE_START,VUSTX_LONG_TREASURY_PROXY,6,6,SUPPORTED_PROXY_DESCRIPTIVE,BRIDGE_PASS_SUPPORTED_PROXY_EXTENSION,0.06669080293086194,0.08212858139760448,0.15054858479693856,0.038910104571964865,10.0,0.6666666666666666
FIRST_CUT,VUSTX_LONG_TREASURY_PROXY,8,6,SUPPORTED_PROXY_DESCRIPTIVE,BRIDGE_PASS_SUPPORTED_PROXY_EXTENSION,0.04318300227658356,0.0743874913586291,0.06021522233548238,0.04524559582790055,10.0,0.7222222222222222
