series,anchor,n_legs,n_broad_episodes,support_status,weighted_median_chg_3m_bp,weighted_median_chg_6m_bp,weighted_median_chg_12m_bp,weighted_median_max_increase_12m_bp,weighted_median_max_decrease_12m_bp
DGS10,FIRST_CUT,10,7,SUPPORTED_DESCRIPTIVE,-12.34199134199132,-31.638095238095197,-20.478571428571435,15.086363636363664,-67.36818181818185
DGS10,FIRST_HIKE,10,7,SUPPORTED_DESCRIPTIVE,37.57380952380957,73.5954545454546,55.777272727272816,114.57272727272726,13.590909090909165
DGS10,LAST_HIKE,10,7,SUPPORTED_DESCRIPTIVE,-39.100000000000094,-54.550000000000054,-59.916267942583715,-0.7142857142858006,-110.5071770334928
DGS10,PAUSE_START,7,7,SUPPORTED_DESCRIPTIVE,-64.1454545454545,-77.35406698564593,-107.50125313283205,-25.956521739130523,-130.80000000000015
DGS2,FIRST_CUT,10,7,SUPPORTED_DESCRIPTIVE,-26.263636363636355,-60.35281385281381,-166.5818181818182,-16.599999999999994,-166.5818181818182
DGS2,FIRST_HIKE,10,7,SUPPORTED_DESCRIPTIVE,54.55023923444973,115.36842105263165,122.73181818181813,167.822966507177,12.6076555023924
DGS2,LAST_HIKE,10,7,SUPPORTED_DESCRIPTIVE,-19.91818181818177,-52.84461152882196,-124.56666666666665,7.813397129186583,-130.76363636363635
DGS2,PAUSE_START,7,7,SUPPORTED_DESCRIPTIVE,-72.80454545454545,-84.13157894736842,-127.92391304347821,-17.210526315789522,-127.92391304347821
