asset,anchor,n_legs,n_broad_episodes,support_status,weighted_median_ret_6m,weighted_median_ret_12m,weighted_median_ret_24m,weighted_median_decline_24m,weighted_median_trough_month_24m
US_HOUSE_PRICE,FIRST_CUT,7,5,SUPPORTED_DESCRIPTIVE,0.008606113570302387,0.05214012956665459,0.12688875143589295,0.0,18.0
US_HOUSE_PRICE,FIRST_HIKE,7,6,SUPPORTED_DESCRIPTIVE,0.0438443791946308,0.05288585085059361,0.11818083180574823,0.00028751404898197386,10.0
US_HOUSE_PRICE,LAST_HIKE,8,6,SUPPORTED_DESCRIPTIVE,0.02034338839877048,0.03473346466675786,0.07337688031499123,0.0044325030720318015,17.0
US_HOUSE_PRICE,PAUSE_START,6,6,SUPPORTED_DESCRIPTIVE,0.021827455588753653,0.03759295632884796,0.05547443381482209,0.001343652585187649,11.0
