anchor,cycle_id,broad_episode_id,anchor_date,episode_weight,ret_6m,ret_12m,ret_24m,decline_24m,trough_month_24m
FIRST_HIKE,T04_1987,B02,1987-08-27,0.5,0.03190836265628505,0.08082653290409536,0.14200793591375316,0.0,
FIRST_HIKE,T05_1988,B02,1988-03-30,0.5,0.053050089964594704,0.07972023913169646,0.11425503511521296,0.00028751404898197386,21.0
FIRST_HIKE,T06_1994,B03,1994-02-04,1.0,0.027085091690324692,0.022928975165605436,0.0409345507557739,0.004331644655771183,12.0
FIRST_HIKE,T07_1999,B04,1999-06-30,1.0,0.0438443791946308,0.0995805369127516,0.1878355704697987,0.0,
FIRST_HIKE,T08_2004,B05,2004-06-30,1.0,0.0696733744564666,0.15965213874001405,0.2441230997404522,0.0,
FIRST_HIKE,T09_2015,B06,2015-12-16,1.0,0.03873498826472033,0.05288585085059361,0.11818083180574823,0.0005824810265371294,1.0
FIRST_HIKE,T10_2022,B07,2022-03-16,1.0,0.046001713700548175,0.03589366697086005,0.10359528802011853,0.04993102105075231,10.0
LAST_HIKE,T03_1987,B02,1987-05-22,0.3333333333333333,0.04802068583389785,0.08366681031829115,0.15888382687927116,0.0,
LAST_HIKE,T04_1987,B02,1987-09-24,0.3333333333333333,0.030563855564970543,0.07883274613863733,0.13600618412641774,0.0,
LAST_HIKE,T05_1988,B02,1989-05-17,0.3333333333333333,0.02205243965966308,0.032457558069643344,0.011981246744226404,0.03129230650214665,22.0
LAST_HIKE,T06_1994,B03,1995-02-01,1.0,0.02034338839877048,0.017156923999700258,0.044598005648164296,0.0041352141624967365,12.0
LAST_HIKE,T07_1999,B04,2000-05-16,1.0,0.05609518236785638,0.09422664326116625,0.177959820557831,0.0,
LAST_HIKE,T08_2004,B05,2006-06-29,1.0,-0.00624796615684986,-0.015413819286256514,-0.09680551035904106,0.0979161136901634,24.0
LAST_HIKE,T09_2015,B06,2018-12-19,1.0,0.026682790770251152,0.03473346466675786,0.1425520294915057,0.0044325030720318015,1.0
LAST_HIKE,T10_2022,B07,2023-07-26,1.0,0.007819645440215961,0.05598619642845559,0.07337688031499123,0.007011929186579446,17.0
PAUSE_START,T04_1987,B02,1987-11-03,1.0,0.036906129421813816,0.07600659774380736,0.12688875143589295,0.0,
PAUSE_START,T06_1994,B03,1995-03-28,1.0,0.021827455588753653,0.020927354327361813,0.048980510307409686,0.0041352141624967365,11.0
PAUSE_START,T07_1999,B04,2000-06-28,1.0,0.04909306564064009,0.09229419195571897,0.17968004165822915,0.0,
PAUSE_START,T08_2004,B05,2006-08-08,1.0,-0.011586776232753948,-0.02368815917056233,-0.11013666870703709,0.11013666870703709,24.0
PAUSE_START,T09_2015,B06,2019-01-30,1.0,0.032404014345323695,0.03759295632884796,0.15497933218023507,0.001343652585187649,1.0
PAUSE_START,T10_2022,B07,2023-09-20,1.0,0.016806641784578247,0.041857748481240575,0.05547443381482209,0.00819046757437314,24.0
FIRST_CUT,T03_1987,B02,1987-07-02,0.3333333333333333,0.03573100563299447,0.08256187987978914,0.14833048914931224,0.0,
FIRST_CUT,T04_1987,B02,1987-11-04,0.3333333333333333,0.036906129421813816,0.07600659774380736,0.12688875143589295,0.0,
FIRST_CUT,T05_1988,B02,1989-06-06,0.3333333333333333,0.01595059432897261,0.029337937446045625,0.012710007304601811,0.03129230650214665,21.0
FIRST_CUT,T06_1994,B03,1995-07-06,1.0,0.004428381112152824,0.028988010065624126,0.0588764987417969,0.0041352141624967365,7.0
FIRST_CUT,T07_1999,B04,2001-01-03,1.0,0.04996690933156844,0.07026251930289007,0.173367527024046,0.0,
FIRST_CUT,T08_2004,B05,2007-09-18,1.0,-0.06843325898554098,-0.10166783181863581,-0.16981812532596507,0.18710121286771642,18.0
FIRST_CUT,T09_2015,B06,2019-07-31,1.0,0.008606113570302387,0.05214012956665459,0.26071014685487404,0.0,
