asset,asset_label,anchor,cycle_id,broad_episode_id,anchor_date,episode_weight,ret_3m,ret_6m,ret_12m,mdd_12m,mdd_trough_month
DXY,U.S. Dollar Index market proxy,FIRST_HIKE,T03_1987,B02,1987-01-05,0.3333333333333333,-0.08909365045773088,-0.0672623976343667,-0.16273086924929492,0.16742460491527367,11
DXY,U.S. Dollar Index market proxy,FIRST_HIKE,T04_1987,B02,1987-08-27,0.3333333333333333,-0.07993302005074676,-0.08263416286623615,-0.011034643636111507,0.10738519282043835,4
DXY,U.S. Dollar Index market proxy,FIRST_HIKE,T05_1988,B02,1988-03-30,0.3333333333333333,0.01572998015379179,0.07352978814319555,0.0643204445234653,0.0656703242062936,8
DXY,U.S. Dollar Index market proxy,FIRST_HIKE,T06_1994,B03,1994-02-04,1.0,-0.03885450543106894,-0.07580039928128002,-0.09656481009136808,0.10231729133171008,8
DXY,U.S. Dollar Index market proxy,FIRST_HIKE,T07_1999,B04,1999-06-30,1.0,-0.010762997882635683,0.008152044767784306,0.06113745870170639,0.04340327830414148,4
DXY,U.S. Dollar Index market proxy,FIRST_HIKE,T08_2004,B05,2004-06-30,1.0,-0.020911818590438114,-0.09917137890383021,-0.023266152974442456,0.09917137890383021,6
DXY,U.S. Dollar Index market proxy,FIRST_HIKE,T09_2015,B06,2015-12-16,1.0,-0.028005366722447356,-0.04403308457189947,0.030094331859379375,0.046743925942117515,4
DXY,U.S. Dollar Index market proxy,FIRST_HIKE,T10_2022,B07,2022-03-16,1.0,0.0817468927801257,0.1536143306620481,0.08094587824003363,0.08244873304672551,10
DXY,U.S. Dollar Index market proxy,LAST_HIKE,T01_1983,B01,1983-08-11,0.5,0.02877651751209709,0.04068534086738995,0.10732558070559284,0.051817888867160544,7
DXY,U.S. Dollar Index market proxy,LAST_HIKE,T02_1984,B01,1984-08-09,0.5,0.04049547773753326,0.13770200694741397,-0.012554803371037204,0.13207044498550868,12
DXY,U.S. Dollar Index market proxy,LAST_HIKE,T03_1987,B02,1987-05-22,0.3333333333333333,0.025280783359642234,-0.05788221881986888,-0.07452929064805525,0.10852939968244268,7
DXY,U.S. Dollar Index market proxy,LAST_HIKE,T04_1987,B02,1987-09-24,0.3333333333333333,-0.10852939968244268,-0.09823515435712615,-0.016442847612553102,0.10852939968244268,3
DXY,U.S. Dollar Index market proxy,LAST_HIKE,T05_1988,B02,1989-05-17,0.3333333333333333,0.034372010065512715,0.00733433388264948,-0.05303794328933409,0.10618845873875893,12
