asset,phase,scope_tier,support_status,weighted_km_median_months_50,weighted_km_median_months_100,recovery_support_status_50,recovery_support_status_100,weighted_km_median_anchor_to_50_months,weighted_km_median_anchor_to_100_months,observed_50_recoveries,censored_50_recoveries,observed_100_recoveries,censored_100_recoveries,causal_status,oos_status,deployment_status
WTI,LAST_HIKE,CORE_SUPPORTED,PRIMARY_SUPPORTED,5.0,19.0,SUPPORTED_RECOVERY_DESCRIPTIVE,SUPPORTED_RECOVERY_DESCRIPTIVE,12.0,29.0,8.0,0.0,8.0,0.0,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
WTI,PAUSE_START,CORE_SUPPORTED,PRIMARY_SUPPORTED,5.0,8.0,SUPPORTED_RECOVERY_DESCRIPTIVE,SUPPORTED_RECOVERY_DESCRIPTIVE,11.0,17.0,6.0,0.0,6.0,0.0,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
HANG_SENG,FIRST_CUT,DIAGNOSTIC_ASIA,ADEQUATE_DIAGNOSTIC,,,,,,,,,,,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
HANG_SENG,FIRST_HIKE,DIAGNOSTIC_ASIA,ADEQUATE_DIAGNOSTIC,,,,,,,,,,,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
HANG_SENG,LAST_HIKE,DIAGNOSTIC_ASIA,ADEQUATE_DIAGNOSTIC,,,,,,,,,,,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
HANG_SENG,PAUSE_START,DIAGNOSTIC_ASIA,ADEQUATE_DIAGNOSTIC,,,,,,,,,,,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
KOSPI,FIRST_CUT,DIAGNOSTIC_ASIA,ADEQUATE_DIAGNOSTIC,,,,,,,,,,,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
KOSPI,FIRST_HIKE,DIAGNOSTIC_ASIA,ADEQUATE_DIAGNOSTIC,,,,,,,,,,,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
KOSPI,LAST_HIKE,DIAGNOSTIC_ASIA,ADEQUATE_DIAGNOSTIC,,,,,,,,,,,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
KOSPI,PAUSE_START,DIAGNOSTIC_ASIA,ADEQUATE_DIAGNOSTIC,,,,,,,,,,,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
