period,WB_PRICE,WB_RET_3M,WB_RET_6M,WB_VOL_6M,GCF_PRICE,GCF_N_DAILY,GCF_RET_3M,GCF_RET_6M,GCF_VOL_6M,ABS_REL_LEVEL_GAP,ABS_RET3_DIFF,ABS_RET6_DIFF,ABS_VOL6_DIFF
2001-03,263.0,-0.029520295202952074,-0.04014598540145986,0.01517521969515128,262.29090742631394,22,-0.033972700882943796,-0.04059800673123026,0.01583808324150149,0.0026961694816960424,0.004452405679991722,0.0004520213297704023,0.0006628635463502078
2001-04,260.0,-0.018867924528301883,-0.03703703703703709,0.014894330564906334,261.07999725341796,20,-0.016171406769403318,-0.03235285026663737,0.01554230281608706,0.004153835590068988,0.0026965177588985645,0.004684186770399723,0.0006479722511807257
2001-05,272.0,0.03816793893129766,0.022556390977443552,0.02480624242693666,272.0772718949751,22,0.03923530520686436,0.02332778568095417,0.023605231540657183,0.00028408784917322016,0.0010673662755666946,0.0007713947035106195,0.0012010108862794758
2001-06,270.0,0.026615969581748944,-0.0036900369003689537,0.023937681656153773,270.7142857142857,21,0.03211464084144122,-0.002949081128772013,0.02217115647812477,0.002645502645502784,0.005498671259692278,0.0007409557715969406,0.0017665251780290027
2001-07,268.0,0.03076923076923066,0.01132075471698113,0.021909961378740295,267.52381097702755,21,0.024681376556607182,0.008110837207278232,0.0203229743993694,0.00177682471258378,0.006087854212623478,0.0032099175097028976,0.0015869869793708954
2001-08,272.0,0.0,0.03816793893129766,0.02134183215610379,272.89565111243206,23,0.0030078926172592,0.04236121340899124,0.02000656294472678,0.0032928349721768058,0.0030078926172592,0.004193274477693576,0.0013352692113770097
2001-09,283.0,0.04814814814814805,0.07604562737642584,0.025191691574179435,284.9625015258789,16,0.05263193175786407,0.08643682818450027,0.024541374744428555,0.006934634367063319,0.004483783609716019,0.01039120080807443,0.0006503168297508806
2001-10,283.0,0.05597014925373145,0.08846153846153837,0.023406293670839073,283.3782600734545,23,0.05926369334574244,0.08540777943395139,0.024686437023154068,0.001336608033408071,0.0032935440920109915,0.0030537590275869775,0.001280143352314994
2001-11,276.0,0.014705882352941124,0.014705882352941124,0.022328131132539005,276.10999908447263,20,0.01177867056121129,0.014821992154692598,0.024912982986380852,0.00039854740750944195,0.0029272117917298335,0.0001161098017514739,0.002584851853841847
2001-12,276.0,-0.02473498233215543,0.022222222222222143,0.021878162550661953,276.00526508532073,19,-0.03143303554887111,0.019544514827042336,0.02470563952892226,1.9076396089667824e-05,0.0066980532167156825,0.002677707395179807,0.0028274769782603085
2002-01,282.0,-0.0035335689045936647,0.052238805970149294,0.02213087163263599,281.74761672247024,21,-0.0057542993967200085,0.05316837291415566,0.024291952576938242,0.0008949761614530649,0.0022207304921263438,0.0009295669440063659,0.0021610809443022537
2002-02,296.0,0.07246376811594213,0.08823529411764697,0.027631532862138937,296.21579300729854,19,0.0728180579822999,0.08545442845939188,0.029629481819654496,0.0007290304300626715,0.00035428986635777093,0.002780865658255083,0.0019979489575155593
2002-03,294.0,0.0652173913043479,0.03886925795053009,0.025460029711081234,294.37500152587893,20,0.0665557464451978,0.033030661752333046,0.026460860436583612,0.001275515394145943,0.0013383551408499006,0.0058385961981970436,0.001000830725502378
2002-04,303.0,0.07446808510638303,0.07067137809187285,0.02689038129785427,303.5000013871626,22,0.07720521265711056,0.07100665135177398,0.027544203552875922,0.0016501695945960737,0.002737127550727525,0.00033527325990112544,0.0006538222550216514
2002-05,314.0,0.060810810810810745,0.1376811594202898,0.021278192934751684,314.6272735595703,22,0.06215563446280581,0.13949974503934492,0.021710986154759606,0.0019976864954469598,0.001344823651995064,0.0018185856190551242,0.00043279322000792236
2002-06,321.0,0.09183673469387754,0.16304347826086962,0.01855206608332774,321.13000335693357,20,0.09088747920975404,0.16349230967627948,0.018951587305320133,0.000404994881413101,0.0009492554841235012,0.00044883141540985605,0.0003995212219923931
