asset,asset_label,primary_asset,cycle_id,broad_episode_id,cycle_start_year,first_hike,episode_weight,baseline_period,ret_12m,ret_24m,mdd_24m,mfe_24m,event_trough_month,mdd_trough_month,mdd_peak_index,recovery50_months,recovery100_months,recovery50_observed,recovery100_observed,recovery_censor_months
NASDAQ,Nasdaq Composite monthly average,True,T09_2015,B06,2015,2015-12-16,1.0,2015-11,0.06504843655748016,0.3555790129183283,0.12184959884466473,0.3555790129183283,2,2,0,2.0,6.0,True,True,60
NASDAQ,Nasdaq Composite monthly average,True,T10_2022,B07,2022,2022-03-16,1.0,2022-02,-0.16272252961744704,0.16674669859991753,0.22284298545231773,0.16674669859991753,7,7,0,7.0,9.0,True,True,47
WTI,WTI spot monthly average,True,T03_1987,B02,1987,1987-01-05,0.3333333333333333,1986-12,0.07526265362759355,0.1287448790802168,0.3555863077132204,0.34138694330646224,21,21,6,3.0,15.0,True,True,60
WTI,WTI spot monthly average,True,T04_1987,B02,1987,1987-08-27,0.3333333333333333,1987-07,-0.27355148762836035,-0.13051616828115487,0.3555863077132204,0.0,14,14,0,3.0,15.0,True,True,60
WTI,WTI spot monthly average,True,T05_1988,B02,1988,1988-03-30,0.3333333333333333,1988-02,0.1600632505199997,0.21386485420677825,0.22908460795094798,0.36125093754591076,7,7,1,2.0,3.0,True,True,60
WTI,WTI spot monthly average,True,T06_1994,B03,1994,1994-02-04,1.0,1994-01,0.23718860155810306,0.27758523652951794,0.12974055825995356,0.3275348795876656,1,17,14,5.0,8.0,True,True,60
WTI,WTI spot monthly average,True,T07_1999,B04,1999,1999-06-30,1.0,1999-05,0.7860354332815929,0.5495454635089034,0.20650806889339002,0.9296553016110904,1,21,17,22.0,23.0,True,True,60
WTI,WTI spot monthly average,True,T08_2004,B05,2004,2004-06-30,1.0,2004-05,0.39549817081210414,0.7579922424328296,0.18791304494519445,0.7579922424328296,1,6,4,3.0,3.0,True,True,60
WTI,WTI spot monthly average,True,T09_2015,B06,2015,2015-12-16,1.0,2015-11,0.22446254881138916,0.3637306065710886,0.2855678725835522,0.3637306065710886,2,2,0,1.0,3.0,True,True,60
WTI,WTI spot monthly average,True,T10_2022,B07,2022,2022-03-16,1.0,2022-02,-0.2003820996955088,-0.11308308158834823,0.38828071223015603,0.25311898499047447,15,15,3,34.0,,True,False,39
USD_BROAD,Nominal Broad U.S. Dollar Index monthly average,False,T09_2015,B06,2015,2015-12-16,1.0,2015-11,0.05562833247577603,-0.007304044793262077,0.07676177202484635,0.05562833247577603,21,21,12,11.0,30.0,True,True,60
USD_BROAD,Nominal Broad U.S. Dollar Index monthly average,False,T10_2022,B07,2022,2022-03-16,1.0,2022-02,0.04997725027465605,0.04922784677709835,0.07398333260184964,0.10854876509932398,1,16,7,3.0,17.0,True,True,38
