anchor,n_common_events,n_common_broad_episodes,vnq_weighted_median_ret_12m,vgsix_weighted_median_ret_12m,ret12_abs_diff,vnq_direction,vgsix_direction,direction_agree,vnq_weighted_median_mdd_12m,vgsix_weighted_median_mdd_12m,mdd_abs_diff
FIRST_HIKE,2,2,-0.177621460168358,-0.1789314246047803,0.001309964436422284,NEGATIVE,NEGATIVE,True,0.11448843287315646,0.11465056419321384,0.0001621313200573793
LAST_HIKE,3,3,0.18977782794638887,0.18786189781750107,0.0019159301288877995,POSITIVE,POSITIVE,True,0.09416414285121277,0.09444622090238675,0.0002820780511739729
PAUSE_START,3,3,0.23517663146257295,0.23301773818164584,0.00215889328092711,POSITIVE,POSITIVE,True,0.09416414285121277,0.09444622090238675,0.0002820780511739729
FIRST_CUT,3,3,-0.04652864177787408,-0.04755246105977218,0.0010238192818980973,NEGATIVE,NEGATIVE,True,0.18791670923802173,0.18811070688471598,0.000193997646694255
