asset_id,symbol,role,source,source_context_url,price_history_url,acquisition_method,price_field,retrieved_utc,sha256,raw_bytes,rows_total,first_date,last_date,raw_committed
VNQ,VNQ,TARGET,Yahoo Finance public chart history / Vanguard context,https://fund-docs.vanguard.com/F0986.pdf,https://query1.finance.yahoo.com/v8/finance/chart/VNQ?period1=0&period2=1893456000&interval=1d&events=history&includeAdjustedClose=true,YAHOO_FINANCE_CHART_JSON,adjusted_close,2026-09-26T05:30:02.143195+00:00,258e827ebb67626a4ce6c3ef91bfd9a68b86aea5427a98a78e5fb9d4d2d07bdf,588935,5533,2004-09-29,2026-09-25,False
VGSIX_REIT_PROXY,VGSIX,CANDIDATE_PROXY,Yahoo Finance public chart history / Vanguard context,https://workplace.vanguard.com/assets/corp/fund_communications/pdf_publish/us-products/fact-sheet/F0123.pdf,https://query1.finance.yahoo.com/v8/finance/chart/VGSIX?period1=0&period2=1893456000&interval=1d&events=history&includeAdjustedClose=true,YAHOO_FINANCE_CHART_JSON,adjusted_close,2026-09-26T05:30:02.689504+00:00,1e9d130c18eb1d819a82b5ebde79e3b2a525cd31f1b0758ccd3eea85351d5b84,795911,7642,1996-05-13,2026-09-25,False
