asset_vnq,asset_label_vnq,anchor,cycle_id,broad_episode_id,anchor_date,episode_weight_vnq,ret_3m_vnq,ret_6m_vnq,ret_12m_vnq,mdd_12m_vnq,mdd_trough_month_vnq,asset_vgsix,asset_label_vgsix,episode_weight_vgsix,ret_3m_vgsix,ret_6m_vgsix,ret_12m_vgsix,mdd_12m_vgsix,mdd_trough_month_vgsix,common_episode_weight,ret12_diff,abs_ret12_diff,mdd_diff,abs_mdd_diff,ret12_sign_agree
VNQ,VNQ target,FIRST_HIKE,T09_2015,B06,2015-12-16,1.0,0.04925832409268782,0.11390935975078031,0.0899046583709433,0.11448843287315646,11,VGSIX_REIT_PROXY,VGSIX listed-REIT proxy,1.0,0.04847566470028819,0.11274386661996805,0.0880887101970298,0.11465056419321384,11,1.0,-0.0018159481739135064,0.0018159481739135064,0.0001621313200573793,0.0001621313200573793,1.0
VNQ,VNQ target,FIRST_HIKE,T10_2022,B07,2022-03-16,1.0,-0.09963903688666986,-0.13330269629645075,-0.177621460168358,0.26006587371338374,7,VGSIX_REIT_PROXY,VGSIX listed-REIT proxy,1.0,-0.10014737157707787,-0.13413808225125945,-0.1789314246047803,0.26058621334969434,7,1.0,-0.001309964436422284,0.001309964436422284,0.0005203396363105961,0.0005203396363105961,1.0
VNQ,VNQ target,LAST_HIKE,T08_2004,B05,2006-06-29,1.0,0.13582797726379647,0.24881583058351797,0.21084583237503174,0.11768968541431768,12,VGSIX_REIT_PROXY,VGSIX listed-REIT proxy,1.0,0.13533692723916713,0.24788695734183142,0.21058636531844943,0.11685720790766019,12,1.0,-0.0002594670565823076,0.0002594670565823076,-0.0008324775066574919,0.0008324775066574919,1.0
VNQ,VNQ target,LAST_HIKE,T09_2015,B06,2018-12-19,1.0,0.07802169693661987,0.13101864434478538,0.18977782794638887,0.016812386953612424,12,VGSIX_REIT_PROXY,VGSIX listed-REIT proxy,1.0,0.07741114398715476,0.13021314168693943,0.18786189781750107,0.016726840478047622,12,1.0,-0.0019159301288877995,0.0019159301288877995,-8.554647556480166e-05,8.554647556480166e-05,1.0
VNQ,VNQ target,LAST_HIKE,T10_2022,B07,2023-07-26,1.0,-0.0880093824864705,0.07569039460879878,0.11470320802409484,0.09416414285121277,3,VGSIX_REIT_PROXY,VGSIX listed-REIT proxy,1.0,-0.08849600668759472,0.07456838762882811,0.11268606033047113,0.09444622090238675,3,1.0,-0.002017147693623711,0.002017147693623711,0.0002820780511739729,0.0002820780511739729,1.0
VNQ,VNQ target,PAUSE_START,T08_2004,B05,2006-08-08,1.0,0.1364588312173689,0.2891340732571275,0.0438126579812006,0.19029938030890559,12,VGSIX_REIT_PROXY,VGSIX listed-REIT proxy,1.0,0.13667403899813135,0.2888015836818445,0.04377010414285287,0.1901235090346386,12,1.0,-4.2553838347725303e-05,4.2553838347725303e-05,-0.00017587127426699212,0.00017587127426699212,1.0
VNQ,VNQ target,PAUSE_START,T09_2015,B06,2019-01-30,1.0,0.12459759290104855,0.1650190729420853,0.2514850968553235,0.016812386953612424,11,VGSIX_REIT_PROXY,VGSIX listed-REIT proxy,1.0,0.12377565687383729,0.16368461663155176,0.2489160922819711,0.016726840478047622,11,1.0,-0.002569004573352407,0.002569004573352407,-8.554647556480166e-05,8.554647556480166e-05,1.0
VNQ,VNQ target,PAUSE_START,T10_2022,B07,2023-09-20,1.0,0.06534705400694207,0.07079194214796547,0.23517663146257295,0.09416414285121277,1,VGSIX_REIT_PROXY,VGSIX listed-REIT proxy,1.0,0.06520954024267822,0.06963506323127877,0.23301773818164584,0.09444622090238675,1,1.0,-0.00215889328092711,0.00215889328092711,0.0002820780511739729,0.0002820780511739729,1.0
VNQ,VNQ target,FIRST_CUT,T08_2004,B05,2007-09-18,1.0,-0.03705628302514119,-0.07138995712379637,-0.04652864177787408,0.18791670923802173,4,VGSIX_REIT_PROXY,VGSIX listed-REIT proxy,1.0,-0.03757148302803537,-0.07084292922914015,-0.04755246105977218,0.18811070688471598,4,1.0,-0.0010238192818980973,0.0010238192818980973,0.000193997646694255,0.000193997646694255,1.0
VNQ,VNQ target,FIRST_CUT,T09_2015,B06,2019-07-31,1.0,0.06994070181994583,0.08254706622170427,-0.07089469346382837,0.23476633396124336,9,VGSIX_REIT_PROXY,VGSIX listed-REIT proxy,1.0,0.06888606404295161,0.08100368389872536,-0.07366725402001073,0.234839232571445,9,1.0,-0.0027725605561823574,0.0027725605561823574,7.289861020165489e-05,7.289861020165489e-05,1.0
VNQ,VNQ target,FIRST_CUT,T10_2022,B07,2024-09-18,1.0,0.013990327951580728,0.009991810032653259,0.0361667813677522,0.08300113632123685,7,VGSIX_REIT_PROXY,VGSIX listed-REIT proxy,1.0,0.013857266509350152,0.009337670398350095,0.03477994298142195,0.08331642342096757,7,1.0,-0.001386838386330247,0.001386838386330247,0.0003152870997307211,0.0003152870997307211,1.0
