event_id,cycle_id,cycle_start_year,event_type,event_date,asset,asset_kind,baseline_date,baseline_value,first_post_date,usable_post_obs_252,ret_1d,ret_5d,ret_20d,ret_60d,ret_120d,ret_252d,mae,mfe,time_to_event_min_obs,time_to_event_max_obs,mdd,mdd_peak_obs,mdd_trough_obs,time_peak_to_trough_obs,recovery50_obs_from_trough,recovery100_obs_from_trough,recovery50_obs_from_event,recovery100_obs_from_event,recovery50_observed,recovery100_observed,recovery_censor_obs,rv_20d_ann,down_semivol_20d_ann,tail_loss_freq_20d,rv_60d_ann,down_semivol_60d_ann,tail_loss_freq_60d,rv_120d_ann,down_semivol_120d_ann,tail_loss_freq_120d,rv_252d_ann,down_semivol_252d_ann,tail_loss_freq_252d,min_bp_excursion,max_bp_excursion,time_to_min_obs,time_to_max_obs,chg_1d_bp,chg_5d_bp,chg_20d_bp,chg_60d_bp,chg_120d_bp,chg_252d_bp,bp_vol_20d_ann,bp_vol_60d_ann,bp_vol_120d_ann,bp_vol_252d_ann
T01_1983_LAST_HIKE,T01_1983,1983,LAST_HIKE,1983-08-11,DGS2,rate,1983-08-10,11.41,1983-08-11,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.00000000000003,175.99999999999997,40.0,218.0,-8.999999999999986,-55.00000000000007,-46.000000000000085,-65.00000000000003,-88.00000000000009,92.99999999999997,162.95856754660673,149.78238451788766,120.04822560366402,132.60640319128882
T01_1983_LAST_HIKE,T01_1983,1983,LAST_HIKE,1983-08-11,DGS10,rate,1983-08-10,12.17,1983-08-11,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-85.99999999999994,182.00000000000003,40.0,199.0,-13.000000000000078,-51.99999999999996,-40.000000000000036,-32.00000000000003,-57.00000000000003,50.0,167.92103407319357,147.37265114357143,117.95245801992093,133.90006382236524
T01_1983_TIGHTENING_CYCLE_END,T01_1983,1983,TIGHTENING_CYCLE_END,1983-08-11,SP500,price,1983-08-10,161.5399932861328,1983-08-11,252,0.0,0.023214065592770616,0.03856636898141397,0.011823720078570465,0.011576144940555144,0.0013000292348359643,-0.08493244108047038,0.06877554210784576,241.0,42.0,0.1438168980599729,42.0,241.0,199.0,8.0,125.0,249.0,366.0,True,True,756.0,0.1149339912975533,0.061904678025969134,0.0,0.11374108060401848,0.0761463164991572,0.0,0.10349783693552249,0.06810601418694469,0.0,0.12213198576912601,0.0805603789950173,0.011904761904761904,,,,,,,,,,,,,,
T01_1983_TIGHTENING_CYCLE_END,T01_1983,1983,TIGHTENING_CYCLE_END,1983-08-11,NASDAQ,price,1983-08-10,296.65,1983-08-11,252,0.0030675880667454525,0.014124389010618632,0.01732681611326492,-0.07547615034552502,-0.09512893982808013,-0.1639305578965109,-0.24051913028821836,0.02666441934940167,242.0,30.0,0.26024428684003154,30.0,242.0,212.0,124.0,246.0,366.0,488.0,True,True,756.0,0.11457428048391075,0.0779373087628822,0.05,0.10579722487637841,0.08816341570902637,0.03333333333333333,0.10004727858078043,0.07834241292436507,0.03333333333333333,0.11168289697086377,0.08204102983114503,0.027777777777777776,,,,,,,,,,,,,,
T01_1983_TIGHTENING_CYCLE_END,T01_1983,1983,TIGHTENING_CYCLE_END,1983-08-11,DGS2,rate,1983-08-10,11.41,1983-08-11,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.00000000000003,175.99999999999997,40.0,218.0,-8.999999999999986,-55.00000000000007,-46.000000000000085,-65.00000000000003,-88.00000000000009,92.99999999999997,162.95856754660673,149.78238451788766,120.04822560366402,132.60640319128882
T01_1983_TIGHTENING_CYCLE_END,T01_1983,1983,TIGHTENING_CYCLE_END,1983-08-11,DGS10,rate,1983-08-10,12.17,1983-08-11,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-85.99999999999994,182.00000000000003,40.0,199.0,-13.000000000000078,-51.99999999999996,-40.000000000000036,-32.00000000000003,-57.00000000000003,50.0,167.92103407319357,147.37265114357143,117.95245801992093,133.90006382236524
T01_1983_FIRST_CUT,T01_1983,1983,FIRST_CUT,1983-08-17,SP500,price,1983-08-16,163.41000366210938,1983-08-17,252,0.011504740113162049,-0.003916525153330186,0.011871993133405034,0.003426947836998373,-0.032617353354178924,0.006180738536205821,-0.09540417348087693,0.056544826065122455,237.0,38.0,0.1438168980599729,38.0,237.0,199.0,8.0,125.0,245.0,362.0,True,True,756.0,0.11981568431195026,0.07264423288316547,0.0,0.11613880565248685,0.07742666240799102,0.0,0.10809473764443489,0.07621013846238395,0.008333333333333333,0.12403725459337854,0.0807766047934217,0.011904761904761904,,,,,,,,,,,,,,
T01_1983_FIRST_CUT,T01_1983,1983,FIRST_CUT,1983-08-17,NASDAQ,price,1983-08-16,299.85,1983-08-17,252,0.00330165082541245,-0.02064365516091382,-0.005035851258962998,-0.09621477405369361,-0.13743538435884617,-0.16414874103718535,-0.24862431215607805,0.0157078539269635,238.0,26.0,0.26024428684003154,26.0,238.0,212.0,124.0,246.0,362.0,484.0,True,True,756.0,0.11351010839701904,0.08358594169571801,0.05,0.10409999615351881,0.0896920739720404,0.03333333333333333,0.10314477334105565,0.08483252288761362,0.041666666666666664,0.11183125506967051,0.08195488482757991,0.027777777777777776,,,,,,,,,,,,,,
T01_1983_FIRST_CUT,T01_1983,1983,FIRST_CUT,1983-08-17,DGS2,rate,1983-08-16,10.97,1983-08-17,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-55.00000000000007,219.99999999999994,36.0,214.0,-11.00000000000012,-18.00000000000015,-8.999999999999986,-37.0000000000001,-31.00000000000005,144.99999999999994,169.29566164740152,144.31593167628156,117.07908337831257,130.28786699786195
T01_1983_FIRST_CUT,T01_1983,1983,FIRST_CUT,1983-08-17,DGS10,rate,1983-08-16,11.71,1983-08-17,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40.000000000000036,227.99999999999994,36.0,195.0,-6.00000000000005,-14.000000000000057,4.999999999999893,-3.0000000000001137,1.9999999999999574,97.99999999999986,165.68470373764626,140.51709588974637,113.11389366994887,131.5544211991821
