asset,event_type,metric,n,mean,median,q25,q75,min,max
USD_BROAD,FIRST_HIKE,ret_60d,2,-0.005802617718606573,-0.005802617718606573,-0.013604306974682512,0.0019990715374693657,-0.02140599623075845,0.009800760793545304
USD_BROAD,FIRST_HIKE,ret_120d,2,0.020050947822654708,0.020050947822654708,0.002236239552926844,0.03786565609238257,-0.01557846871680102,0.055680364362110435
USD_BROAD,FIRST_HIKE,ret_252d,2,0.04397400654975159,0.04397400654975159,0.0404025568971742,0.04754545620232897,0.03683110724459682,0.05111690585490636
USD_BROAD,FIRST_HIKE,mdd,2,0.07235841326588094,0.07235841326588094,0.06917797414263963,0.07553885238912225,0.06599753501939831,0.07871929151236357
USD_BROAD,FIRST_HIKE,mae,2,-0.027791542870564068,-0.027791542870564068,-0.0324580015787595,-0.023125084162368637,-0.03712446028695493,-0.018458625454173205
USD_BROAD,FIRST_HIKE,mfe,2,0.07414000339769822,0.07414000339769822,0.0634134917826602,0.08486651501273623,0.05268698016762219,0.09559302662777425
USD_BROAD,FIRST_HIKE,time_to_event_min_obs,2,51.5,51.5,31.25,71.75,11.0,92.0
USD_BROAD,FIRST_HIKE,recovery50_obs_from_trough,2,103.5,103.5,71.25,135.75,39.0,168.0
USD_BROAD,FIRST_HIKE,recovery100_obs_from_trough,2,303.0,303.0,219.0,387.0,135.0,471.0
USD_BROAD,FIRST_HIKE,rv_60d_ann,2,0.06138117908859608,0.06138117908859608,0.057890407411974605,0.06487195076521757,0.05439963573535312,0.06836272244183905
USD_BROAD,FIRST_HIKE,down_semivol_60d_ann,2,0.047661999639142714,0.047661999639142714,0.042390271486336215,0.052933727791949214,0.037118543333529715,0.058205455944755714
USD_BROAD,LAST_HIKE,ret_20d,3,-0.00042298957347693583,-0.006539761751448769,-0.011235936125709944,0.007331570889770156,-0.01593211049997112,0.02120290353098908
USD_BROAD,LAST_HIKE,ret_60d,3,0.006181405884642703,-0.012439632968448078,-0.015934392299405742,0.018986684642145757,-0.019429151630363406,0.05041300225273959
USD_BROAD,LAST_HIKE,ret_120d,3,-0.002599048951873758,-0.006744968547246155,-0.016765916340590215,0.0094948586391565,-0.026786864133934274,0.025734685825559156
USD_BROAD,LAST_HIKE,ret_252d,3,-0.0015366438608388118,-0.005212489702584033,-0.026976918547364115,0.02206570790481388,-0.048741347392144196,0.049343905512211794
USD_BROAD,LAST_HIKE,mdd,3,0.04133175177277785,0.04512670313790257,0.03485711333205793,0.04970386589606013,0.024587523526213295,0.05428102865421769
USD_BROAD,LAST_HIKE,mae,3,-0.02656244817511962,-0.024587523526213295,-0.03943427609021549,-0.012703157935570586,-0.05428102865421769,-0.0008187923449278767
USD_BROAD,LAST_HIKE,mfe,3,0.02413202283477515,0.016309217121499575,0.008154608560749788,0.036198034252162725,0.0,0.056086851382825875
USD_BROAD,LAST_HIKE,time_to_event_min_obs,3,90.33333333333333,28.0,14.5,135.0,1.0,242.0
USD_BROAD,LAST_HIKE,recovery50_obs_from_trough,3,128.0,25.0,16.0,188.5,7.0,352.0
USD_BROAD,LAST_HIKE,recovery100_obs_from_trough,3,183.0,114.0,94.0,237.5,74.0,361.0
USD_BROAD,LAST_HIKE,rv_60d_ann,3,0.04133296325026408,0.04147959214055388,0.03811111739778707,0.04462812354788599,0.034742642655020264,0.04777665495521811
USD_BROAD,LAST_HIKE,down_semivol_60d_ann,3,0.028748294161884135,0.02806300964241512,0.026708793530979637,0.030445152533054125,0.025354577419544156,0.03282729542369313
USD_BROAD,PAUSE_START,ret_20d,3,0.0077606365725733095,0.0015180748250398501,0.0007041705697323764,0.011695821701647513,-0.00010973368557509744,0.021873568578255176
USD_BROAD,PAUSE_START,ret_60d,3,0.0013766569360214032,0.0005989203025777989,-0.005586339732340351,0.007950785287661355,-0.0117715997672585,0.015302650272744911
USD_BROAD,PAUSE_START,ret_120d,3,0.0013474047402336486,0.0031063862953908394,-0.002257741573283123,0.005832041831329016,-0.007621869441957085,0.008557697367267192
USD_BROAD,PAUSE_START,ret_252d,3,-0.0082324654176081,0.001986555467979434,-0.02151853658430769,0.010163116191885257,-0.045023628636594815,0.01833967691579108
USD_BROAD,PAUSE_START,mdd,3,0.04690392243449837,0.04512670313790257,0.037956217677260484,0.05496301754343835,0.0307857322166184,0.06479933194897414
