broad_episode_id,n_mechanical_legs,mechanical_cycle_ids,first_hike_min,first_hike_max,cycle_start_years
B01,2,T01_1983;T02_1984,1983-03-31,1984-03-29,1983;1984
B02,3,T03_1987;T04_1987;T05_1988,1987-01-05,1988-03-30,1987;1987;1988
B03,1,T06_1994,1994-02-04,1994-02-04,1994
B04,1,T07_1999,1999-06-30,1999-06-30,1999
B05,1,T08_2004,2004-06-30,2004-06-30,2004
B06,1,T09_2015,2015-12-16,2015-12-16,2015
B07,1,T10_2022,2022-03-16,2022-03-16,2022
