asset_ref,asset_label_ref,anchor,cycle_id,broad_episode_id,anchor_date,episode_weight_ref,ret_3m_ref,ret_6m_ref,ret_12m_ref,mdd_12m_ref,mdd_trough_month_ref,asset_cand,asset_label_cand,episode_weight_cand,ret_3m_cand,ret_6m_cand,ret_12m_cand,mdd_12m_cand,mdd_trough_month_cand,common_episode_weight,ret12_diff,abs_ret12_diff,mdd_diff,abs_mdd_diff,ret12_sign_agree
VGSIX_REIT_PROXY,VGSIX high-fidelity REIT reference,FIRST_HIKE,T07_1999,B04,1999-06-30,1.0,-0.08169434739898207,-0.13589640151480054,0.024994357261995948,0.13589640151480054,6,FRESX_REIT_ACTIVE_PROXY,FRESX active REIT deep-history candidate,1.0,-0.10145314982795861,-0.14306668366410003,0.039705339087322544,0.14306668366410003,6,1.0,0.014710981825326597,0.014710981825326597,0.0071702821492994895,0.0071702821492994895,1.0
VGSIX_REIT_PROXY,VGSIX high-fidelity REIT reference,FIRST_HIKE,T08_2004,B05,2004-06-30,1.0,0.17710297987133772,0.33851621826417566,0.42602540771791086,0.0460364591237602,7,FRESX_REIT_ACTIVE_PROXY,FRESX active REIT deep-history candidate,1.0,0.1887271906204362,0.3623477935591588,0.46368583993504964,0.03601266611397591,7,1.0,0.03766043221713877,0.03766043221713877,-0.010023793009784288,0.010023793009784288,1.0
VGSIX_REIT_PROXY,VGSIX high-fidelity REIT reference,FIRST_HIKE,T09_2015,B06,2015-12-16,1.0,0.048475824503888765,0.11274386834271377,0.08808875663940641,0.11465049119593362,11,FRESX_REIT_ACTIVE_PROXY,FRESX active REIT deep-history candidate,1.0,0.05363634779673099,0.10762939554002915,0.08652968139828654,0.11333436285051912,11,1.0,-0.0015590752411198672,0.0015590752411198672,-0.0013161283454145023,0.0013161283454145023,1.0
VGSIX_REIT_PROXY,VGSIX high-fidelity REIT reference,FIRST_HIKE,T10_2022,B07,2022-03-16,1.0,-0.10014733411443566,-0.1341381009825806,-0.17893143885687235,0.26058616555747605,7,FRESX_REIT_ACTIVE_PROXY,FRESX active REIT deep-history candidate,1.0,-0.07416235550424277,-0.1079983029109578,-0.14217021457941004,0.2503572742555422,7,1.0,0.03676122427746231,0.03676122427746231,-0.010228891301933829,0.010228891301933829,1.0
VGSIX_REIT_PROXY,VGSIX high-fidelity REIT reference,LAST_HIKE,T07_1999,B04,2000-05-16,1.0,0.14272161240430092,0.093151806177878,0.21661440414309263,0.04337872469404647,6,FRESX_REIT_ACTIVE_PROXY,FRESX active REIT deep-history candidate,1.0,0.1810238198637748,0.1444077553065959,0.25764580008452853,0.039774953561396154,5,1.0,0.0410313959414359,0.0410313959414359,-0.003603771132650313,0.003603771132650313,1.0
VGSIX_REIT_PROXY,VGSIX high-fidelity REIT reference,LAST_HIKE,T08_2004,B05,2006-06-29,1.0,0.13533675067305162,0.24788684006314,0.21058634980660096,0.11685712338055765,12,FRESX_REIT_ACTIVE_PROXY,FRESX active REIT deep-history candidate,1.0,0.11953487129093099,0.24124309570862446,0.1900537797668973,0.12961537373665744,12,1.0,-0.020532570039703657,0.020532570039703657,0.012758250356099787,0.012758250356099787,1.0
VGSIX_REIT_PROXY,VGSIX high-fidelity REIT reference,LAST_HIKE,T09_2015,B06,2018-12-19,1.0,0.07741118596801844,0.13021312892919656,0.18786191473425995,0.01672682410395665,12,FRESX_REIT_ACTIVE_PROXY,FRESX active REIT deep-history candidate,1.0,0.06520256167038285,0.11292971801167329,0.15935783703549666,0.02655896902394317,12,1.0,-0.028504077698763286,0.028504077698763286,0.009832144919986519,0.009832144919986519,1.0
VGSIX_REIT_PROXY,VGSIX high-fidelity REIT reference,LAST_HIKE,T10_2022,B07,2023-07-26,1.0,-0.08849601416550779,0.07456838818779321,0.11268607940407938,0.09444624127682766,3,FRESX_REIT_ACTIVE_PROXY,FRESX active REIT deep-history candidate,1.0,-0.08798190104489312,0.059141295204212296,0.10157034692601297,0.08798190104489312,3,1.0,-0.011115732478066409,0.011115732478066409,-0.00646434023193454,0.00646434023193454,1.0
VGSIX_REIT_PROXY,VGSIX high-fidelity REIT reference,PAUSE_START,T07_1999,B04,2000-06-28,1.0,0.08352266464335756,0.1056394663927196,0.2143641687768203,0.04337872469404647,5,FRESX_REIT_ACTIVE_PROXY,FRESX active REIT deep-history candidate,1.0,0.11522916989137122,0.15272824875228674,0.24986197566535906,0.039774953561396154,4,1.0,0.03549780688853876,0.03549780688853876,-0.003603771132650313,0.003603771132650313,1.0
VGSIX_REIT_PROXY,VGSIX high-fidelity REIT reference,PAUSE_START,T08_2004,B05,2006-08-08,1.0,0.13667415388142112,0.288801496832086,0.043769953285142105,0.19012357151139192,12,FRESX_REIT_ACTIVE_PROXY,FRESX active REIT deep-history candidate,1.0,0.1446961065285408,0.3030224790967082,0.02082292841134592,0.21657304859467275,12,1.0,-0.022947024873796185,0.022947024873796185,0.026449477083280826,0.026449477083280826,1.0
