anchor,asset_id,n_legs,n_broad_episodes,support_status,dual_bridge_status,weighted_median_ret_3m,weighted_median_ret_6m,weighted_median_ret_12m,weighted_median_mdd_12m,weighted_median_mdd_trough_month,weighted_late_trough_share_7_12
FIRST_HIKE,FRESX_REIT_ACTIVE_PROXY,8,6,NOT_PROMOTED_DUAL_BRIDGE_FAIL,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION,0.048900261630649755,0.025451601355128473,0.03332450493992867,0.11333436285051912,7.0,0.7777777777777777
LAST_HIKE,FRESX_REIT_ACTIVE_PROXY,8,6,NOT_PROMOTED_DUAL_BRIDGE_FAIL,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION,0.06520256167038285,0.08078680806493543,0.15935783703549666,0.039774953561396154,9.0,0.5555555555555555
PAUSE_START,FRESX_REIT_ACTIVE_PROXY,6,6,NOT_PROMOTED_DUAL_BRIDGE_FAIL,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION,0.06408115526868308,0.10704491849555287,0.1716449887746807,0.03574694557051028,4.0,0.5
FIRST_CUT,FRESX_REIT_ACTIVE_PROXY,8,6,NOT_PROMOTED_DUAL_BRIDGE_FAIL,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION,0.010920671240313151,0.06595142087182193,0.016454092283480604,0.06689931460159215,7.0,0.5555555555555555
