reference,candidate,anchor,n_common_events,n_common_broad_episodes,reference_weighted_median_ret_12m,candidate_weighted_median_ret_12m,ret12_abs_diff,reference_direction,candidate_direction,direction_agree,reference_weighted_median_mdd_12m,candidate_weighted_median_mdd_12m,mdd_abs_diff
VGSIX_REIT_PROXY,FRESX_REIT_ACTIVE_PROXY,FIRST_HIKE,4,4,0.024994357261995948,0.039705339087322544,0.014710981825326597,NEUTRAL,POSITIVE,False,0.11465049119593362,0.11333436285051912,0.0013161283454145023
VGSIX_REIT_PROXY,FRESX_REIT_ACTIVE_PROXY,LAST_HIKE,4,4,0.18786191473425995,0.15935783703549666,0.028504077698763286,POSITIVE,POSITIVE,True,0.04337872469404647,0.039774953561396154,0.003603771132650313
VGSIX_REIT_PROXY,FRESX_REIT_ACTIVE_PROXY,PAUSE_START,4,4,0.2143641687768203,0.2144473879501847,8.321917336440166e-05,POSITIVE,POSITIVE,True,0.04337872469404647,0.039774953561396154,0.003603771132650313
VGSIX_REIT_PROXY,FRESX_REIT_ACTIVE_PROXY,FIRST_CUT,4,4,-0.04755236833410115,-0.0908893578977007,0.04333698956359955,NEGATIVE,NEGATIVE,True,0.08331642348751922,0.06689931460159215,0.016417108885927068
