reference,candidate,anchor,n_common_events,n_common_broad_episodes,reference_weighted_median_ret_12m,candidate_weighted_median_ret_12m,ret12_abs_diff,reference_direction,candidate_direction,direction_agree,reference_weighted_median_mdd_12m,candidate_weighted_median_mdd_12m,mdd_abs_diff
VNQ,FRESX_REIT_ACTIVE_PROXY,FIRST_HIKE,2,2,-0.17762142571282558,-0.14217021457941004,0.03545121113341554,NEGATIVE,NEGATIVE,True,0.11448842035570772,0.11333436285051912,0.0011540575051885993
VNQ,FRESX_REIT_ACTIVE_PROXY,LAST_HIKE,3,3,0.1897778868437603,0.15935783703549666,0.030420049808263627,POSITIVE,POSITIVE,True,0.09416414795030659,0.08798190104489312,0.006182246905413469
VNQ,FRESX_REIT_ACTIVE_PROXY,PAUSE_START,3,3,0.23517658660544027,0.2144473879501847,0.020729198655255576,POSITIVE,POSITIVE,True,0.09416414795030659,0.08541345416321489,0.008750693787091701
VNQ,FRESX_REIT_ACTIVE_PROXY,FIRST_CUT,3,3,-0.046528711083634766,-0.0908893578977007,0.04436064681406593,NEGATIVE,NEGATIVE,True,0.1879167951962335,0.20465476631700663,0.016737971120773132
