asset_ref,asset_label_ref,anchor,cycle_id,broad_episode_id,anchor_date,episode_weight_ref,ret_3m_ref,ret_6m_ref,ret_12m_ref,mdd_12m_ref,mdd_trough_month_ref,asset_cand,asset_label_cand,episode_weight_cand,ret_3m_cand,ret_6m_cand,ret_12m_cand,mdd_12m_cand,mdd_trough_month_cand,common_episode_weight,ret12_diff,abs_ret12_diff,mdd_diff,abs_mdd_diff,ret12_sign_agree
VNQ,VNQ target ETF,FIRST_HIKE,T09_2015,B06,2015-12-16,1.0,0.04925838426238527,0.11390933208945575,0.08990471053144589,0.11448842035570772,11,FRESX_REIT_ACTIVE_PROXY,FRESX active REIT deep-history candidate,1.0,0.05363634779673099,0.10762939554002915,0.08652968139828654,0.11333436285051912,11,1.0,-0.0033750291331593463,0.0033750291331593463,-0.0011540575051885993,0.0011540575051885993,1.0
VNQ,VNQ target ETF,FIRST_HIKE,T10_2022,B07,2022-03-16,1.0,-0.09963896966731933,-0.13330265171512212,-0.17762142571282558,0.2600658870029754,7,FRESX_REIT_ACTIVE_PROXY,FRESX active REIT deep-history candidate,1.0,-0.07416235550424277,-0.1079983029109578,-0.14217021457941004,0.2503572742555422,7,1.0,0.03545121113341554,0.03545121113341554,-0.009708612747433176,0.009708612747433176,1.0
VNQ,VNQ target ETF,LAST_HIKE,T08_2004,B05,2006-06-29,1.0,0.13582787412394892,0.2488159430022705,0.2108456983803546,0.11768975321151998,12,FRESX_REIT_ACTIVE_PROXY,FRESX active REIT deep-history candidate,1.0,0.11953487129093099,0.24124309570862446,0.1900537797668973,0.12961537373665744,12,1.0,-0.020791918613457305,0.020791918613457305,0.01192562052513746,0.01192562052513746,1.0
VNQ,VNQ target ETF,LAST_HIKE,T09_2015,B06,2018-12-19,1.0,0.07802176026340923,0.1310187719169833,0.1897778868437603,0.016812380742666666,12,FRESX_REIT_ACTIVE_PROXY,FRESX active REIT deep-history candidate,1.0,0.06520256167038285,0.11292971801167329,0.15935783703549666,0.02655896902394317,12,1.0,-0.030420049808263627,0.030420049808263627,0.009746588281276503,0.009746588281276503,1.0
VNQ,VNQ target ETF,LAST_HIKE,T10_2022,B07,2023-07-26,1.0,-0.08800932154955665,0.07569045825647591,0.11470324341151583,0.09416414795030659,3,FRESX_REIT_ACTIVE_PROXY,FRESX active REIT deep-history candidate,1.0,-0.08798190104489312,0.059141295204212296,0.10157034692601297,0.08798190104489312,3,1.0,-0.013132896485502865,0.013132896485502865,-0.006182246905413469,0.006182246905413469,1.0
VNQ,VNQ target ETF,PAUSE_START,T08_2004,B05,2006-08-08,1.0,0.13645861773155077,0.2891339302205296,0.04381255097169956,0.19029937347693848,12,FRESX_REIT_ACTIVE_PROXY,FRESX active REIT deep-history candidate,1.0,0.1446961065285408,0.3030224790967082,0.02082292841134592,0.21657304859467275,12,1.0,-0.02298962256035364,0.02298962256035364,0.026273675117734263,0.026273675117734263,1.0
VNQ,VNQ target ETF,PAUSE_START,T09_2015,B06,2019-01-30,1.0,0.12459755096970726,0.1650189508333888,0.25148513638763603,0.016812380742666666,11,FRESX_REIT_ACTIVE_PROXY,FRESX active REIT deep-history candidate,1.0,0.1096841699687896,0.15162367791484122,0.2144473879501847,0.02655896902394317,11,1.0,-0.037037748437451334,0.037037748437451334,0.009746588281276503,0.009746588281276503,1.0
VNQ,VNQ target ETF,PAUSE_START,T10_2022,B07,2023-09-20,1.0,0.06534702512511603,0.07079193942096129,0.23517658660544027,0.09416414795030659,1,FRESX_REIT_ACTIVE_PROXY,FRESX active REIT deep-history candidate,1.0,0.06408115526868308,0.061306125480374174,0.23991467460761817,0.08541345416321489,1,1.0,0.004738088002177898,0.004738088002177898,-0.008750693787091701,0.008750693787091701,1.0
VNQ,VNQ target ETF,FIRST_CUT,T08_2004,B05,2007-09-18,1.0,-0.03705624792639406,-0.07138991506432957,-0.046528711083634766,0.1879167951962335,4,FRESX_REIT_ACTIVE_PROXY,FRESX active REIT deep-history candidate,1.0,-0.06298041651531472,-0.08635829285144314,-0.0908893578977007,0.20465476631700663,4,1.0,-0.04436064681406593,0.04436064681406593,0.016737971120773132,0.016737971120773132,1.0
VNQ,VNQ target ETF,FIRST_CUT,T09_2015,B06,2019-07-31,1.0,0.06994062734310202,0.0825470174684868,-0.07089486388968713,0.2347664091061169,9,FRESX_REIT_ACTIVE_PROXY,FRESX active REIT deep-history candidate,1.0,0.07013881045385384,0.06595142087182193,-0.09586412871448069,0.2331832077542546,9,1.0,-0.024969264824793558,0.024969264824793558,-0.0015832013518622956,0.0015832013518622956,1.0
VNQ,VNQ target ETF,FIRST_CUT,T10_2022,B07,2024-09-18,1.0,0.01399033251954096,0.00999181892576706,0.036166742830109566,0.08300115071068148,7,FRESX_REIT_ACTIVE_PROXY,FRESX active REIT deep-history candidate,1.0,0.010920671240313151,0.01621822090132663,0.016454092283480604,0.06689931460159215,7,1.0,-0.019712650546628963,0.019712650546628963,-0.01610183610908933,0.01610183610908933,1.0
