date,legacy_26w_return,modern_126obs_return,legacy_sign,modern_sign,sign_agrees
2006-07-05,-0.04615526707133444,-0.03670608480739612,-1,-1,True
2006-07-12,-0.034875895228013265,-0.03188258504214736,-1,-1,True
2006-07-19,-0.024620677352166664,-0.012701280220418054,-1,-1,True
2006-07-26,-0.018250424082660976,-0.019424275370328425,-1,-1,True
2006-08-02,-0.031355292755383846,-0.04406064247654906,-1,-1,True
2006-08-09,-0.04628481061029155,-0.05319400393026008,-1,-1,True
2006-08-16,-0.0459877793729494,-0.05091229290044863,-1,-1,True
2006-08-23,-0.04986034565036335,-0.04189632202146609,-1,-1,True
2006-08-30,-0.04333397618924428,-0.05003252916484713,-1,-1,True
2006-09-06,-0.044186873456085074,-0.04601049902670873,-1,-1,True
2006-09-13,-0.042391826965259005,-0.04011262398208493,-1,-1,True
2006-09-20,-0.03368334683166452,-0.03989612468207504,-1,-1,True
2006-09-27,-0.04507476199332561,-0.036153949710558964,-1,-1,True
2006-10-04,-0.03592577645634465,-0.030608133311790242,-1,-1,True
2006-10-11,-0.02491709240835338,-0.012197601138442815,-1,-1,True
2006-10-18,-0.014778681505834057,-0.00028417308687334053,-1,-1,True
2006-10-25,-0.007929052934025904,0.013520298639965622,-1,1,False
2006-11-01,0.0017777647179819667,0.013785652096379941,1,1,True
2006-11-08,0.013804210711354514,0.015975505416262914,1,1,True
2006-11-15,0.01892733486497722,0.01673527935615482,1,1,True
2006-11-22,0.01388039056444934,0.015000242228161875,1,1,True
2006-11-29,0.0019038222702585372,-0.004757725433637616,1,-1,False
2006-12-06,-0.004281520194151844,-0.018125282431981193,-1,-1,True
2006-12-13,-0.010689265287572636,-0.012681135135859667,-1,-1,True
2006-12-20,-0.007635936519409747,-0.015597517876222544,-1,-1,True
2006-12-27,-0.011913860158625056,0.002895213849605005,-1,1,False
2007-01-03,-0.00035299611581707246,0.0018630869423303942,-1,1,False
2007-01-10,0.009219713003802754,-0.002287766271992786,1,-1,False
2007-01-17,0.00019016403767913026,-0.0021921359554324393,1,-1,False
2007-01-24,0.000569492642639613,0.012284976648391455,1,1,True
2007-01-31,0.013693277923325198,0.01993118746036182,1,1,True
2007-02-07,0.01856175952066863,0.010196424264819148,1,1,True
2007-02-14,0.012290504164753857,0.010959358826881926,1,1,True
2007-02-21,0.00731837324072826,0.0063262844904663496,1,1,True
2007-02-28,0.003513119497690509,0.005436506942531061,1,1,True
2007-03-07,0.006844269464161279,-0.0023058012143611917,1,-1,False
2007-03-14,-0.0021513021425064727,-0.00514574980262239,-1,-1,True
2007-03-21,-0.009177960694465304,-0.006270288900446674,-1,-1,True
2007-03-28,-0.009647491725646717,-0.01088093310110727,-1,-1,True
2007-04-04,-0.014377856563154046,-0.02035243383537011,-1,-1,True
2007-04-11,-0.024973270569566774,-0.03225179221868624,-1,-1,True
2007-04-18,-0.03908690486365329,-0.039259458481059384,-1,-1,True
2007-04-25,-0.03960494341372578,-0.033776222184987326,-1,-1,True
