state_var,state_a,state_b,outcome,n_a,n_b,median_a,median_b,oriented_median_diff_a_minus_b,status,loo_sign_stable
USD_DIRECTION_DIAGNOSTIC,RISING,FALLING_OR_FLAT,gold_ret_12m,5,5,0.0362318840579709,-0.1176470588235294,0.15387894288150028,SUPPORTED_DESCRIPTIVE,True
USD_DIRECTION_DIAGNOSTIC,RISING,FALLING_OR_FLAT,gold_mdd_24m,5,5,0.1365671641791045,0.2253886010362694,-0.0888214368571649,SUPPORTED_DESCRIPTIVE,True
