event_id,cycle_id,event_type,event_date,source_effective_date,event_date_basis,outcome_eligible,target_before,target_after,change_bp,scheduled_decision_match,cycle_start_year,broad_episode_id,n_hikes,cumulative_hike_bp,target_before_first_hike,target_after_last_hike,phase_label_status,evidence_time,source_module_casebook,causal_status,oos_status,deployment_status
T07_1999_LAST_HIKE,T07_1999,LAST_HIKE,2000-05-16,2000-05-16,FOMC_SCHEDULED_DECISION_DATE,True,6.0,6.5,50.0,True,1999,B04,6,175.0,4.75,6.5,RETROSPECTIVE_CYCLE_ONTOLOGY,DESCRIPTIVE_PATH,FED-CYCLE-PATH-001-v1.1,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
T07_1999_PAUSE_START,T07_1999,PAUSE_START,2000-06-28,,FOMC_SCHEDULED_DECISION_DATE,True,,,0.0,True,1999,B04,6,175.0,4.75,6.5,RETROSPECTIVE_CYCLE_ONTOLOGY,DESCRIPTIVE_PATH,FED-CYCLE-PATH-001-v1.1,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
T07_1999_FIRST_CUT,T07_1999,FIRST_CUT,2001-01-03,2001-01-03,TARGET_EFFECTIVE_DATE_UNSCHEDULED_CANDIDATE,True,6.5,6.0,-50.0,False,1999,B04,6,175.0,4.75,6.5,RETROSPECTIVE_CYCLE_ONTOLOGY,DESCRIPTIVE_PATH,FED-CYCLE-PATH-001-v1.1,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
T08_2004_FIRST_HIKE,T08_2004,FIRST_HIKE,2004-06-30,2004-06-30,FOMC_SCHEDULED_DECISION_DATE,True,1.0,1.25,25.0,True,2004,B05,17,425.0,1.0,5.25,RETROSPECTIVE_CYCLE_ONTOLOGY,DESCRIPTIVE_PATH,FED-CYCLE-PATH-001-v1.1,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
T08_2004_LAST_HIKE,T08_2004,LAST_HIKE,2006-06-29,2006-06-29,FOMC_SCHEDULED_DECISION_DATE,True,5.0,5.25,25.0,True,2004,B05,17,425.0,1.0,5.25,RETROSPECTIVE_CYCLE_ONTOLOGY,DESCRIPTIVE_PATH,FED-CYCLE-PATH-001-v1.1,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
T08_2004_PAUSE_START,T08_2004,PAUSE_START,2006-08-08,,FOMC_SCHEDULED_DECISION_DATE,True,,,0.0,True,2004,B05,17,425.0,1.0,5.25,RETROSPECTIVE_CYCLE_ONTOLOGY,DESCRIPTIVE_PATH,FED-CYCLE-PATH-001-v1.1,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
T08_2004_FIRST_CUT,T08_2004,FIRST_CUT,2007-09-18,2007-09-18,FOMC_SCHEDULED_DECISION_DATE,True,5.25,4.75,-50.0,True,2004,B05,17,425.0,1.0,5.25,RETROSPECTIVE_CYCLE_ONTOLOGY,DESCRIPTIVE_PATH,FED-CYCLE-PATH-001-v1.1,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
T09_2015_FIRST_HIKE,T09_2015,FIRST_HIKE,2015-12-16,2015-12-16,FOMC_SCHEDULED_DECISION_DATE,True,0.125,0.375,25.0,True,2015,B06,9,225.0,0.125,2.375,RETROSPECTIVE_CYCLE_ONTOLOGY,DESCRIPTIVE_PATH,FED-CYCLE-PATH-001-v1.1,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
T09_2015_LAST_HIKE,T09_2015,LAST_HIKE,2018-12-19,2018-12-20,FOMC_SCHEDULED_DECISION_DATE,True,2.125,2.375,25.0,True,2015,B06,9,225.0,0.125,2.375,RETROSPECTIVE_CYCLE_ONTOLOGY,DESCRIPTIVE_PATH,FED-CYCLE-PATH-001-v1.1,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
T09_2015_PAUSE_START,T09_2015,PAUSE_START,2019-01-30,,FOMC_SCHEDULED_DECISION_DATE,True,,,0.0,True,2015,B06,9,225.0,0.125,2.375,RETROSPECTIVE_CYCLE_ONTOLOGY,DESCRIPTIVE_PATH,FED-CYCLE-PATH-001-v1.1,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
T09_2015_FIRST_CUT,T09_2015,FIRST_CUT,2019-07-31,2019-08-01,FOMC_SCHEDULED_DECISION_DATE,True,2.375,2.125,-25.0,True,2015,B06,9,225.0,0.125,2.375,RETROSPECTIVE_CYCLE_ONTOLOGY,DESCRIPTIVE_PATH,FED-CYCLE-PATH-001-v1.1,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
T10_2022_FIRST_HIKE,T10_2022,FIRST_HIKE,2022-03-16,2022-03-17,FOMC_SCHEDULED_DECISION_DATE,True,0.125,0.375,25.0,True,2022,B07,11,525.0,0.125,5.375,RETROSPECTIVE_CYCLE_ONTOLOGY,DESCRIPTIVE_PATH,FED-CYCLE-PATH-001-v1.1,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
T10_2022_LAST_HIKE,T10_2022,LAST_HIKE,2023-07-26,2023-07-27,FOMC_SCHEDULED_DECISION_DATE,True,5.125,5.375,25.0,True,2022,B07,11,525.0,0.125,5.375,RETROSPECTIVE_CYCLE_ONTOLOGY,DESCRIPTIVE_PATH,FED-CYCLE-PATH-001-v1.1,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
T10_2022_PAUSE_START,T10_2022,PAUSE_START,2023-09-20,,FOMC_SCHEDULED_DECISION_DATE,True,,,0.0,True,2022,B07,11,525.0,0.125,5.375,RETROSPECTIVE_CYCLE_ONTOLOGY,DESCRIPTIVE_PATH,FED-CYCLE-PATH-001-v1.1,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
T10_2022_FIRST_CUT,T10_2022,FIRST_CUT,2024-09-18,2024-09-19,FOMC_SCHEDULED_DECISION_DATE,True,5.375,4.875,-50.0,True,2022,B07,11,525.0,0.125,5.375,RETROSPECTIVE_CYCLE_ONTOLOGY,DESCRIPTIVE_PATH,FED-CYCLE-PATH-001-v1.1,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
