asset,anchor,cycle_id,broad_episode_id,anchor_date,episode_weight,drawdown,trough_month,recovery50_months,recovery100_months,recovery50_observed,recovery100_observed,recovery_censor_months,source_module,anchor_to_recovery50_months,anchor_to_recovery100_months,anchor_to_censor_months
WTI,FIRST_HIKE,T07_1999,B04,1999-06-30,1.0,0.1522982369635861,10.0,1.0,2.0,True,True,60.0,PHASE_CLOCK_004,11.0,12.0,70.0
WTI,FIRST_HIKE,T08_2004,B05,2004-06-30,1.0,0.1879130449451944,6.0,3.0,3.0,True,True,60.0,PHASE_CLOCK_004,9.0,9.0,66.0
WTI,FIRST_HIKE,T09_2015,B06,2015-12-16,1.0,0.2855678725835522,2.0,1.0,3.0,True,True,60.0,PHASE_CLOCK_004,3.0,5.0,62.0
WTI,FIRST_HIKE,T10_2022,B07,2022-03-16,1.0,0.3618978645427118,12.0,37.0,,True,False,42.0,PHASE_CLOCK_004,49.0,,54.0
GOLD,LAST_HIKE,T01_1983,B01,1983-08-11,0.5,0.1553398058252427,11.0,26.0,26.0,True,True,60.0,PHASE_CLOCK_004,37.0,37.0,71.0
GOLD,LAST_HIKE,T02_1984,B01,1984-08-09,0.5,0.1408045977011494,6.0,2.0,17.0,True,True,60.0,PHASE_CLOCK_004,8.0,23.0,66.0
GOLD,LAST_HIKE,T03_1987,B02,1987-05-22,0.3333333333333333,0.0905349794238683,9.0,,,False,False,60.0,PHASE_CLOCK_004,,,69.0
GOLD,LAST_HIKE,T04_1987,B02,1987-09-24,0.3333333333333333,0.1502057613168724,12.0,,,False,False,60.0,PHASE_CLOCK_004,,,72.0
GOLD,LAST_HIKE,T05_1988,B02,1989-05-17,0.3333333333333333,0.1151079136690647,12.0,3.0,,True,False,60.0,PHASE_CLOCK_004,15.0,,72.0
GOLD,LAST_HIKE,T06_1994,B03,1995-02-01,1.0,0.020460358056266,7.0,3.0,4.0,True,True,60.0,PHASE_CLOCK_004,10.0,11.0,67.0
GOLD,LAST_HIKE,T07_1999,B04,2000-05-16,1.0,0.0909090909090909,11.0,5.0,10.0,True,True,60.0,PHASE_CLOCK_004,16.0,21.0,71.0
GOLD,LAST_HIKE,T08_2004,B05,2006-06-29,1.0,0.1318518518518519,4.0,3.0,6.0,True,True,60.0,PHASE_CLOCK_004,7.0,10.0,64.0
GOLD,LAST_HIKE,T09_2015,B06,2018-12-19,1.0,0.0272727272727272,5.0,1.0,1.0,True,True,60.0,PHASE_CLOCK_004,6.0,6.0,65.0
GOLD,LAST_HIKE,T10_2022,B07,2023-07-26,1.0,0.0138960370560987,2.0,2.0,2.0,True,True,35.0,PHASE_CLOCK_004,4.0,4.0,37.0
SP500,LAST_HIKE,T01_1983,B01,1983-08-11,0.5,0.0988712494536215,11.0,1.0,6.0,True,True,60.0,PHASE_CLOCK_004,12.0,17.0,71.0
SP500,LAST_HIKE,T02_1984,B01,1984-08-09,0.5,0.0220114295642324,12.0,3.0,3.0,True,True,60.0,PHASE_CLOCK_004,15.0,15.0,72.0
SP500,LAST_HIKE,T03_1987,B02,1987-05-22,0.3333333333333333,0.2684075033871038,7.0,13.0,19.0,True,True,60.0,PHASE_CLOCK_004,20.0,26.0,67.0
SP500,LAST_HIKE,T04_1987,B02,1987-09-24,0.3333333333333333,0.2684075033871038,3.0,13.0,19.0,True,True,60.0,PHASE_CLOCK_004,16.0,22.0,63.0
SP500,LAST_HIKE,T05_1988,B02,1989-05-17,0.3333333333333333,0.0519816996292393,9.0,3.0,3.0,True,True,60.0,PHASE_CLOCK_004,12.0,12.0,69.0
SP500,LAST_HIKE,T06_1994,B03,1995-02-01,1.0,0.0002456901496479,11.0,1.0,1.0,True,True,60.0,PHASE_CLOCK_004,12.0,12.0,71.0
SP500,LAST_HIKE,T07_1999,B04,2000-05-16,1.0,0.2016941552670919,10.0,,,False,False,60.0,PHASE_CLOCK_004,,,70.0
SP500,LAST_HIKE,T08_2004,B05,2006-06-29,1.0,0.0261925975168988,9.0,1.0,1.0,True,True,60.0,PHASE_CLOCK_004,10.0,10.0,69.0
SP500,LAST_HIKE,T09_2015,B06,2018-12-19,1.0,0.042538222757256,1.0,1.0,1.0,True,True,60.0,PHASE_CLOCK_004,2.0,2.0,61.0
SP500,LAST_HIKE,T10_2022,B07,2023-07-26,1.0,0.0421679614905226,3.0,1.0,1.0,True,True,35.0,PHASE_CLOCK_004,4.0,4.0,38.0
NASDAQ,LAST_HIKE,T01_1983,B01,1983-08-11,0.5,0.2647636161274509,11.0,7.0,17.0,True,True,60.0,PHASE_CLOCK_004,18.0,28.0,71.0
NASDAQ,LAST_HIKE,T02_1984,B01,1984-08-09,0.5,0.0400497902086219,4.0,1.0,1.0,True,True,60.0,PHASE_CLOCK_004,5.0,5.0,64.0
NASDAQ,LAST_HIKE,T03_1987,B02,1987-05-22,0.3333333333333333,0.2985083157554079,7.0,6.0,20.0,True,True,60.0,PHASE_CLOCK_004,13.0,27.0,67.0
NASDAQ,LAST_HIKE,T04_1987,B02,1987-09-24,0.3333333333333333,0.2985083157554079,3.0,6.0,20.0,True,True,60.0,PHASE_CLOCK_004,9.0,23.0,63.0
NASDAQ,LAST_HIKE,T05_1988,B02,1989-05-17,0.3333333333333333,0.0961433553941895,9.0,4.0,14.0,True,True,60.0,PHASE_CLOCK_004,13.0,23.0,69.0
NASDAQ,LAST_HIKE,T06_1994,B03,1995-02-01,1.0,0.0274621572528328,8.0,1.0,4.0,True,True,60.0,PHASE_CLOCK_004,9.0,12.0,68.0
NASDAQ,LAST_HIKE,T07_1999,B04,2000-05-16,1.0,0.5186461855521276,11.0,,,False,False,60.0,PHASE_CLOCK_004,,,71.0
NASDAQ,LAST_HIKE,T08_2004,B05,2006-06-29,1.0,0.0708482636316153,1.0,2.0,3.0,True,True,60.0,PHASE_CLOCK_004,3.0,4.0,61.0
NASDAQ,LAST_HIKE,T09_2015,B06,2018-12-19,1.0,0.0359102933989026,8.0,1.0,3.0,True,True,60.0,PHASE_CLOCK_004,9.0,11.0,68.0
NASDAQ,LAST_HIKE,T10_2022,B07,2023-07-26,1.0,0.039307757282946,3.0,1.0,1.0,True,True,35.0,PHASE_CLOCK_004,4.0,4.0,38.0
WTI,LAST_HIKE,T03_1987,B02,1987-05-22,0.3333333333333333,0.240212031872849,10.0,12.0,22.0,True,True,60.0,PHASE_CLOCK_004,22.0,32.0,70.0
WTI,LAST_HIKE,T04_1987,B02,1987-09-24,0.3333333333333333,0.2843538661886728,12.0,4.0,7.0,True,True,60.0,PHASE_CLOCK_004,16.0,19.0,72.0
WTI,LAST_HIKE,T05_1988,B02,1989-05-17,0.3333333333333333,0.1994406780784243,12.0,3.0,3.0,True,True,60.0,PHASE_CLOCK_004,15.0,15.0,72.0
WTI,LAST_HIKE,T06_1994,B03,1995-02-01,1.0,0.1297405582599535,5.0,5.0,8.0,True,True,60.0,PHASE_CLOCK_004,10.0,13.0,65.0
WTI,LAST_HIKE,T07_1999,B04,2000-05-16,1.0,0.20650806889339,10.0,22.0,23.0,True,True,60.0,PHASE_CLOCK_004,32.0,33.0,70.0
WTI,LAST_HIKE,T08_2004,B05,2006-06-29,1.0,0.2639152296426282,7.0,5.0,6.0,True,True,60.0,PHASE_CLOCK_004,12.0,13.0,67.0
WTI,LAST_HIKE,T09_2015,B06,2018-12-19,1.0,0.1550104666705353,10.0,2.0,19.0,True,True,60.0,PHASE_CLOCK_004,12.0,29.0,70.0
WTI,LAST_HIKE,T10_2022,B07,2023-07-26,1.0,0.195974280123008,5.0,3.0,27.0,True,True,33.0,PHASE_CLOCK_004,8.0,32.0,38.0
GOLD,PAUSE_START,T02_1984,B01,1984-08-21,1.0,0.1408045977011494,6.0,2.0,17.0,True,True,60.0,PHASE_CLOCK_004,8.0,23.0,66.0
GOLD,PAUSE_START,T04_1987,B02,1987-11-03,1.0,0.1625514403292181,11.0,,,False,False,60.0,PHASE_CLOCK_004,,,71.0
GOLD,PAUSE_START,T06_1994,B03,1995-03-28,1.0,0.0222222222222222,12.0,,,False,False,60.0,PHASE_CLOCK_004,,,72.0
GOLD,PAUSE_START,T07_1999,B04,2000-06-28,1.0,0.0780141843971631,10.0,1.0,5.0,True,True,60.0,PHASE_CLOCK_004,11.0,15.0,70.0
GOLD,PAUSE_START,T08_2004,B05,2006-08-08,1.0,0.0757097791798107,2.0,1.0,4.0,True,True,60.0,PHASE_CLOCK_004,3.0,6.0,62.0
GOLD,PAUSE_START,T09_2015,B06,2019-01-30,1.0,0.0272727272727272,4.0,1.0,1.0,True,True,60.0,PHASE_CLOCK_004,5.0,5.0,64.0
GOLD,PAUSE_START,T10_2022,B07,2023-09-20,1.0,0.0106337728626116,9.0,1.0,1.0,True,True,26.0,PHASE_CLOCK_004,10.0,10.0,35.0
SP500,PAUSE_START,T02_1984,B01,1984-08-21,1.0,0.0220114295642324,12.0,3.0,3.0,True,True,60.0,PHASE_CLOCK_004,15.0,15.0,72.0
SP500,PAUSE_START,T04_1987,B02,1987-11-03,1.0,0.1399472062006215,1.0,3.0,13.0,True,True,60.0,PHASE_CLOCK_004,4.0,14.0,61.0
SP500,PAUSE_START,T06_1994,B03,1995-03-28,1.0,0.0037984380236238,12.0,2.0,2.0,True,True,60.0,PHASE_CLOCK_004,14.0,14.0,72.0
