asset,asset_label,primary_asset,anchor,cycle_id,broad_episode_id,cycle_start_year,anchor_date,episode_weight,baseline_period,ret_3m,ret_6m,ret_12m,mdd_12m,mae_12m,mfe_12m,event_trough_month,mdd_trough_month,recovery50_months,recovery100_months,recovery50_observed,recovery100_observed,recovery_censor_months
WTI,WTI spot monthly average,True,PAUSE_START,T06_1994,B03,1994,1995-03-28,1.0,1995-02,-0.008358594387984253,-0.020560859545685872,0.16337952294017288,0.12974055825995356,-0.0661894542631346,0.16337952294017288,4,4,5.0,8.0,True,True,60
WTI,WTI spot monthly average,True,PAUSE_START,T07_1999,B04,1999,2000-06-28,1.0,2000-05,0.18245321994044672,-0.008857365011469276,-0.04571454347045378,0.20650806889339002,-0.05703356537321658,0.18837558097372842,9,9,22.0,23.0,True,True,60
WTI,WTI spot monthly average,True,PAUSE_START,T08_2004,B05,2004,2006-08-08,1.0,2006-07,-0.20154994134123128,-0.20054152663663916,-0.023303925265457548,0.26391522964262826,-0.26391522964262826,0.0004740532193034941,5,5,5.0,6.0,True,True,60
WTI,WTI spot monthly average,True,PAUSE_START,T09_2015,B06,2015,2019-01-30,1.0,2018-12,0.289555711897844,0.1582164372014161,0.1614665049111601,0.1550104666705353,0.0,0.289555711897844,9,9,2.0,19.0,True,True,60
WTI,WTI spot monthly average,True,PAUSE_START,T10_2022,B07,2022,2023-09-20,1.0,2023-08,-0.11655661687715013,-0.0013280765861060084,-0.13700237194691955,0.17986465973098753,-0.13700237194691955,0.05226245679159325,12,12,18.0,18.0,True,True,24
USD_BROAD,Nominal Broad U.S. Dollar Index monthly average,False,PAUSE_START,T08_2004,B05,2004,2006-08-08,1.0,2006-07,-0.009401102749538759,-0.009775516601337353,-0.047526206203399424,0.05315795403587531,-0.05315795403587531,0.0,11,11,15.0,16.0,True,True,60
USD_BROAD,Nominal Broad U.S. Dollar Index monthly average,False,PAUSE_START,T09_2015,B06,2015,2019-01-30,1.0,2018-12,-0.01125574733772794,-0.00975988929436733,-0.008023449483129164,0.017426406189925192,-0.015478631482653715,0.009569722579592987,1,12,1.0,2.0,True,True,60
USD_BROAD,Nominal Broad U.S. Dollar Index monthly average,False,PAUSE_START,T10_2022,B07,2022,2023-09-20,1.0,2023-08,-0.00019363034589225947,0.006695394293265267,0.016924486776924264,0.029668763122772668,-0.00019363034589225947,0.032147910320714956,3,3,4.0,6.0,True,True,33
GOLD,Gold monthly World Bank/DataHub,True,FIRST_CUT,T01_1983,B01,1983,1983-08-17,0.5,1983-07,-0.052109181141439254,-0.04218362282878407,-0.1364764267990074,0.15533980582524276,-0.1364764267990074,0.022332506203474045,11,11,26.0,26.0,True,True,60
GOLD,Gold monthly World Bank/DataHub,True,FIRST_CUT,T02_1984,B01,1984,1984-09-20,0.5,1984-08,-0.08045977011494254,-0.0977011494252874,-0.07183908045977017,0.1408045977011494,-0.1408045977011494,0.0,5,5,2.0,17.0,True,True,60
GOLD,Gold monthly World Bank/DataHub,True,FIRST_CUT,T03_1987,B02,1987,1987-07-02,0.3333333333333333,1987-06,0.03333333333333344,0.06000000000000005,-0.026666666666666616,0.09876543209876543,-0.026666666666666616,0.08000000000000007,12,12,,,False,False,60
GOLD,Gold monthly World Bank/DataHub,True,FIRST_CUT,T04_1987,B02,1987,1987-11-04,0.3333333333333333,1987-10,-0.04946236559139783,-0.03010752688172047,-0.09677419354838712,0.1625514403292181,-0.12473118279569895,0.04516129032258065,11,11,,,False,False,60
GOLD,Gold monthly World Bank/DataHub,True,FIRST_CUT,T05_1988,B02,1988,1989-06-06,0.3333333333333333,1989-05,-0.02425876010781669,0.10347708894878704,-0.05121293800539084,0.15587529976019188,-0.05121293800539084,0.12398921832884091,12,12,2.0,,True,False,60
GOLD,Gold monthly World Bank/DataHub,True,FIRST_CUT,T06_1994,B03,1994,1995-07-06,1.0,1995-06,-0.012886597938144284,0.028350515463917425,-0.012886597938144284,0.05432098765432103,-0.012886597938144284,0.04381443298969079,2,12,,,False,False,60
GOLD,Gold monthly World Bank/DataHub,True,FIRST_CUT,T07_1999,B04,1999,2001-01-03,1.0,2000-12,-0.040590405904059046,-0.011070110701106972,0.040590405904058935,0.040590405904059046,-0.040590405904059046,0.04428044280442811,3,3,1.0,1.0,True,True,60
GOLD,Gold monthly World Bank/DataHub,True,FIRST_CUT,T08_2004,B05,2004,2007-09-18,1.0,2007-08,0.2075187969924812,0.45563909774436095,0.24812030075187974,0.1425619834710744,0.0,0.45563909774436095,1,12,5.0,12.0,True,True,60
GOLD,Gold monthly World Bank/DataHub,True,FIRST_CUT,T09_2015,B06,2015,2019-07-31,1.0,2019-06,0.10007358351729212,0.14863870493009568,0.35908756438557754,0.026472534745201837,0.0,0.35908756438557754,4,4,2.0,2.0,True,True,60
GOLD,Gold monthly World Bank/DataHub,True,FIRST_CUT,T10_2022,B07,2022,2024-09-18,1.0,2024-08,0.07206477732793526,0.20769230769230762,0.4850202429149797,0.015613382899628214,0.0,0.4850202429149797,3,3,1.0,1.0,True,True,20
SP500,S&P 500 cash index monthly average,True,FIRST_CUT,T01_1983,B01,1983,1983-08-17,0.5,1983-07,-0.010302704124425466,-0.058103859891648346,-0.015154922467419674,0.09887124945362158,-0.095075218937696,0.004212528469016208,11,11,1.0,6.0,True,True,60
SP500,S&P 500 cash index monthly average,True,FIRST_CUT,T02_1984,B01,1984,1984-09-20,0.5,1984-08,0.0003596369585747716,0.09122399723882135,0.12033096110843089,0.04330818157431149,0.0,0.17104687165823518,3,12,2.0,2.0,True,True,60
SP500,S&P 500 cash index monthly average,True,FIRST_CUT,T03_1987,B02,1987,1987-07-02,0.3333333333333333,1987-06,-0.07040848918392117,-0.16891265585087556,-0.10728699077218895,0.26840750338710384,-0.20050222403044626,0.09281844697839747,5,5,13.0,19.0,True,True,60
SP500,S&P 500 cash index monthly average,True,FIRST_CUT,T04_1987,B02,1987,1987-11-04,0.3333333333333333,1987-10,-0.07865423576299935,-0.08580785718413053,-0.03262303867955718,0.1399472062006215,-0.1399472062006215,0.0,1,1,3.0,13.0,True,True,60
SP500,S&P 500 cash index monthly average,True,FIRST_CUT,T05_1988,B02,1988,1989-06-06,0.3333333333333333,1989-05,0.10639155790304233,0.11034944272078562,0.1479841585067856,0.051981699629239375,0.0,0.1479841585067856,8,8,3.0,3.0,True,True,60
SP500,S&P 500 cash index monthly average,True,FIRST_CUT,T06_1994,B03,1994,1995-07-06,1.0,1995-06,0.080770868849396,0.1391774400520478,0.19415143532812285,0.03654237207244171,0.0,0.23944364621078096,1,12,1.0,2.0,True,True,60
SP500,S&P 500 cash index monthly average,True,FIRST_CUT,T07_1999,B04,1999,2001-01-03,1.0,2000-12,-0.10601049789674599,-0.09503131265335796,-0.14329975732972056,0.21510193028105273,-0.21510193028105273,0.0,8,8,39.0,,True,False,60
SP500,S&P 500 cash index monthly average,True,FIRST_CUT,T08_2004,B05,2004,2007-09-18,1.0,2007-08,0.016916164146552504,-0.09464619894540627,-0.16333791624850547,0.20955023148589658,-0.16333791624850547,0.05846331680792516,12,12,42.0,54.0,True,True,60
SP500,S&P 500 cash index monthly average,True,FIRST_CUT,T09_2015,B06,2015,2019-07-31,1.0,2019-06,0.0302782674307569,0.13426110521781087,0.10983906098752816,0.19090009142873288,-0.08226944347232479,0.13426110521781087,8,8,3.0,5.0,True,True,60
SP500,S&P 500 cash index monthly average,True,FIRST_CUT,T10_2022,B07,2022,2024-09-18,1.0,2024-08,0.09723861067412454,0.0375612841760673,0.20185472777972224,0.11081778482160776,-0.019845673102474204,0.20185472777972224,7,7,1.0,3.0,True,True,17
NASDAQ,Nasdaq Composite monthly average,True,FIRST_CUT,T01_1983,B01,1983,1983-08-17,0.5,1983-07,-0.11840570631942815,-0.19521882731086326,-0.20800114220288357,0.2647636161274509,-0.2647636161274509,0.0,11,11,7.0,17.0,True,True,60
NASDAQ,Nasdaq Composite monthly average,True,FIRST_CUT,T02_1984,B01,1984,1984-09-20,0.5,1984-08,-0.03368970954991013,0.12163393516685295,0.1501404371650632,0.0467138192844162,-0.03368970954991013,0.20650069248010183,3,12,2.0,2.0,True,True,60
NASDAQ,Nasdaq Composite monthly average,True,FIRST_CUT,T03_1987,B02,1987,1987-07-02,0.3333333333333333,1987-06,-0.0912028459519102,-0.19923937729782615,-0.07622072434024829,0.2985083157554079,-0.25763224267833595,0.05827021758795303,5,5,6.0,20.0,True,True,60
NASDAQ,Nasdaq Composite monthly average,True,FIRST_CUT,T04_1987,B02,1987,1987-11-04,0.3333333333333333,1987-10,-0.08174351152968073,-0.03420999761769283,-0.031585749733634594,0.1831315117846628,-0.1831315117846628,0.01648566079341962,1,1,2.0,6.0,True,True,60
NASDAQ,Nasdaq Composite monthly average,True,FIRST_CUT,T05_1988,B02,1988,1989-06-06,0.3333333333333333,1989-05,0.0763436667587587,0.029865875717405954,0.060351881073639646,0.0961433553941895,-0.026305391391759914,0.07726663782273491,8,8,4.0,14.0,True,True,60
NASDAQ,Nasdaq Composite monthly average,True,FIRST_CUT,T06_1994,B03,1994,1995-07-06,1.0,1995-06,0.12814268757293257,0.1312421047139436,0.22027534543601046,0.09416134208802451,0.0,0.34712217763904496,1,12,2.0,3.0,True,True,60
NASDAQ,Nasdaq Composite monthly average,True,FIRST_CUT,T07_1999,B04,1999,2001-01-03,1.0,2000-12,-0.2723596422991508,-0.23471561750481496,-0.25624087845768684,0.40804215504697006,-0.40804215504697006,0.0,8,8,39.0,,True,False,60
NASDAQ,Nasdaq Composite monthly average,True,FIRST_CUT,T08_2004,B05,2004,2007-09-18,1.0,2007-08,0.04806058950011871,-0.11210113875607419,-0.13145925256257895,0.20671641539869567,-0.13145925256257895,0.09486791898503744,12,12,26.0,29.0,True,True,60
NASDAQ,Nasdaq Composite monthly average,True,FIRST_CUT,T09_2015,B06,2015,2019-07-31,1.0,2019-06,0.032434508064444145,0.17991283627062948,0.34175678733640136,0.1748242325021655,-0.006805107650438291,0.34175678733640136,8,8,2.0,3.0,True,True,60
NASDAQ,Nasdaq Composite monthly average,True,FIRST_CUT,T10_2022,B07,2022,2024-09-18,1.0,2024-08,0.1428223769907444,0.03241538372490993,0.28493415075285644,0.1548604932549572,-0.03415566001284498,0.28493415075285644,7,7,1.0,3.0,True,True,17
WTI,WTI spot monthly average,True,FIRST_CUT,T03_1987,B02,1987,1987-07-02,0.3333333333333333,1987-06,-0.012150871244833272,-0.14772246685075996,-0.2289225564096823,0.23698801960002824,-0.2289225564096823,0.010570559044325911,12,12,6.0,9.0,True,True,60
WTI,WTI spot monthly average,True,FIRST_CUT,T04_1987,B02,1987,1987-11-04,0.3333333333333333,1987-10,-0.15405094258166652,-0.12242441685527039,-0.287499400393342,0.3064229865208423,-0.3064229865208423,0.0,11,11,3.0,6.0,True,True,60
WTI,WTI spot monthly average,True,FIRST_CUT,T05_1988,B02,1988,1989-06-06,0.3333333333333333,1989-05,-0.02599243143817742,0.048018073135255745,-0.16935357072857626,0.269776261764174,-0.16935357072857626,0.13752318060518354,12,12,2.0,2.0,True,True,60
WTI,WTI spot monthly average,True,FIRST_CUT,T06_1994,B03,1994,1995-07-06,1.0,1995-06,-0.05213734097246425,0.028778810125479337,0.16999786579056297,0.1312220232766339,-0.05213734097246425,0.277503049843151,3,11,3.0,3.0,True,True,60
WTI,WTI spot monthly average,True,FIRST_CUT,T07_1999,B04,1999,2001-01-03,1.0,2000-12,-0.03736493981348343,-0.0722203963134902,-0.3147159114251674,0.3430163134968517,-0.3206934801363954,0.033977758990137996,11,11,3.0,9.0,True,True,60
WTI,WTI spot monthly average,True,FIRST_CUT,T08_2004,B05,2004,2007-09-18,1.0,2007-08,0.26716360511720416,0.4574309423803773,0.43891537109859535,0.22233129881770453,0.0,0.8502935361947854,1,12,,,False,False,60
WTI,WTI spot monthly average,True,FIRST_CUT,T09_2015,B06,2015,2019-07-31,1.0,2019-06,-0.012705603471419913,0.05235416217440636,-0.2551716681982429,0.7233610635672492,-0.6972488853749431,0.09439082773025964,9,9,2.0,11.0,True,True,60
WTI,WTI spot monthly average,True,FIRST_CUT,T10_2022,B07,2022,2024-09-18,1.0,2024-08,-0.08561312173577518,-0.11011715996808136,-0.16593122373695335,0.18929265096197523,-0.18929265096197523,0.0,8,8,10.0,10.0,True,True,16
USD_BROAD,Nominal Broad U.S. Dollar Index monthly average,False,FIRST_CUT,T08_2004,B05,2004,2007-09-18,1.0,2007-08,-0.04005254551722093,-0.07380980336474441,-0.026612400738595388,0.07792785933120483,-0.07792785933120483,0.0,10,10,2.0,3.0,True,True,60
USD_BROAD,Nominal Broad U.S. Dollar Index monthly average,False,FIRST_CUT,T09_2015,B06,2015,2019-07-31,1.0,2019-06,0.011428767020674524,-0.0012794597117842255,0.028268758792889592,0.03723460895263253,-0.0012794597117842255,0.06803668718737677,6,12,24.0,26.0,True,True,60
USD_BROAD,Nominal Broad U.S. Dollar Index monthly average,False,FIRST_CUT,T10_2022,B07,2022,2024-09-18,1.0,2024-08,0.04046887409600397,0.029599471650920472,-0.02107984786342465,0.06836462919540964,-0.02107984786342465,0.050754600795317906,12,12,,,False,False,12
