asset,asset_label,primary_asset,anchor,cycle_id,broad_episode_id,cycle_start_year,anchor_date,episode_weight,baseline_period,ret_3m,ret_6m,ret_12m,mdd_12m,mae_12m,mfe_12m,event_trough_month,mdd_trough_month,recovery50_months,recovery100_months,recovery50_observed,recovery100_observed,recovery_censor_months
NASDAQ,Nasdaq Composite monthly average,True,FIRST_HIKE,T03_1987,B02,1987,1987-01-05,0.3333333333333333,1986-12,0.19116928955728096,0.20873765891804474,-0.0440727587544999,0.2985083157554079,-0.11378064539264121,0.26333550990229115,11,11,6.0,20.0,True,True,60
NASDAQ,Nasdaq Composite monthly average,True,FIRST_HIKE,T04_1987,B02,1987,1987-08-27,0.3333333333333333,1987-07,-0.25699782266651827,-0.17582195663345046,-0.11515037605241807,0.2896585442825429,-0.2668224175288588,0.032148098030712724,4,4,6.0,18.0,True,True,60
NASDAQ,Nasdaq Composite monthly average,True,FIRST_HIKE,T05_1988,B02,1988,1988-03-30,0.3333333333333333,1988-02,0.09164545922489009,0.08082704994843204,0.14259345629792897,0.04729177437636645,0.0,0.14283723892085476,2,8,2.0,3.0,True,True,60
NASDAQ,Nasdaq Composite monthly average,True,FIRST_HIKE,T06_1994,B03,1994,1994-02-04,1.0,1994-01,-0.0761699411357214,-0.06207501430646856,-0.004474521256481401,0.09428983856752704,-0.09428983856752704,0.0,5,5,2.0,8.0,True,True,60
NASDAQ,Nasdaq Composite monthly average,True,FIRST_HIKE,T07_1999,B04,1999,1999-06-30,1.0,1999-05,0.11754845753759224,0.4884526301945342,0.5384400662191153,0.265370509662039,0.0,0.9115648406804777,2,11,,,False,False,60
NASDAQ,Nasdaq Composite monthly average,True,FIRST_HIKE,T08_2004,B05,2004,2004-06-30,1.0,2004-05,-0.02356575039316744,0.1136213217610782,0.07452893026539509,0.08933970899063093,-0.05612120725443448,0.1136213217610782,2,10,2.0,4.0,True,True,60
NASDAQ,Nasdaq Composite monthly average,True,FIRST_HIKE,T09_2015,B06,2015,2015-12-16,1.0,2015-11,-0.06454066405035486,-0.044520392202613945,0.06504843655748016,0.12184959884466473,-0.12184959884466473,0.06504843655748016,2,2,2.0,6.0,True,True,60
NASDAQ,Nasdaq Composite monthly average,True,FIRST_HIKE,T10_2022,B07,2022,2022-03-16,1.0,2022-02,-0.17841987398482995,-0.1795760263415237,-0.16272252961744704,0.22284298545231773,-0.22284298545231773,0.0,7,7,7.0,9.0,True,True,47
WTI,WTI spot monthly average,True,FIRST_HIKE,T03_1987,B02,1987,1987-01-05,0.3333333333333333,1986-12,0.17193240385886077,0.34138694330646224,0.07526265362759355,0.20000935935233288,0.0,0.34138694330646224,11,11,15.0,25.0,True,True,60
WTI,WTI spot monthly average,True,FIRST_HIKE,T04_1987,B02,1987,1987-08-27,0.3333333333333333,1987-07,-0.11769385558519352,-0.2140149615932292,-0.27355148762836035,0.27476718611072115,-0.27476718611072115,0.0,11,11,8.0,18.0,True,True,60
WTI,WTI spot monthly average,True,FIRST_HIKE,T05_1988,B02,1988,1988-03-30,0.3333333333333333,1988-02,-0.013676958407757178,-0.13457360025362086,0.1600632505199997,0.22908460795094798,-0.180119645034164,0.1600632505199997,7,7,2.0,3.0,True,True,60
WTI,WTI spot monthly average,True,FIRST_HIKE,T06_1994,B03,1994,1994-02-04,1.0,1994-01,0.19813882964542784,0.22755144082790046,0.23718860155810306,0.1286417303359989,-0.020770931673122384,0.30995067981871527,1,10,2.0,4.0,True,True,60
WTI,WTI spot monthly average,True,FIRST_HIKE,T07_1999,B04,1999,1999-06-30,1.0,1999-05,0.35918571250156117,0.4677157487198702,0.7860354332815929,0.15229823696358613,0.0,0.7860354332815929,1,10,1.0,2.0,True,True,60
WTI,WTI spot monthly average,True,FIRST_HIKE,T08_2004,B05,2004,2004-06-30,1.0,2004-05,0.15046669382405553,0.06993027635595062,0.39549817081210414,0.18791304494519445,0.0,0.39549817081210414,1,6,3.0,3.0,True,True,60
WTI,WTI spot monthly average,True,FIRST_HIKE,T09_2015,B06,2015,2015-12-16,1.0,2015-11,-0.11538012566438594,0.14875711775119216,0.22446254881138916,0.2855678725835522,-0.2855678725835522,0.22446254881138916,2,2,1.0,3.0,True,True,60
WTI,WTI spot monthly average,True,FIRST_HIKE,T10_2022,B07,2022,2022-03-16,1.0,2022-02,0.25311898499047447,-0.08056386500889656,-0.2003820996955088,0.3618978645427118,-0.2003820996955088,0.25311898499047447,12,12,37.0,,True,False,42
USD_BROAD,Nominal Broad U.S. Dollar Index monthly average,False,FIRST_HIKE,T09_2015,B06,2015,2015-12-16,1.0,2015-11,0.0018065884902294105,-0.0011816756242173376,0.05562833247577603,0.045275645774780604,-0.014992480885080206,0.05562833247577603,4,4,6.0,7.0,True,True,60
USD_BROAD,Nominal Broad U.S. Dollar Index monthly average,False,FIRST_HIKE,T10_2022,B07,2022,2022-03-16,1.0,2022-02,0.04372231425156192,0.092148399618464,0.04997725027465605,0.06017025099622009,0.0,0.10854876509932398,1,10,17.0,23.0,True,True,44
GOLD,Gold monthly World Bank/DataHub,True,LAST_HIKE,T01_1983,B01,1983,1983-08-11,0.5,1983-07,-0.052109181141439254,-0.04218362282878407,-0.1364764267990074,0.15533980582524276,-0.1364764267990074,0.022332506203474045,11,11,26.0,26.0,True,True,60
GOLD,Gold monthly World Bank/DataHub,True,LAST_HIKE,T02_1984,B01,1984,1984-08-09,0.5,1984-07,-0.017241379310344862,-0.1408045977011494,-0.051724137931034475,0.1408045977011494,-0.1408045977011494,0.0,6,6,2.0,17.0,True,True,60
GOLD,Gold monthly World Bank/DataHub,True,LAST_HIKE,T03_1987,B02,1987,1987-05-22,0.3333333333333333,1987-04,0.05251141552511407,0.06849315068493156,0.029680365296803624,0.09053497942386834,0.0,0.1095890410958904,9,9,,,False,False,60
GOLD,Gold monthly World Bank/DataHub,True,LAST_HIKE,T04_1987,B02,1987,1987-09-24,0.3333333333333333,1987-08,0.054229934924078016,-0.03687635574837311,-0.10412147505422997,0.15020576131687247,-0.10412147505422997,0.054229934924078016,12,12,,,False,False,60
GOLD,Gold monthly World Bank/DataHub,True,LAST_HIKE,T05_1988,B02,1988,1989-05-17,0.3333333333333333,1989-04,-0.04947916666666663,0.02604166666666674,-0.0390625,0.1151079136690647,-0.05729166666666663,0.0859375,4,12,3.0,,True,False,60
GOLD,Gold monthly World Bank/DataHub,True,LAST_HIKE,T06_1994,B03,1994,1995-02-01,1.0,1995-01,0.0158311345646438,0.013192612137203241,0.06860158311345654,0.020460358056266004,0.0,0.06860158311345654,1,7,3.0,4.0,True,True,60
GOLD,Gold monthly World Bank/DataHub,True,LAST_HIKE,T07_1999,B04,1999,2000-05-16,1.0,2000-04,-0.019749999999999934,-0.050000000000000044,-0.02857142857142858,0.09090909090909094,-0.0714285714285714,0.021428571428571352,11,11,5.0,10.0,True,True,60
GOLD,Gold monthly World Bank/DataHub,True,LAST_HIKE,T08_2004,B05,2004,2006-06-29,1.0,2006-05,-0.1140740740740741,-0.06666666666666665,-0.028148148148148144,0.1318518518518519,-0.1318518518518519,0.00592592592592589,4,4,3.0,6.0,True,True,60
GOLD,Gold monthly World Bank/DataHub,True,LAST_HIKE,T09_2015,B06,2015,2018-12-19,1.0,2018-11,0.06552006552006562,0.11302211302211296,0.21130221130221138,0.027272727272727226,0.0,0.2375102375102376,5,5,1.0,1.0,True,True,60
GOLD,Gold monthly World Bank/DataHub,True,LAST_HIKE,T10_2022,B07,2022,2023-07-26,1.0,2023-06,-0.013896037056098764,0.046834791559444255,0.23417395779722083,0.013896037056098764,-0.013896037056098764,0.23417395779722083,2,2,2.0,2.0,True,True,35
SP500,S&P 500 cash index monthly average,True,LAST_HIKE,T01_1983,B01,1983,1983-08-11,0.5,1983-07,-0.010302704124425466,-0.058103859891648346,-0.015154922467419674,0.09887124945362158,-0.095075218937696,0.004212528469016208,11,11,1.0,6.0,True,True,60
SP500,S&P 500 cash index monthly average,True,LAST_HIKE,T02_1984,B01,1984,1984-08-09,0.5,1984-07,0.10056923905398896,0.19729293910192158,0.24641737586018087,0.02201142956423241,0.0,0.2744702888550199,4,12,3.0,3.0,True,True,60
SP500,S&P 500 cash index monthly average,True,LAST_HIKE,T03_1987,B02,1987,1987-05-22,0.3333333333333333,1987-04,0.13837938749705514,-0.15316297782841515,-0.11474448826549744,0.26840750338710384,-0.16717018180836996,0.13837938749705514,7,7,13.0,19.0,True,True,60
SP500,S&P 500 cash index monthly average,True,LAST_HIKE,T04_1987,B02,1987,1987-09-24,0.3333333333333333,1987-08,-0.26840750338710384,-0.19316574361961392,-0.1863870762460197,0.26840750338710384,-0.26840750338710384,0.0,3,3,13.0,19.0,True,True,60
SP500,S&P 500 cash index monthly average,True,LAST_HIKE,T05_1988,B02,1988,1989-05-17,0.3333333333333333,1989-04,0.14675495099825175,0.1256176127016544,0.1588051174689442,0.051981699629239375,0.0,0.1588051174689442,1,9,3.0,3.0,True,True,60
SP500,S&P 500 cash index monthly average,True,LAST_HIKE,T06_1994,B03,1994,1995-02-01,1.0,1995-01,0.12587563728681728,0.20174100220048818,0.39611392669431744,0.0002456901496479258,0.0,0.39611392669431744,1,11,1.0,1.0,True,True,60
SP500,S&P 500 cash index monthly average,True,LAST_HIKE,T07_1999,B04,1999,2000-05-16,1.0,2000-04,0.01649359415948637,-0.05906685103866005,-0.1306914387554835,0.2016941552670919,-0.1885272226489213,0.01649359415948637,10,10,,,False,False,60
SP500,S&P 500 cash index monthly average,True,LAST_HIKE,T08_2004,B05,2004,2006-06-29,1.0,2006-05,0.021495419426582174,0.09798840659132102,0.1740104810702221,0.02619259751689884,-0.023084348628166107,0.1740104810702221,1,9,1.0,1.0,True,True,60
SP500,S&P 500 cash index monthly average,True,LAST_HIKE,T09_2015,B06,2015,2018-12-19,1.0,2018-11,0.029653143319957165,0.06130017287203371,0.16653674233624405,0.04253822275725605,-0.04253822275725605,0.16653674233624405,1,1,1.0,1.0,True,True,60
SP500,S&P 500 cash index monthly average,True,LAST_HIKE,T10_2022,B07,2022,2023-07-26,1.0,2023-06,-0.017483400150148487,0.10565691201945038,0.2744601623486882,0.0421679614905226,-0.017483400150148487,0.2744601623486882,3,3,1.0,1.0,True,True,35
NASDAQ,Nasdaq Composite monthly average,True,LAST_HIKE,T01_1983,B01,1983,1983-08-11,0.5,1983-07,-0.11840570631942815,-0.19521882731086326,-0.20800114220288357,0.2647636161274509,-0.2647636161274509,0.0,11,11,7.0,17.0,True,True,60
NASDAQ,Nasdaq Composite monthly average,True,LAST_HIKE,T02_1984,B01,1984,1984-08-09,0.5,1984-07,0.06021538865029652,0.22855581935857905,0.28331490494228584,0.04004979020862198,0.0,0.29964619724438424,4,4,1.0,1.0,True,True,60
NASDAQ,Nasdaq Composite monthly average,True,LAST_HIKE,T03_1987,B02,1987,1987-05-22,0.3333333333333333,1987-04,0.06058435268410256,-0.24603939987835366,-0.12037349913270712,0.2985083157554079,-0.2560088961521685,0.06058435268410256,7,7,6.0,20.0,True,True,60
NASDAQ,Nasdaq Composite monthly average,True,LAST_HIKE,T04_1987,B02,1987,1987-09-24,0.3333333333333333,1987-08,-0.2985083157554079,-0.16245359926386793,-0.1477037153465136,0.2985083157554079,-0.2985083157554079,0.0,3,3,6.0,20.0,True,True,60
NASDAQ,Nasdaq Composite monthly average,True,LAST_HIKE,T05_1988,B02,1988,1989-05-17,0.3333333333333333,1989-04,0.10715562555308078,0.09006099503066856,0.06105574237811173,0.0961433553941895,0.0,0.12598208973439728,9,9,4.0,14.0,True,True,60
NASDAQ,Nasdaq Composite monthly average,True,LAST_HIKE,T06_1994,B03,1994,1995-02-01,1.0,1995-01,0.13422829562344818,0.3318860117931832,0.44326996166666466,0.027462157252832853,0.0,0.44326996166666466,1,8,1.0,4.0,True,True,60
NASDAQ,Nasdaq Composite monthly average,True,LAST_HIKE,T07_1999,B04,1999,2000-05-16,1.0,2000-04,0.011895419708984889,-0.20918684991808878,-0.4354727350473382,0.5186461855521276,-0.4994540595847028,0.03987114133382086,11,11,,,False,False,60
NASDAQ,Nasdaq Composite monthly average,True,LAST_HIKE,T08_2004,B05,2004,2006-06-29,1.0,2006-05,-0.01039638676659338,0.08311926828379534,0.15593337524903128,0.07084826363161534,-0.07084826363161534,0.15593337524903128,1,1,2.0,3.0,True,True,60
NASDAQ,Nasdaq Composite monthly average,True,LAST_HIKE,T09_2015,B06,2015,2018-12-19,1.0,2018-11,0.054350582145519466,0.08144982574428128,0.21316924294265815,0.035910293398902615,-0.03543709628159042,0.21316924294265815,1,8,1.0,3.0,True,True,60
NASDAQ,Nasdaq Composite monthly average,True,LAST_HIKE,T10_2022,B07,2022,2023-07-26,1.0,2023-06,-0.019634154637321766,0.12014536499043138,0.33419396972790816,0.039307757282946,-0.019634154637321766,0.33419396972790816,3,3,1.0,1.0,True,True,35
WTI,WTI spot monthly average,True,LAST_HIKE,T03_1987,B02,1987,1987-05-22,0.3333333333333333,1987-04,0.08792160373616764,0.009882428559950807,-0.06673256575503561,0.240212031872849,-0.13035115611510273,0.14459412410616257,10,10,12.0,22.0,True,True,60
WTI,WTI spot monthly average,True,LAST_HIKE,T04_1987,B02,1987,1987-09-24,0.3333333333333333,1987-08,-0.15833587320938747,-0.20063280212624934,-0.28435386618867287,0.28435386618867287,-0.28435386618867287,0.0,12,12,4.0,7.0,True,True,60
WTI,WTI spot monthly average,True,LAST_HIKE,T05_1988,B02,1988,1989-05-17,0.3333333333333333,1989-04,-0.11813564953248834,-0.0567833509446406,-0.13126710649136952,0.19944067807842436,-0.13126710649136952,0.08515742646456026,12,12,3.0,3.0,True,True,60
WTI,WTI spot monthly average,True,LAST_HIKE,T06_1994,B03,1994,1995-02-01,1.0,1995-01,0.0953223750970944,-0.005348478718103955,0.057613320091710385,0.12974055825995356,-0.043617299790773556,0.0989627395446353,5,5,5.0,8.0,True,True,60
WTI,WTI spot monthly average,True,LAST_HIKE,T07_1999,B04,1999,2000-05-16,1.0,2000-04,0.21596425924538032,0.3366652926628195,0.1165933864614821,0.20650806889339002,0.0,0.3366652926628195,10,10,22.0,23.0,True,True,60
WTI,WTI spot monthly average,True,LAST_HIKE,T08_2004,B05,2004,2006-06-29,1.0,2006-05,-0.09628127494403405,-0.12603323271362887,-0.048028780728303966,0.26391522964262826,-0.23080937738031448,0.04497559737072243,7,7,5.0,6.0,True,True,60
WTI,WTI spot monthly average,True,LAST_HIKE,T09_2015,B06,2015,2018-12-19,1.0,2018-11,0.020854206139520493,-0.04048206307547797,0.0500876292128587,0.1550104666705353,-0.09809414299131392,0.12111055241305313,1,10,2.0,19.0,True,True,60
WTI,WTI spot monthly average,True,LAST_HIKE,T10_2022,B07,2022,2023-07-26,1.0,2023-06,0.21910100934782162,0.05557852780282113,0.16445085476274235,0.195974280123008,0.0,0.27298825251998005,5,5,3.0,27.0,True,True,33
USD_BROAD,Nominal Broad U.S. Dollar Index monthly average,False,LAST_HIKE,T08_2004,B05,2004,2006-06-29,1.0,2006-05,0.004815705559178873,-0.007349907151839696,-0.031451221387571615,0.04057148440920222,-0.031451221387571615,0.0095059328271212,12,12,16.0,17.0,True,True,60
USD_BROAD,Nominal Broad U.S. Dollar Index monthly average,False,LAST_HIKE,T09_2015,B06,2015,2018-12-19,1.0,2018-11,-0.011926808491719676,-0.006387028489388102,-0.0022332541340940315,0.015116242407299252,-0.015116242407299252,0.009941331617213445,2,2,3.0,6.0,True,True,60
USD_BROAD,Nominal Broad U.S. Dollar Index monthly average,False,LAST_HIKE,T10_2022,B07,2022,2023-07-26,1.0,2023-06,0.035207900573039685,0.007799065636930003,0.03424633992021664,0.029668763122772668,0.0,0.03698775600172466,5,5,4.0,6.0,True,True,33
GOLD,Gold monthly World Bank/DataHub,True,PAUSE_START,T02_1984,B01,1984,1984-08-21,1.0,1984-07,-0.017241379310344862,-0.1408045977011494,-0.051724137931034475,0.1408045977011494,-0.1408045977011494,0.0,6,6,2.0,17.0,True,True,60
GOLD,Gold monthly World Bank/DataHub,True,PAUSE_START,T04_1987,B02,1987,1987-11-03,1.0,1987-10,-0.04946236559139783,-0.03010752688172047,-0.09677419354838712,0.1625514403292181,-0.12473118279569895,0.04516129032258065,11,11,,,False,False,60
GOLD,Gold monthly World Bank/DataHub,True,PAUSE_START,T06_1994,B03,1994,1995-03-28,1.0,1995-02,0.02917771883289122,0.01591511936339529,0.05039787798408479,0.022222222222222254,0.0,0.07427055702917773,6,12,,,False,False,60
GOLD,Gold monthly World Bank/DataHub,True,PAUSE_START,T07_1999,B04,1999,2000-06-28,1.0,2000-05,-0.0036363636363636598,-0.014545454545454528,-0.018181818181818188,0.07801418439716312,-0.054545454545454564,0.025454545454545396,10,10,1.0,5.0,True,True,60
GOLD,Gold monthly World Bank/DataHub,True,PAUSE_START,T08_2004,B05,2004,2006-08-08,1.0,2006-07,-0.009463722397476393,0.04889589905362768,0.04889589905362768,0.0757097791798107,-0.0757097791798107,0.07097791798107256,2,2,1.0,4.0,True,True,60
GOLD,Gold monthly World Bank/DataHub,True,PAUSE_START,T09_2015,B06,2015,2019-01-30,1.0,2018-12,0.028799999999999937,0.13040000000000007,0.2487999999999999,0.027272727272727226,0.0,0.2487999999999999,4,4,1.0,1.0,True,True,60
