model,oos_episodes,episode_equal_mse,episode_equal_mae,oos_r2_vs_b0
B0_HIST_MEAN,4,0.013864930058622972,0.08861484662320905,0.0
B1_GOLD_HISTORY,4,0.015100042975383934,0.09715957675328063,-0.08908179929784876
B2_GOLD_PLUS_CYCLE_AGE,4,0.01701595117345704,0.10203837110489343,-0.22726556149299593
M3_PLUS_REALTIME_IPT,4,0.013396775194465737,0.09104673929606207,0.03376539673678902
D4_PLUS_CURRENT_INDPRO,4,0.014374455475358032,0.09437483178955199,-0.03674922373071565
