test_broad_episode,model,feature,standardized_coefficient,feature_active_in_train,train_rows,train_broad_episodes
B06,M3_PLUS_REALTIME_IPT,GOLD_RET_6M_LAGGED,-0.0018407482035093384,True,100,5
B06,M3_PLUS_REALTIME_IPT,GOLD_VOL_6M_LAGGED,-0.035641158122393074,True,100,5
B06,M3_PLUS_REALTIME_IPT,CYCLE_AGE_MONTHS,0.02465398424607657,True,100,5
B06,M3_PLUS_REALTIME_IPT,RT_IPT_YOY,-0.04972190692160196,True,100,5
B06,M3_PLUS_REALTIME_IPT,INTERCEPT,-0.0021598241886129047,True,100,5
B06,D4_PLUS_CURRENT_INDPRO,GOLD_RET_3M_LAGGED,0.011912215777661463,True,100,5
B06,D4_PLUS_CURRENT_INDPRO,GOLD_RET_6M_LAGGED,0.0033910315775184307,True,100,5
B06,D4_PLUS_CURRENT_INDPRO,GOLD_VOL_6M_LAGGED,-0.040087747810170576,True,100,5
B06,D4_PLUS_CURRENT_INDPRO,CYCLE_AGE_MONTHS,0.020808767401230346,True,100,5
B06,D4_PLUS_CURRENT_INDPRO,INDPRO_YOY,-0.041979958630840475,True,100,5
B06,D4_PLUS_CURRENT_INDPRO,INTERCEPT,-0.0021598241886129047,True,100,5
B07,B1_GOLD_HISTORY,GOLD_RET_3M_LAGGED,0.011968776620452315,True,136,6
B07,B1_GOLD_HISTORY,GOLD_RET_6M_LAGGED,0.0015902250473601555,True,136,6
B07,B1_GOLD_HISTORY,GOLD_VOL_6M_LAGGED,-0.01838242618742245,True,136,6
B07,B1_GOLD_HISTORY,INTERCEPT,0.001025332456889698,True,136,6
B07,B2_GOLD_PLUS_CYCLE_AGE,GOLD_RET_3M_LAGGED,0.009552864068964636,True,136,6
B07,B2_GOLD_PLUS_CYCLE_AGE,GOLD_RET_6M_LAGGED,0.0011018042956399575,True,136,6
B07,B2_GOLD_PLUS_CYCLE_AGE,GOLD_VOL_6M_LAGGED,-0.015297104210523126,True,136,6
B07,B2_GOLD_PLUS_CYCLE_AGE,CYCLE_AGE_MONTHS,0.019598700930335153,True,136,6
B07,B2_GOLD_PLUS_CYCLE_AGE,INTERCEPT,0.0010253324568896983,True,136,6
B07,M3_PLUS_REALTIME_IPT,GOLD_RET_3M_LAGGED,0.011381393586481658,True,136,6
B07,M3_PLUS_REALTIME_IPT,GOLD_RET_6M_LAGGED,-0.0073007394958756935,True,136,6
B07,M3_PLUS_REALTIME_IPT,GOLD_VOL_6M_LAGGED,-0.026314406965712207,True,136,6
B07,M3_PLUS_REALTIME_IPT,CYCLE_AGE_MONTHS,0.014622259768987457,True,136,6
B07,M3_PLUS_REALTIME_IPT,RT_IPT_YOY,-0.04296607400802377,True,136,6
B07,M3_PLUS_REALTIME_IPT,INTERCEPT,0.0010253324568896978,True,136,6
B07,D4_PLUS_CURRENT_INDPRO,GOLD_RET_3M_LAGGED,0.011795345770762545,True,136,6
B07,D4_PLUS_CURRENT_INDPRO,GOLD_RET_6M_LAGGED,-0.0030891270606780916,True,136,6
B07,D4_PLUS_CURRENT_INDPRO,GOLD_VOL_6M_LAGGED,-0.028611677653439464,True,136,6
B07,D4_PLUS_CURRENT_INDPRO,CYCLE_AGE_MONTHS,0.013167640521701796,True,136,6
B07,D4_PLUS_CURRENT_INDPRO,INDPRO_YOY,-0.03452851863761163,True,136,6
B07,D4_PLUS_CURRENT_INDPRO,INTERCEPT,0.001025332456889698,True,136,6
