sample,n_events,n_8w,median_wti_8w,negative_share_8w,median_short_mae_8w,n_13w,median_wti_13w,negative_share_13w,median_short_mae_13w
MIXED_ALL,10,10,0.0707752163988205,0.2,0.15240310343503566,10,0.06698198440225905,0.4,0.1791874565300085
MIXED_EXCLUDE_2004,8,8,0.0661164259549069,0.25,0.13925204031519395,8,0.0125961469062815,0.5,0.16997990054430395
MIXED_PRE_2018,4,4,0.1073190268801523,0.0,0.15240310343503566,4,0.1932458950233769,0.25,0.20979222474660192
MIXED_2018_PRESENT,6,6,0.0661164259549069,0.3333333333333333,0.14608941012170745,6,0.0125961469062815,0.5,0.16997990054430395
DEMAND_DESTRUCTION_ALL,4,4,-0.023613965617124248,0.5,0.13218194451460685,4,-0.07069660079567455,0.75,0.1360455568455986
