series_id,anchor,cycle_id,broad_episode_id,anchor_date,episode_weight,baseline_month,baseline_3m_avg,level_3mavg_3m,change_3m,level_3mavg_6m,change_6m,level_3mavg_12m,change_12m,level_3mavg_24m,change_24m,min_change_24m,trough_month_24m,max_change_24m,peak_month_24m,months_observed_0_24
HOUST,LAST_HIKE,T03_1987,B02,1987-05-22,0.3333333333333333,1987-04,1708.0,1591.3333333333333,-0.06830601092896182,1622.0,-0.050351288056206034,1508.6666666666667,-0.1167056986729117,1364.0,-0.20140515222482436,-0.20140515222482436,24,-0.030444964871194413,0,25
HOUST,FIRST_CUT,T03_1987,B02,1987-07-02,0.3333333333333333,1987-06,1612.0,1605.0,-0.004342431761786614,1442.3333333333333,-0.1052522746071134,1455.3333333333333,-0.09718775847808114,1385.0,-0.140818858560794,-0.1590157154673283,23,0.008064516129032251,2,25
HOUST,FIRST_HIKE,T04_1987,B02,1987-08-27,0.5,1987-07,1599.0,1622.0,0.014383989993746127,1381.3333333333333,-0.13612674588284346,1479.3333333333333,-0.07483844069209933,1385.3333333333333,-0.13362518240567023,-0.15217844486137166,22,0.016260162601626105,1,25
HOUST,LAST_HIKE,T04_1987,B02,1987-09-24,0.3333333333333333,1987-08,1591.3333333333333,1523.6666666666667,-0.04252199413489732,1425.3333333333333,-0.10431503979891077,1484.0,-0.0674486803519061,1346.0,-0.15416841223292832,-0.15416841223292832,24,0.021156263091747007,0,25
HOUST,PAUSE_START,T04_1987,B02,1987-11-03,1.0,1987-10,1605.0,1381.3333333333333,-0.13935617860851512,1508.6666666666667,-0.06002076843198334,1527.6666666666667,-0.04818276220145379,1346.6666666666667,-0.16095534787123567,-0.16490134994807892,23,0.010591900311526459,0,25
HOUST,FIRST_CUT,T04_1987,B02,1987-11-04,0.3333333333333333,1987-10,1605.0,1381.3333333333333,-0.13935617860851512,1508.6666666666667,-0.06002076843198334,1527.6666666666667,-0.04818276220145379,1346.6666666666667,-0.16095534787123567,-0.16490134994807892,23,0.010591900311526459,0,25
HOUST,FIRST_HIKE,T05_1988,B02,1988-03-30,0.5,1988-02,1381.3333333333333,1490.6666666666667,0.07915057915057933,1484.0,0.07432432432432434,1489.3333333333333,0.0781853281853282,1425.6666666666667,0.03209459459459474,-0.031853281853281845,21,0.14695945945945943,10,25
HOUST,LAST_HIKE,T05_1988,B02,1989-05-17,0.3333333333333333,1989-04,1395.3333333333333,1385.3333333333333,-0.007166746297181059,1346.6666666666667,-0.03487816531294785,1249.6666666666667,-0.10439560439560425,972.6666666666666,-0.30291447682752026,-0.3588150979455327,22,0.021739130434782705,10,25
HOUST,FIRST_CUT,T05_1988,B02,1989-06-06,0.3333333333333333,1989-05,1364.0,1346.0,-0.01319648093841641,1337.3333333333333,-0.019550342130987386,1212.3333333333333,-0.11119257086999024,1011.0,-0.2587976539589443,-0.34408602150537637,21,0.04521016617790807,9,25
HOUST,FIRST_HIKE,T06_1994,B03,1994-02-04,1.0,1994-01,1393.6666666666667,1518.3333333333333,0.08945228414254958,1432.6666666666667,0.027983735948337696,1392.6666666666667,-0.0007175316909829865,1463.0,0.049748863908155805,-0.0839512078450132,15,0.08945228414254958,3,25
HOUST,LAST_HIKE,T06_1994,B03,1995-02-01,1.0,1995-01,1457.6666666666667,1276.6666666666667,-0.12417104962268466,1386.0,-0.04916533272353085,1463.0,0.0036588154584953347,1403.6666666666667,-0.037045506517265014,-0.12417104962268466,3,0.02995655156643018,19,25
HOUST,PAUSE_START,T06_1994,B03,1995-03-28,1.0,1995-02,1392.6666666666667,1287.3333333333333,-0.07563427477261864,1415.3333333333333,0.01627573001436078,1460.6666666666667,0.04882719004308278,1432.6666666666667,0.028721876495931165,-0.08329344183820009,2,0.07802776448061266,18,25
HOUST,FIRST_CUT,T06_1994,B03,1995-07-06,1.0,1995-06,1287.3333333333333,1384.6666666666667,0.0756084930088039,1450.0,0.12635939927498718,1481.0,0.1504401864319007,1457.6666666666667,0.13231486276540672,0.05023303987571204,0,0.1662351113412739,14,25
HOUST,FIRST_HIKE,T07_1999,B04,1999-06-30,1.0,1999-05,1624.6666666666667,1650.6666666666667,0.01600328272466145,1654.6666666666667,0.018465326220763245,1586.6666666666667,-0.023389413212966725,1630.0,0.003282724661469061,-0.07447681575707832,15,0.04247025030775542,8,25
HOUST,LAST_HIKE,T07_1999,B04,2000-05-16,1.0,2000-04,1655.6666666666667,1521.0,-0.08133682303201129,1535.6666666666667,-0.07247835715723772,1614.6666666666667,-0.02476343869538955,1666.0,0.0062411918663176635,-0.09180591906583446,4,0.04066841151600564,22,25
HOUST,PAUSE_START,T07_1999,B04,2000-06-28,1.0,2000-05,1601.6666666666667,1503.6666666666667,-0.06118626430801244,1544.0,-0.03600416233090531,1630.0,0.01768990634755463,1691.0,0.055775234131113294,-0.06118626430801244,3,0.07575442247658692,21,25
HOUST,FIRST_CUT,T07_1999,B04,2001-01-03,1.0,2000-12,1544.0,1621.3333333333333,0.05008635578583753,1637.0,0.06023316062176165,1622.6666666666667,0.050949913644214195,1798.0,0.1645077720207253,0.007987910189982683,9,0.1645077720207253,24,25
HOUST,FIRST_HIKE,T08_2004,B05,2004-06-30,1.0,2004-05,1994.0,1977.0,-0.00852557673019061,1965.3333333333333,-0.01437646272149784,2051.3333333333335,0.02875292544299568,1855.0,-0.06970912738214641,-0.06970912738214641,24,0.07221664994984955,19,25
HOUST,LAST_HIKE,T08_2004,B05,2006-06-29,1.0,2006-05,1910.6666666666667,1702.3333333333333,-0.10903698534542927,1570.0,-0.17829727843684584,1451.0,-0.240579204466155,1010.6666666666666,-0.47103977669225405,-0.47819260293091415,23,-0.029134682484298735,0,25
HOUST,PAUSE_START,T08_2004,B05,2006-08-08,1.0,2006-07,1827.0,1593.6666666666667,-0.1277139208173691,1512.6666666666667,-0.17204889618682717,1377.3333333333333,-0.24612297026090135,937.6666666666666,-0.48677248677248675,-0.48677248677248675,24,-0.05327494982667391,0,25
HOUST,FIRST_CUT,T08_2004,B05,2007-09-18,1.0,2007-08,1377.3333333333333,1166.0,-0.15343659244917707,1064.0,-0.2274927395934172,862.3333333333334,-0.37391093901258465,588.3333333333334,-0.5728460793804453,-0.6314133591481123,20,-0.06413359148112285,0,25
HOUST,FIRST_HIKE,T09_2015,B06,2015-12-16,1.0,2015-11,1151.3333333333333,1142.6666666666667,-0.007527504342790814,1171.3333333333333,0.01737116386797921,1235.0,0.07266936884771291,1235.6666666666667,0.0732484076433122,-0.022582513028372886,0,0.07498552403011005,14,25
HOUST,LAST_HIKE,T09_2015,B06,2018-12-19,1.0,2018-11,1217.3333333333333,1179.3333333333333,-0.031215772179627566,1269.3333333333333,0.042716319824753546,1408.6666666666667,0.15717415115005484,1566.6666666666667,0.2869660460021908,-0.11254107338444685,17,0.2869660460021908,24,25
HOUST,PAUSE_START,T09_2015,B06,2019-01-30,1.0,2018-12,1165.6666666666667,1194.6666666666667,0.024878467257649417,1258.6666666666667,0.07978267086073787,1494.0,0.28167000285959376,1593.6666666666667,0.3671718615956534,-0.07320560480411797,16,0.3671718615956534,24,25
HOUST,FIRST_CUT,T09_2015,B06,2019-07-31,1.0,2019-06,1269.3333333333333,1337.0,0.05330882352941191,1494.0,0.17699579831932777,1277.0,0.006039915966386644,1621.3333333333333,0.277310924369748,-0.14889705882352944,10,0.277310924369748,24,25
HOUST,FIRST_HIKE,T10_2022,B07,2022-03-16,1.0,2022-02,1711.3333333333333,1636.3333333333333,-0.043825477210751806,1465.0,-0.1439423451499805,1373.0,-0.19770159719516944,1410.0,-0.17608102843786522,-0.21133619010518112,11,0.0200623295675888,1,25
HOUST,LAST_HIKE,T10_2022,B07,2023-07-26,1.0,2023-06,1457.3333333333333,1356.6666666666667,-0.06907593778591026,1468.0,0.007319304666056681,1305.3333333333333,-0.10430009149130837,1366.6666666666667,-0.06221408966148201,-0.10430009149130837,12,0.02767612076852699,0,25
HOUST,PAUSE_START,T10_2022,B07,2023-09-20,1.0,2023-08,1401.6666666666667,1468.6666666666667,0.0478002378121285,1410.0,0.005945303210463715,1340.0,-0.04399524375743169,1347.3333333333333,-0.03876337693222365,-0.06872770511296089,10,0.055172413793103336,5,25
PERMIT,LAST_HIKE,T03_1987,B02,1987-05-22,0.3333333333333333,1987-04,1664.6666666666667,1516.3333333333333,-0.08910692831397682,1472.6666666666667,-0.11533840608730472,1466.0,-0.11934321185422514,1323.6666666666667,-0.2048458149779736,-0.2048458149779736,24,-0.03784541449739687,0,25
PERMIT,FIRST_CUT,T03_1987,B02,1987-07-02,0.3333333333333333,1987-06,1541.0,1490.6666666666667,-0.032662773091066355,1348.6666666666667,-0.12481072896387624,1456.0,-0.055158987670343884,1328.6666666666667,-0.13778931429807484,-0.14103396063162443,22,-0.01600692191217834,1,25
PERMIT,FIRST_HIKE,T04_1987,B02,1987-08-27,0.5,1987-07,1512.6666666666667,1472.6666666666667,-0.026443367122080175,1342.3333333333333,-0.11260467166152499,1461.3333333333333,-0.03393565447333635,1313.0,-0.1319964742177171,-0.1319964742177171,24,0.0024239753195238745,0,25
PERMIT,LAST_HIKE,T04_1987,B02,1987-09-24,0.3333333333333333,1987-08,1516.3333333333333,1416.3333333333333,-0.06594856012310402,1402.3333333333333,-0.07518135854033858,1445.0,-0.047043306221147496,1310.3333333333333,-0.13585403385359418,-0.13585403385359418,24,-0.001758628269949325,0,25
PERMIT,PAUSE_START,T04_1987,B02,1987-11-03,1.0,1987-10,1490.6666666666667,1342.3333333333333,-0.09950805008944552,1466.0,-0.016547406082289884,1486.6666666666667,-0.0026833631484793896,1341.0,-0.10040250447227195,-0.12097495527728097,22,0.011851520572450758,13,25
PERMIT,FIRST_CUT,T04_1987,B02,1987-11-04,0.3333333333333333,1987-10,1490.6666666666667,1342.3333333333333,-0.09950805008944552,1466.0,-0.016547406082289884,1486.6666666666667,-0.0026833631484793896,1341.0,-0.10040250447227195,-0.12097495527728097,22,0.011851520572450758,13,25
PERMIT,FIRST_HIKE,T05_1988,B02,1988-03-30,0.5,1988-02,1342.3333333333333,1452.6666666666667,0.08219518251800362,1445.0,0.07648373479016635,1354.3333333333333,0.008939657313136395,1441.0,0.0735038490191211,-0.0238390861683635,18,0.1236652594983858,9,25
PERMIT,LAST_HIKE,T05_1988,B02,1989-05-17,0.3333333333333333,1989-04,1324.3333333333333,1313.0,-0.008557764913163846,1341.0,0.012584948401711538,1149.6666666666667,-0.13189025924993691,939.3333333333334,-0.29071230807953685,-0.37075257991442223,21,0.13616914170651917,8,25
PERMIT,FIRST_CUT,T05_1988,B02,1989-06-06,0.3333333333333333,1989-05,1323.6666666666667,1310.3333333333333,-0.010073029463611327,1377.0,0.04029211785444464,1103.6666666666667,-0.16620498614958445,957.0,-0.2770083102493075,-0.37043565852430116,20,0.1367413749685218,7,25
PERMIT,FIRST_HIKE,T06_1994,B03,1994-02-04,1.0,1994-01,1402.6666666666667,1376.6666666666667,-0.01853612167300378,1356.3333333333333,-0.03303231939163509,1310.6666666666667,-0.06558935361216733,1416.3333333333333,0.009743346007604403,-0.11145437262357427,14,0.015209125475285079,22,25
PERMIT,LAST_HIKE,T06_1994,B03,1995-02-01,1.0,1995-01,1339.3333333333333,1252.0,-0.06520657043305123,1348.3333333333333,0.006719761075161701,1416.3333333333333,0.057491289198606355,1412.6666666666667,0.054753608760577555,-0.06943753111000495,2,0.08437033349925338,15,25
PERMIT,PAUSE_START,T06_1994,B03,1995-03-28,1.0,1995-02,1310.6666666666667,1278.3333333333333,-0.02466937945066139,1387.0,0.05824008138351977,1414.6666666666667,0.0793489318413021,1421.0,0.08418107833163768,-0.04908443540183127,1,0.10808748728382489,14,25
PERMIT,FIRST_CUT,T06_1994,B03,1995-07-06,1.0,1995-06,1278.3333333333333,1402.3333333333333,0.09700130378096472,1419.6666666666667,0.11056062581486326,1445.3333333333333,0.13063885267275088,1418.6666666666667,0.1097783572359845,0.024771838331160367,0,0.13611473272490215,10,25
PERMIT,FIRST_HIKE,T07_1999,B04,1999-06-30,1.0,1999-05,1635.0,1634.6666666666667,-0.00020387359836893104,1668.0,0.020183486238532167,1570.6666666666667,-0.03934760448521912,1652.3333333333333,0.010601427115188633,-0.05056065239551488,13,0.04016309887869518,8,25
PERMIT,LAST_HIKE,T07_1999,B04,2000-05-16,1.0,2000-04,1646.6666666666667,1555.3333333333333,-0.055465587044534526,1587.0,-0.03623481781376525,1663.3333333333333,0.010121457489878471,1692.0,0.027530364372469585,-0.057287449392712686,2,0.041902834008097134,23,25
PERMIT,PAUSE_START,T07_1999,B04,2000-06-28,1.0,2000-05,1597.0,1554.6666666666667,-0.026508035900646987,1578.0,-0.01189730745147155,1652.3333333333333,0.03464829889375909,1714.3333333333333,0.07347109163013976,-0.027969108745564686,1,0.07430599039866426,22,25
PERMIT,FIRST_CUT,T07_1999,B04,2001-01-03,1.0,2000-12,1578.0,1660.3333333333333,0.05217574989438112,1629.6666666666667,0.03274186734262785,1665.3333333333333,0.05534431770173209,1825.0,0.15652724968314313,0.0025348542458809575,9,0.15652724968314313,24,25
