series_id,anchor,cycle_id,broad_episode_id,anchor_date,episode_weight,baseline_month,baseline_level,level_3m,change_3m_pp,level_6m,change_6m_pp,level_12m,change_12m_pp,level_24m,change_24m_pp,max_increase_24m_pp,max_pressure_month_24m,min_change_24m_pp,min_rate_month_24m,months_observed_0_24
MORTGAGE30US,LAST_HIKE,T03_1987,B02,1987-05-22,0.3333333333333333,1987-04,9.8325,10.33,0.4975000000000005,10.65,0.8175000000000008,10.455,0.6225000000000005,10.7725,0.9400000000000013,1.4275000000000002,5,0.0600000000000005,9,25
MORTGAGE30US,FIRST_CUT,T03_1987,B02,1987-07-02,0.3333333333333333,1987-06,10.5375,11.26,0.7225000000000001,10.3825,-0.15499999999999936,10.432,-0.10549999999999926,9.8825,-0.6549999999999994,0.7225000000000001,3,-0.6549999999999994,24,25
MORTGAGE30US,FIRST_HIKE,T04_1987,B02,1987-08-27,0.5,1987-07,10.278,10.65,0.3719999999999999,9.8925,-0.3855000000000004,10.5975,0.3194999999999997,9.985,-0.29300000000000104,0.9819999999999993,2,-0.3955000000000002,23,25
MORTGAGE30US,LAST_HIKE,T04_1987,B02,1987-09-24,0.3333333333333333,1987-08,10.33,10.64,0.3100000000000005,9.93,-0.40000000000000036,10.48,0.15000000000000036,10.126000000000001,-0.20399999999999885,0.9299999999999997,1,-0.4474999999999998,22,25
MORTGAGE30US,PAUSE_START,T04_1987,B02,1987-11-03,1.0,1987-10,11.26,9.8925,-1.3674999999999997,10.455,-0.8049999999999997,10.265,-0.9949999999999992,9.7675,-1.4924999999999997,-0.20999999999999908,17,-1.4924999999999997,24,25
MORTGAGE30US,FIRST_CUT,T04_1987,B02,1987-11-04,0.3333333333333333,1987-10,11.26,9.8925,-1.3674999999999997,10.455,-0.8049999999999997,10.265,-0.9949999999999992,9.7675,-1.4924999999999997,-0.20999999999999908,17,-1.4924999999999997,24,25
MORTGAGE30US,FIRST_HIKE,T05_1988,B02,1988-03-30,0.5,1988-02,9.8925,10.46,0.5675000000000008,10.48,0.5875000000000004,11.032,1.1395,10.268,0.3755000000000006,1.1575000000000006,13,-0.1485000000000003,21,25
MORTGAGE30US,LAST_HIKE,T05_1988,B02,1989-05-17,0.3333333333333333,1989-04,11.05,9.985,-1.0650000000000013,9.7675,-1.2825000000000006,10.4775,-0.5725000000000016,9.472,-1.5780000000000012,-0.27749999999999986,0,-1.6850000000000005,21,25
MORTGAGE30US,FIRST_CUT,T05_1988,B02,1989-06-06,0.3333333333333333,1989-05,10.7725,10.126000000000001,-0.6464999999999996,9.744,-1.028500000000001,10.164,-0.6085000000000012,9.615,-1.1575000000000006,-0.2950000000000017,11,-1.4075000000000006,20,25
MORTGAGE30US,FIRST_HIKE,T06_1994,B03,1994-02-04,1.0,1994-01,7.0600000000000005,8.5975,1.5374999999999996,8.5125,1.4524999999999988,8.8275,1.7675,7.075,0.01499999999999968,2.138,10,-0.030000000000001137,23,25
