cycle_id,cycle_start_year,event_type,event_date,event_period,baseline_period,baseline_price,event_month_omitted_from_clean_metrics,available_clean_post_months,mae,mfe,time_to_event_min_months,time_to_event_max_months,ret_1m,ret_3m,ret_6m,ret_12m,ret_24m,mdd_24m,mdd_peak_month_offset,mdd_trough_month_offset,peak_to_trough_months,rv_12m_ann,down_semivol_12m_ann,rv_24m_ann,down_semivol_24m_ann,recovery50_months_from_trough,recovery100_months_from_trough,recovery50_observed,recovery100_observed,recovery_censor_months
T01_1983,1983,FIRST_HIKE,1983-03-31,1983-03,1983-02,491.0,True,24,-0.3910386965376782,0.0,23,0,-0.11812627291242361,-0.15885947046843174,-0.16089613034623218,-0.19755600814663954,-0.36048879837067205,0.3910386965376782,0,23,23,0.11835067368213557,0.09967869260948596,0.12046760578617496,0.11489377932925446,19.0,,True,False,60
T01_1983,1983,LAST_HIKE,1983-08-11,1983-08,1983-07,403.0,True,24,-0.25806451612903225,0.022332506203474045,18,1,0.022332506203474045,-0.052109181141439254,-0.04218362282878407,-0.1364764267990074,-0.18114143920595538,0.27427184466019416,1,18,17,0.12337927331352214,0.11924608729813571,0.12382147066387043,0.10792212256824707,18.0,19.0,True,True,60
T01_1983,1983,FIRST_CUT,1983-08-17,1983-08,1983-07,403.0,True,24,-0.25806451612903225,0.022332506203474045,18,1,0.022332506203474045,-0.052109181141439254,-0.04218362282878407,-0.1364764267990074,-0.18114143920595538,0.27427184466019416,1,18,17,0.12337927331352214,0.11924608729813571,0.12382147066387043,0.10792212256824707,18.0,19.0,True,True,60
T02_1984,1984,FIRST_HIKE,1984-03-29,1984-03,1984-02,386.0,True,24,-0.22538860103626945,0.0,11,0,-0.012953367875647714,-0.020725388601036232,-0.11917098445595853,-0.18652849740932642,-0.10362694300518138,0.22538860103626945,0,11,11,0.130018149776748,0.12820815016294457,0.12528444496332683,0.09526503635122491,11.0,19.0,True,True,60
T02_1984,1984,LAST_HIKE,1984-08-09,1984-08,1984-07,348.0,True,24,-0.1408045977011494,0.08333333333333326,6,24,-0.02298850574712641,-0.017241379310344862,-0.1408045977011494,-0.051724137931034475,0.08333333333333326,0.1408045977011494,0,6,6,0.13123158803131757,0.09769095150423415,0.12398852433660967,0.07298738501677014,2.0,17.0,True,True,60
T02_1984,1984,PAUSE_START,1984-08-21,1984-08,1984-07,348.0,True,24,-0.1408045977011494,0.08333333333333326,6,24,-0.02298850574712641,-0.017241379310344862,-0.1408045977011494,-0.051724137931034475,0.08333333333333326,0.1408045977011494,0,6,6,0.13123158803131757,0.09769095150423415,0.12398852433660967,0.07298738501677014,2.0,17.0,True,True,60
T02_1984,1984,FIRST_CUT,1984-09-20,1984-09,1984-08,348.0,True,24,-0.1408045977011494,0.20114942528735624,5,24,-0.02011494252873558,-0.08045977011494254,-0.0977011494252874,-0.07183908045977017,0.20114942528735624,0.1408045977011494,0,5,5,0.13243640035382426,0.10022474549590288,0.14300961866405937,0.07298738501677014,2.0,17.0,True,True,60
T03_1987,1987,FIRST_HIKE,1987-01-05,1987-01,1986-12,391.0,True,24,0.0,0.24296675191815864,0,11,0.025575447570332477,0.12020460358056262,0.15345268542199486,0.21994884910485935,0.03324808184143224,0.16872427983539096,11,24,13,0.09582510953627593,0.03022071213453653,0.10957431030550294,0.0762149422482174,,,False,False,60
T03_1987,1987,LAST_HIKE,1987-05-22,1987-05,1987-04,438.0,True,24,-0.15296803652968038,0.1095890410958904,24,7,0.027397260273972712,0.05251141552511407,0.06849315068493156,0.029680365296803624,-0.15296803652968038,0.23662551440329216,7,24,17,0.10143218905926388,0.08201860692645455,0.09198479007798244,0.08457492893078977,,,False,False,60
T03_1987,1987,FIRST_CUT,1987-07-02,1987-07,1987-06,450.0,True,24,-0.18222222222222217,0.08000000000000007,23,5,0.02444444444444449,0.03333333333333344,0.06000000000000005,-0.026666666666666616,-0.16666666666666663,0.24279835390946503,5,23,18,0.10220953638141318,0.08752309720086132,0.09109659016787597,0.08477801449608986,,,False,False,60
T04_1987,1987,FIRST_HIKE,1987-08-27,1987-08,1987-07,451.0,True,24,-0.19068736141906872,0.07760532150776056,24,4,0.019955654101995624,0.037694013303769314,-0.019955654101995512,-0.04434589800443456,-0.19068736141906872,0.2489711934156379,4,24,20,0.10283848143329463,0.08909715463384071,0.09184996187472341,0.0869827998740529,,,False,False,60
T04_1987,1987,LAST_HIKE,1987-09-24,1987-09,1987-08,461.0,True,24,-0.2147505422993492,0.054229934924078016,24,3,0.008676789587852562,0.054229934924078016,-0.03687635574837311,-0.10412147505422997,-0.2147505422993492,0.25514403292181065,3,24,21,0.1074606382390178,0.0996176092501513,0.09050981060459996,0.0871868418688971,,,False,False,60
T04_1987,1987,PAUSE_START,1987-11-03,1987-11,1987-10,465.0,True,24,-0.22150537634408607,0.04516129032258065,22,1,0.04516129032258065,-0.04946236559139783,-0.03010752688172047,-0.09677419354838712,-0.15268817204301077,0.25514403292181065,1,22,21,0.10218872562229916,0.10078344894821088,0.10337521446151507,0.08718684186889708,,,False,False,60
T04_1987,1987,FIRST_CUT,1987-11-04,1987-11,1987-10,465.0,True,24,-0.22150537634408607,0.04516129032258065,22,1,0.04516129032258065,-0.04946236559139783,-0.03010752688172047,-0.09677419354838712,-0.15268817204301077,0.25514403292181065,1,22,21,0.10218872562229916,0.10078344894821088,0.10337521446151507,0.08718684186889708,,,False,False,60
T05_1988,1988,FIRST_HIKE,1988-03-30,1988-03,1988-02,442.0,True,24,-0.1809954751131222,0.02262443438914019,18,1,0.02262443438914019,0.020361990950226172,-0.06561085972850678,-0.11764705882352944,-0.11085972850678738,0.1991150442477876,1,18,17,0.07867314807082998,0.08172019756446008,0.10294904223668871,0.0788829692171931,3.0,,True,False,60
T05_1988,1988,LAST_HIKE,1989-05-17,1989-05,1989-04,384.0,True,24,-0.08333333333333337,0.0859375,13,9,-0.04166666666666663,-0.04947916666666663,0.02604166666666674,-0.0390625,-0.0703125,0.15587529976019188,9,13,4,0.1309418978711633,0.08706805677404453,0.12536081279338812,0.08261649702457906,2.0,,True,False,60
