event_type,recovery_level,n_at_risk,observed_recoveries,right_censored,km_median_months,survival_not_recovered_6m,survival_not_recovered_12m,survival_not_recovered_24m,survival_not_recovered_60m,max_followup_months
FIRST_CUT,50%,10,6,4,3,0.45,0.45,0.3375,0.3375,60
FIRST_CUT,100%,10,5,5,25,0.9,0.7875,0.5625000000000001,0.4500000000000001,60
FIRST_HIKE,50%,10,8,2,8,0.6000000000000001,0.3000000000000001,0.2000000000000001,0.2000000000000001,60
FIRST_HIKE,100%,10,6,4,19,0.9,0.7,0.5,0.4,60
LAST_HIKE,50%,10,7,3,5,0.5000000000000001,0.5000000000000001,0.3000000000000001,0.3000000000000001,60
LAST_HIKE,100%,10,6,4,19,0.7999999999999999,0.7,0.5,0.4,60
PAUSE_START,50%,7,5,2,6,0.4285714285714286,0.4285714285714286,0.28571428571428575,0.28571428571428575,60
PAUSE_START,100%,7,5,2,17,0.7142857142857144,0.7142857142857144,0.4285714285714286,0.28571428571428575,60
