cycle_id,cycle_start_year,event_date,world_bank_monthly_ret_12m,world_bank_monthly_mdd_24m,gc_f_daily_ret_252obs,gc_f_daily_mdd_252obs,endpoint_sign_agrees
T08_2004,2004,2004-06-30,0.12239583333333326,0.11703703703703705,0.0789808917197452,0.0951754252115885,True
T09_2015,2015,2015-12-16,0.06537753222836096,0.13656716417910453,0.0681155543805485,0.1737123388855693,True
T10_2022,2022,2022-03-16,0.030711206896551824,0.14093959731543626,-0.00347201707074,0.1789669732333312,False
